"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 45","chapterbody 49","chapterbody 51","firstcharacter","chapterbody 53","chapterbody 54","chapterbody 55"
"Table of Contents","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c999","000 Preface: Supplication for the Blessing of Living Buddha Lian-sheng","001 The Lineage Dharma Flow","002 Pure Land Cultivation Was My Initial Practice","003 My Zen Experience","004 The Key Cultivation Formula of the Path of Accumulation","005 The True Practice of Fourfold Refuge","006 True Mandala Offering Practice","007 Great Bliss Offering (Secret)","008 True Great Homage Practice","009 True Vajra-heart Bodhisattva Practice","010 Armor Protection Practice (Key Cultivation Formula)","011 The Preliminary Practice of a Sadhana","012 The True Personal Deity Practice","013 Key Cultivation Formula of Personal Deity Practice, Part 1","014 Key Cultivation Formula of Personal Deity Practice, Part 2","015 Key Cultivation Formula of Personal Deity Practice, Part 3","016 Key Cultivation Formula of Personal Deity Practice, Part 4","017 Key Cultivation Formula of Personal Deity Practice, Part 5","018 True Non-leakage Practice, Part 1","019 True Non-leakage Practice, Part 2","020 True Non-leakage Practice, Part 3","021 The King of Great Bliss","022 Details of Nine-Cycle Breathing","023 Manjusri Bodhisattva and Sariputra","024 Vajra Chanting","025 Treasure Vase Breathing","026 Spiritual Sensations from Treasure Vase Breathing","027 The Key Cultivation Formula of Inner Fire","028 The Key Cultivation Formula of Light Drops","029 A Truly Amazing Spiritual Transformation","030 Illusory Samadhi","031 Key Cultivation Formula of Dream Yoga","032 Supremely Pure Light Shining Up to the Sky","033 How Pure Light Emerges","034 Key Cultivation Formula for Bardo Deliverance Pith Teachings on the Path of Liberation","035 My Bardo Experience","036 Explanation By an Example","037 About the Bardo Spirit","038 How to Discern One's Death Is Approaching","039 Key Cultivation Formulas of Opening the Crown Aperture (Phowa)","040 Cessation and Visualization","041 Dharma Words of Living Buddha Lian-sheng (1)","042 Dharma Words of Living Buddha Lian-sheng (2)","044 Dharma Words of Living Buddha Lian-sheng (4)","048 Dharma Words of Living Buddha Lian-sheng (8)","050 Appendix:Teaching the Four Preliminaries","","","",""
"Preface: Supplication for the Blessing of Living Buddha Lian-sheng","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c000","m, Ah, Hum. With reverence I offer my purified body, speech and mind to Mahavairocana. The Holy Buddha Locana is the Dharma body, Padmakumara is the bliss body. Living Buddha Lian-sheng is the emanation body. These three bodies being the same in essence as the Buddha's grace.","Homage to his True Buddha lineage and to his transcendent power which encompasses the whole universe. Radiating light throughout the three times, he can manifest himself instantaneously. Disciples of the Buddha should constantly cry out for his pure light, which magnifies virtue and wisdom.","In the past, his Buddhahood was prophesied by Shakyamuni Buddha. Amitabha Buddha entrusted him with the mission of salvation. Maitreya Bodhisattva bestowed on him the red crown. Guru Padmasambhava taught him the tantra. We pray you never abandon your past vows to liberate us all. As you enfold us in protection and care, empower us to quickly attain realization.","","Namo Mahavairocana Buddha.","Namo Buddha Locana.","Namo Padmakumara.","Namo Living Buddha Lian-sheng.","Namo the True Buddha Assembly, all buddhas, bodhisattvas, and mahasattvas everywhere throughout the three times.","","●","","Do not underestimate this short prayer of supplication. If one is able to recite this passage prior to cultivation, the merit will be as deep as the ocean and the Dharma power will be as towering as Mt. Sumeru. One who recites this supplication every day will manifest inconceivable power.","","The merit is as follows:","","●","","At noon on May 18 of the Yiyou Year, I, Living Buddha Lian-sheng Sheng-Yen Lu, was born into the human realm. At the age of 26, Jade Pond Golden Mother opened my divine sight.","I saw:","Jade Pond Golden Mother.","Amitabha Buddha.","Ksitigarbha Bodhisattva.","They bestowed on me these words: 'Single-mindedly study Buddhism. Single-mindedly practice. Single-mindedly perform good deeds.' Lord Indra bestowed on me the two words 'Loyalty and Righteousness.' I was later guided to personally see my predecessor, Padmakumara.","I then paid homage to eminent and highly virtuous monks, learned the Buddhadharma, and attained great accomplishment in Sutrayana and Vajrayana. I founded True Buddha School and raised the banner of Buddhadharma.","","After attaining Buddhahood, I manifested supernatural power, was unhindered, possessed skillful means, brought the dead back to life, commanded wind and rain, cured illnesses and banished demons, emanated countless bodies, ascended to heaven and entered into the earth, and became the guru of celestial and human beings.","Wherever the banner of Buddhadharma is, the Dharma rain falls. More than five million sentient beings have been saved. More than 70 Lei Tsang Temples have been established. My footprints have been all over the world and five continents.","I bestowed empowerments on sentient beings, discoursed the Buddhadharma, and have delivered countless sentient beings. My activities have been utterly unprecedented.","(As for the above supplication, if one recites it daily, spiritual responses will come one after another. For this reason, it is an important key cultivation formula.)","","Living Buddha Lian-sheng Sheng-Yen Lu contact address:","17102 NE 40th Ct.,","Redmond, WA 98052","U.S.A.","","","","","","","","Increased good fortune.","The Buddha will manifest his golden body.","Liberation from suffering.","Elimination of karmic hindrances.","O","Universally shining brilliant light.","Rebirth in heaven.","Eradication of sickness."
"001 The Lineage Dharma Flow","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c001","he study of Buddhism begins with taking refuge. Recite the Fourfold Refuge Mantra:","Namo Guru bei. (Guru)","Namo Buddha ye. (Buddha)","Namo Dharma ye. (Dharma)","Namo Sangha ye. (Sangha)","","Actually, the true meaning of taking refuge is:","","●","","In this chapter, I will briefly describe the Dharma flow of Living Buddha Lian-sheng's True Buddha School lineage.","I have also established affinity with many other gurus. I will not mention them one by one.","","●","","There is another lineage, the utmost secret lineage I receive when practicing deeply in prajnaparamita. While in deep and vast meditation, I receive the Dharma flow of the lineage of the empowerment and blessings of the buddhas and bodhisattvas. Examples are Vajrayana teachings from Padmasambhava, the great blessing of Amitabha Buddha, the gist of dharma of the Golden Mother of the Jade Pond, bardo deliverance practices from Ksitigarbha Bodhisattva, and many more. These were all secret lineages received while meditating.","","●","","My ordination lineage is: In the past, when I was still a lay practitioner at Ling Shen Ching Tze Temple (LSCTT) in Seattle, USA, Reverend Guoxian from Wai Chuen Monastery in Hong Kong came to take refuge in me. Reverend Guoxian stayed in Seattle for a long time. He encouraged me to receive ordination. I was therefore ordained at the True Buddha Tantric Quarter on the 10th day of the second month of the lunar calendar at the age of 43. For this reason, Reverend Guoxian is both my disciple and my ordination master, a dual-role legend as both disciple and ordination master.","","In Sutrayana, I took refuge in these eminences:","","I received the precept initiations from the following three masters:","","My daily recitation, homage practice, and Buddhist hymning teacher was Reverend Shanci.","","●","","Truly, I say to you that I had many masters. I will only respect and praise my masters.","When I give Dharma discourses, I will definitely first pay homage to the lineage masters.","I give reverence and pay homage to the virtuous and benevolent masters of the ten directions and three times.","Reverend Xiandun","","","","Reverend Keisan","Reverend Jueguang","","","","","Kagyu School (White Sect)-Marpa, to HH the 16th Karmapa, to Grandmaster Lu Living Buddha Lian-sheng.","By taking refuge in the Guru, one is restored to one's noumenon of suchness.","Nyingma School (Red Sect)-Padmasambhava, to Nora Rinpoche, to Reverend Liaoming, to Grandmaster Lu Living Buddha Lian-sheng.","Sakya School (Flower Sect)-Khon Kongchog Galpo, to HH Dezhung Rinpoche, to Grandmaster Lu Living Buddha Lian'sheng. (HH Dezhung Rinpoche is also known as Vajra Acharya Sakya Zhengkong).","T","By taking refuge in the Buddha, one is restored to one's nature of suchness.","By taking refuge in the Dharma, one is restored to one's wisdom of suchness.","By taking refuge in the Sangha, one is restored to one's purity of suchness. (Buddha noumenon, Buddha-nature, buddha wisdom, and buddha purity are the most important essences.) Not the superficial appearance. From this, one maximizes the subtle effect of the Buddha-nature and applies the 84,000 dharmas to save sentient beings."
"002 Pure Land Cultivation Was My Initial Practice","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c002","fter I graduated from college, I was assigned to Land Survey, Unit 5802, as a Survey Officer. The survey unit was stationed at Nanmen Bridge, Taichung, Taiwan, just a few steps away from Bodhi Hospital. Inside the Bodhi Hospital, there was a Taixu Memorial Hall.","A great lay practitioner by the name of Li Bingnan was discoursing a sutra there.","I went to listen to his discourse.","The sutra Layman Li discoursed was Mahasthamaprapta Bodhisattva Expounds Perfect Penetration Through Mindfulness of Buddha.","","●","","During that time, I diligently recited buddha's name. I was also awakened to the key cultivation formula of buddha-name recitation:","The Buddha asks about perfect enlightenment","I have no other choice","But to guard my six roots","Keep the mind pure without interruption","Attainment of samadhi","Is foremost","","The most essential key formula above is guarding the six roots, keeping mind pure always, and samadhi. Of the three, samadhi is especially important.","The Amitabha Sutra also mentions that the samadhi of buddha-name recitation is:","Concentration.","Mindfully reciting the buddha's name. The Pure Land Trinity appears before one. Rebirth in the Pure Land. (Here, concentration is one and the same as samadhi).","","●","","There are four pure lands in the Western Pure Land of Ultimate Bliss:","One with karma may be reincarnated in the Land Where Saints and Ordinary Beings Live Together. However, this is not possible in the other three levels of the Pure Land; the Land of Eternally Quiescent Light is absolute.","","A Zen master by the name of Yongming Yanshou stated:","Those who attain in both Zen and Pure Land are like a tiger with horns. They teach humans in the present life, and will attain Buddhahood in the future.","Those who cultivate Pure Land but not Zen will be reborn in the pure lands, see Amitabha, and eventually become enlightened.","Nine out of ten Zen practitioners who do not engage in Pure Land practice will end in the wrong path. Once a negative karmic realm appears, one will go to it in no time.","Those who practice neither Zen nor Pure Land will be reincarnated per their karma to the realm of iron beds and copper poles, and have no one to rely on for thousands of kalpas and lifetimes.","These sentences had a great influence on me.","","What I currently practice is Vajrayana and Pure Land.","I teach people to recite 'Namo the 36 trillion 119 thousand 500 Amitabha Buddhas'.","I teach people to dedicate the merit as follows:","May all who uphold the name of Amitabha Buddha","Be born together in the Pure Land of His Western Paradise.","Repay the Fourfold Generosity from above,","And aid those who suffer in the Three Paths below.","Upon seeing the Buddha,","May I be liberated from the cycle of birth and death,","And may I develop the qualities of Buddhahood,","And thus free all who suffer.","The Land Where Saints and Ordinary Beings Live Together.","Non-abiding.","No thoughts.","A","The Land of Expedient Liberation.","The Pure Land of Real Reward.","The Land of Eternally Quiescent Light."
"003 My Zen Experience","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c003","ccording to what I know:","Reverend Leguo was a Zen master.","Reverend Guoxian was a Zen master.","Reverend Wuming was a Zen master.","I myself (Grandmaster Lu), of course, am also a Zen master. I am a master of Zen, Pure Land, Vajrayana, and Vinaya.","I have read the Collection of Five Zen Works and written more than ten books on the subject of Zen. Some scholars have praised me as a 'superman'!","","My acquaintance with Zen is quite deep. I will give two examples as follows:","As the Buddha was about to enter parinirvana, Manjusri Bodhisattva descended and said, 'Please turn the Dharma wheel!'","The Buddha replied, 'Have I ever turned the Dharma wheel?'","Upon hearing this, Manjusri attained enlightenment.","(The Buddha's reply 'Have I ever turned the Dharma wheel?' is the ultimate attainment of Zen. I understand the meaning. Do you, my holy disciples, also understand?)","Also:","A bodhisattva asked Manjusri, 'How many sentient beings have you saved?'","Manjusri replied, 'Three steps forward. Three steps backward.'","(Manjusri's 'Three steps forward. Three steps backward.' is also the ultimate enlightenment of Zen. I understand the meaning. Do you, my holy disciples, also understand?)","","●","","Someone asked me, 'Grandmaster! Just what are you enlightened to?'","I replied, 'Once I say something, it will be wrong.'","They asked again, 'Please do express it in words.'","","I answered:","Enlightened to nothing to gain, instantly severs afflictions.","Enlightened to no self, instantly severs self-grasping.","Enlightened to no birth, instantly ends death.","Enlightened to non-abiding, instantly ends attachment.","Enlightened to no human beings, instantly severs conflict.","Enlightened to no sentient beings, instantly severs desire for fame and reputation.","Enlightened to no longevity, instantly severs birth and death.","","I say:","Zen is 'The Buddha holding a flower, and Kasyapa smiling', a dharma of 'Pointing directly to the mind, seeing the Buddha-nature and attaining Buddhahood.'","From generation to generation, this lineage was transmitted from the Buddha to Kasyapa, from Kasyapa to Ananda, and so on. When the lineage reached the 28th generation, Bodhidharma came to China and became the first patriarch of Zen in China. By the time the lineage of the Zen school was transmitted to Huineng, it had passed through 42 generations; when the lineage reached Mazu, there were a total of 84 persons in the lineage.","","I personally believe:","The Zen school requires transcendence of 'perception'.","The Zen school requires transcendence of 'perceived'.","'Perception' means mind.","'Perceived' means the object of perception.","'When one transcends them both, the self-nature manifests and one attains Buddhahood. This is the essential key cultivation formula of the Zen School.'","Transcending the mind is the 'no mind' of the Vajrayana School.","This is none other than 'formless samadhi'.","","","A","","",""
"004 The Key Cultivation Formula of the Path of Accumulation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c004","n cultivation, I believe one should practice the Path of Accumulation first. What is the Path of Accumulation? To put it in a nutshell, it's the accumulation one requires to cultivate from the mundane state to Buddhahood.","Everyone thinks this accumulation refers to 'money'! As a matter of fact, that's not what it's about. It's about:","wisdom mind.","In addition to continuing the good works of Sheng-Yen Lu Foundation, Shimu Master Lianxiang and I have developed another long-term plan. We have founded an Emergency Relief Fund. After we pass away, the provisions Shimu and I leave behind will be in the bank. The monthly interest will be used for a particular kind of charity, that is, when a patient cannot afford medical expenses for treatment at a hospital, the Emergency Relief Fund will help pay for it.","I perceive sickness to be the most extreme suffering of sentient beings. To be able to provide financial assistance to someone who is sick and needs to see a doctor but is unable to afford the overwhelming medical expenses carries significance.","We have already initiated this plan, but for the long term, there must be corresponding measures as well. This is 'helping others in an emergency because of one's heart and mind!' This act we have performed is namely the Path of Accumulation.","","●","","I have heard people say something that is quite mistaken.","They say:","Do not perform good deeds. Good deeds are like white clouds.","Do not perform evil deeds. Evil deeds are like black clouds.","White clouds and black clouds both obscure the sun.","What they mean is do not create white karma (good karma) and do not create black karma (evil karma).","Do not create either good karma or evil karma so the Buddha-nature will emerge.","","In my opinion:","Performing good deeds is the Path of Accumulation. Only by accumulating merit can one create the cause to learn Buddhadharma. Only by accumulating merit can one encounter a virtuous guru to teach one the true and authentic Buddhadharma. I have observed the bright light radiating from a good and virtuous person. Where there is virtuous light there is the cause for ascending to heaven. When that person's life is over, they will enjoy happiness in heaven. If this person is in the human realm, they will be prosperous with good fortune, and with countless benefactors to help them. A good and virtuous person will not fall into the three evil realms.","Only one who has the compassion of the buddhas of the three times is qualified to be a protector of sentient beings in the ten directions. A benevolent guru whose great kindness to sentient beings is like a mountain is actually a buddha or bodhisattva returning to the human realm with great compassion. This bodhisattva's mercy is a great virtue.","","One must perform good deeds!","Have no doubt about it!","","","","","","","","","","","","","","","","","","","","Benefiting—deeds that benefit others.","Loving kindness—bringing happiness to others.","Giving—generosity toward others.","Speech—speech that is virtuous, good, and gentle.","I","Compassion—relieving the suffering of others.","Joy—carrying out one's activities with happiness.","Equanimity—equality and non-discrimination."
"005 The True Practice of Fourfold Refuge","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c005","he foremost practice of the Four-Preliminaries Practice is the Fourfold Refuge Practice. Why do I add the word 'true'? Because the Fourfold Refuge Practice produces power.","1. Enter the shrine.","2. Sit upright.","3. Visualize the face of the Root Guru. A white syllable 'om' is located on his brow point, a red syllable 'ah' is located on his throat, and a blue syllable 'hum' is located on his heart.","4. Visualize the three lights shining onto practitioner's brow point, throat, and heart respectively.","5. Recite 'Namo Living Buddha Lian-sheng Grandmaster Lu Root Guru' (three times).","6. Recite 'Namo Buddha, Dharma, and Sangha, the Three Eternal Jewels of the Ten Directions'. (three times)","7. Recite the Fourfold Refuge Mantra:","Namo Guru Bei. Namo Buddha Ye. Namo Dharma Ye. Namo Sangha Ye. (108 times.)","Key cultivation formula: While reciting the Fourfold Refuge Mantra, visualize the Guru, Buddha, Dharma, and Sangha emitting five-colored light shining on the practitioner. At the same time, nectar from the Guru, Buddha, Dharma, and Sangha flows into and empowers the practitioner. All the practitioner's black karmic hindrances and dark qi exit from the practitioner's skin pores. Sickness transforms into yellow-colored water and flows out from the practitioner. Centipedes, scorpions, and tiny black insects transformed from black magic spells crawl out from the practitioner's body. The practitioner totally relaxes. The mind and spirit become pure and peaceful. The practitioner's good fortune and wisdom increase.","8. Dedication","The disciple vows","To take refuge forever","In the Guru and the Three Jewels","Until bodhi","May all my good deeds large and small","Be dedicated to sentient beings","Attaining Buddhahood together","Note: While visualizing, the practitioner may form the Root Guru Mudra. The right hand forms the Dharma Teaching Mudra while the left hand forms the Lotus Holding Mudra. After dedicating the merit, one may also single-mindedly enter into samadhi (meditation).","9. Exit the shrine.","","●","","I want to clarify that some think Four-Preliminaries Practice is a minor practice of Vajrayana. Actually, they are entirely mistaken. I will set out the practice for everyone to see that it's truly incredible!","In fact, the Fourfold Refuge Practice is very powerful. It consists of mudra, visualization, mantra, the Root Guru, and the Three Jewels of the ten directions and three times. One can cultivate this practice by itself. During group cultivation in a temple, cultivation venue, or cultivation association, this practice is simplified to the point it can't be further simplified. Only the Fourfold Refuge Mantra is recited, and the rest is completely omitted.","I am telling you, when the 'True Fourfold Refuge Practice' is cultivated all the way to fruition, the Root Guru will appear before one and one will attain spiritual union with the guru. When one attains spiritual union with the guru, one attains spiritual union with the Buddha, Dharma, and Sangha of the ten directions and three times. One is able to ascend to the pure land.","","I frequently say:","The Four-Preliminaries Practice is a major dharma. The Fourfold Refuge Practice is therefore a major dharma. If during one's lifetime, one only cultivates the Fourfold Refuge Practice, one will never lose one's bodhicitta.","Those who single-mindedly enter this samadhi will be equally able to reach attainment. This is absolutely not a falsehood.","","Root Guru Mudra","","","","","","","","","","","","","","","T","","",""
"006 True Mandala Offering Practice","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c006","say: As a result of cultivating the True Mandala Offering Practice, I (Grandmaster Lu) have more than everything I need in this life and this will also be true in future lives.","I can say that in the future, if it is my fate to be reborn in the human realm, I will be the wealthiest person in the human realm. I say this with confidence: I will absolutely be the richest person in the human realm. There will be none who can compare with me.","","I am describing the Mandala Offering Practice as follows:","1. Form the mudra.","The mudra is the Offering Mudra. The guru will instruct how to form the Offering Mudra. (Lin Yun used to call this mudra the Invoking Good Fortune Mudra)","Mudra formation: Interlace fingers (with hands back to back) so that palms and fingers face upwards. Hook the index finger of the left hand over the middle finger of the right. Hook the index finger of the right hand over the middle finger of the left. Press the thumb of the left hand over the little finger of the right. Press the thumb of the right hand over the little finger of the left. Manipulate the ring fingers so that they stand vertically, back to back.","Explanation of the mudra: The Offering Mudra represents Mt. Sumeru and the Four Continents. (Purvavideha in the East, Jambudvipa in the South, Aparagodaniya in the West, Uttarakuru in the North).","It represents the entire universe.","","2. Visualize the offerings in the mudra.","Some practitioners place a few grains of rice in the left palm. In my personal practice, I visualize the offerings in my palms.","Offerings: Food. Flowers, incense, lamps, tea, fruit, water, and soapy water. Wish-fulfilling conch. Seven Treasures. Eight Jewels. (Diamonds, gold, silver) Dharma implements, clothing.","","3. Offering visualization:","Visualize the mudra transforming into the entire universe and all of space. (Key cultivation formula) Visualize the offerings transforming to be as massive as clouds and the sea. (Key cultivation formula) Visualize the offerings filling the entire universe. (Key cultivation formula)","","4. Recite the mantra:","Om, sa-er-wa, da-ta-ga-da, ee-da-mooh, guru lana, man-cha'la, kan, nee-lee-yeh, dah-yah-mee","Upon finishing the mantra recitation, touch one's crown with the mudra, and release the mudra.","","5. Fifth, recite the Praise","Mount Meru together with the Four Continents, sun and moon,","Transforms into precious treasures to offer to the buddhas.","May the immeasurable merits arisen from these treasures","Quickly remove negative karma to realize Buddhahood.","","●","","I would like to tell you that: The offerings of this mundane world can include food as well as one's clothing, housing, and transportation. However, these are mundane things that are low, crude, and vulgar. What are high class offerings? Cultivation offerings (Dharma offerings). Body, speech, and mind (purity offerings). Qi, channels, and light drops (the highest class offerings). Great bliss, light, emptiness (offering of sensations). This is the most important key cultivation formula.","","Offering Mudra","","","","","","","","","","","","","","","I","","",""
"007 Great Bliss Offering (Secret)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c007","his offering belongs to the 'offering of sensations'. Few people know about it and are able to perform it. Therefore, only 'adepts' are able to make this kind of offering, the offering of 'Highest Yoga Tantra'. It is therefore referred to as 'secret'.","One who is qualified to be called an 'adept' should have the following capabilities, enlightened to the absolute truth, proven non-leakage, and ability to move qi through the central channel, ascend inner fire and descend light drops. As a result, when an adept practitioner is in union with his consort, the friction caused by the movement of qi, inner fire, and light drops produces indescribable great bliss.","","I will tell you:","Ordinary sexual activity between men and women results in 'small bliss'. Only the union of an adept with his consort is able to produce great bliss, which lasts the entire day, or for a prolonged period, and with tingling ecstasy throughout one's entire body. (Indescribable).","At this time, the practitioner makes this 'great bliss offering' to the goddesses guarding the four directions, the dakinis of the eight directions, the 20 celestial maidens, and all other deities. In one's mind, transform 'great bliss' to 'dual body' and spread throughout all of space. All the dakinis are filled with joy.","","●","","As for the consort, because of the ability of the practitioner, the channels of the practitioner and the consort are able to connect with each other, their qi is able to flow through, and their light drops merge. Consequently, the consort also produces indescribable bliss that permeates her entire body, prolonged and abundant.","The consort then offers this 'great bliss' to buddhas, bodhisattvas, vajra deities, Dharma protectors, dakinis, and the heavens. (All of these are also filled with joy.)","","●","","I, Grandmaster Lu, can tell everyone for a fact that this bliss is not mortal small bliss. It is the great bliss arising from cultivation. (Male practitioners must fully master non-leakage). Because light drops merge with the inner fire, the channel and chakras are opened and emit light. This light is rare and truly incredible. One's Buddha-nature manifests from this light.","I have personally witnessed the descent of Prajnaparamita, Vajravarahi, Simhamukha, Sarasvati, and Nairatmya. Countless unimaginable and incredible goddesses also descended.","","It's inconceivable!","This merit is both secret and marvelous.","","","","","","","","","","","","","","","","","","","","","","","","","","","","T","","",""
"008 True Great Homage Practice","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c008","erforming the Great Homage prostration demonstrates one's great respect to buddhas, bodhisattvas, and deities.","","Great Homage Practice eliminates 'conceit' (arrogance).","Great Homage Practice strengthens bodhicitta.","Great Homage Practice eliminates negative karma.","Great Homage Practice is repentance.","Great Homage Practice causes demonic obstacles to disappear.","Great Homage Practice severs delusion.","Great Homage Practice severs afflictions.","Great Homage Practice leads to liberation.","Great Homage Practice exercises the body.","Great Homage Practice stops the mind from wandering.","(The merit is truly infinite.)","","●","","Following is the sadhana:","","●","","In addition to performing the Three Prostrations of the Great Homage Practice, there is also a Great Homage Practice that is in itself a cultivation practice. One may count one's prostrations and perform 108 prostrations, 1080 prostrations, or even more. The more the better. If one is performing only the Great Homage Practice, it is acceptable to just use the Buddha Shrine Mudra.","This great prostration is touching the ground with five physical points, that is, hands, forehead, heart, knees, and feet all make contact with the ground. After one's whole body touches the ground, one stands up.","","●","","Key cultivation formula:","Single-minded without distracting thoughts. Concentrated.","One's body emanates many bodies.","One prostrates together with one's parents, relatives, benefactors, gurus, karmic creditors, and all sentient beings in the six realms. The guru and deities emit light which shines upon the practitioner and all sentient beings.","When both hands touch the ground, push the hands forward, so that all demonic hindrances and all afflictions are pushed away. (The demons are the celestial mara, the mara of the five aggregates, the mara of desire, and the mara of death.) When prostrating universally: The guru, buddhas, bodhisattvas, vajra deities, Dharma protectors, dakas, and dakinis, and celestial beings are in the empty space. They are infinite in number. There are also infinite numbers of the practitioner as well as the practitioner's relatives, all densely packed together. (An infinite number prostrates an infinite number.) In this way, the merit is beyond calculation.","","Dedication:","May all the merit be dedicated","To the deliverance of infinite sentient beings","May all humanity learn the Buddhadharma","And finally reach the other shore","(Note: Some who have practiced the Great Homage for many years have witnessed the deities' descent and shining bright light, and the manifestation of all kinds of incredible miracles. They also enter samadhi successfully.)","","Buddha Shrine Lotus Mudra","Vajra Mudra","Mudra","","Form the Buddha Shrine Mudra and with the mudra, sequentially touch the brow point, the throat, and the heart.","Stand before the shrine.","'om' white light. 'ah' red light. 'hum' blue light.","Visualize oneself, one's parents, and all sentient beings in the six realms prostrating together.","P","Visualize, in the emptiness, the Guru and the Three Jewels emitting light that shines on oneself.","A beam of white light shines upon one's brow point, a beam of red light shines upon one's throat, a beam of blue light shines","upon one's heart."
