"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","firstcharacter","chapterbody 48","chapterbody 49","chapterbody 50"
"目录","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c999","序 《通天之书》序","001 九条龙","002 飞过“佛陀山”","003 猪怪","004 《通天之书》","005 身高一丈","006 虫窟","007 浣衣妇","008 白度母","009 瑶池净土","010 观见“冯冯”","011 与冯冯谈“欲”","012 与冯冯谈“禅”","013 一代佛王","014 奈何天","015 文成公主","016 遇见“比干”","017 陌生人“许由”","018 喜欢“奈何天”","019 森罗殿","020 五路瘟神","021 莲花一族","022 占卜未来的吉凶","023 达摩祖师如是说","024 经典解释什么","025 流支三藏","026 佛陀、达摩、卢师尊","027 顽癣的治愈","028 癌症之“破”","029 真的是“洗脑”","030 铜身铁骨符","031 “风神”台风","032 寻找“郑成功”","033 龙王速去","034 蛇与鼠","035 雷声隆隆之日","036 突然“心血来潮”","037 潭柘寺","038 九曜老人","039 “永不堕四生”","040 红通通的双眼","041 帝释天之后","042 金刚座","043 听见妇女哭声","044 三只小黑狗","045 加州大地震","046 悟佛陀的悟","","","",""
"序 《通天之书》序","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c000","一回，我进入甚深禅定，却看见一项前所未有的奇事。","首先，四周是非常黑暗的，见不到一丝光明，我感觉一直在下堕，非常的快，像坐云霄飞车一般，除了头晕目眩，就是身子如一片落叶，四周阴风四起。","降到一个定点，我向四周一望，只见西方有一点光亮，我愈向西走，光亮愈大，我弯弯曲曲的向前走。","突然，我看见一座牢狱，这牢狱是精钢铁条所建。","里面关了两位“罗刹女”，这两位“罗刹女”，面貌凶恶，全身赤条条。","罗刹女对我说：","“卢师尊，放我们出去，我们被释迦牟尼佛锁住在这里，已经二千多年了，你再不放，我们永远出不去，幸喜卢师尊来了，快快放出我们，感恩不尽。”","我心生怜悯。","","就把牢狱的门打开了，想不到门一打开，两女飞身而出，随着一股阴风，望西北方飞去。","这时，我看见一位仙童，面如满月，顶挽双髻，对我大喊：","“坏了！坏了！大事不妙！大事不妙！”","我问：","“如何不妙？”","仙童说：","“这两位罗刹女，一位正是『孙陀利』，一位正是『战遮』，这两女正是扰乱释迦牟尼佛度众生的两名女子，令释迦牟尼佛恶名流布的女魔头，如今，卢师尊把他们放了，岂不是大错。”","我说：","“我放了他们，他们理应改过迁善才是！”","仙童说：","“卢师尊，你错了也。两位魔女岂思念改过，魔性就是魔性，改不了的，你千不该，万不该，放了他俩。”","我说：","“放就放了！”","仙童说：","“卢师尊，你放了两位罗刹女，日后你度众生，就知道了！”","","我对于放了两位罗刹女，根本不放在心上，如果真的“恩将仇报”，那也是我的命，命该如此，我没有什么怨恨。","我也知道，大成就者，必然有更大的魔难，没有魔难，如何成佛？","诗曰：","人生天涯何有期。","唯有清净尚自许。","度众愈多是非多。","如如不动亦不理。","（此书奇异甚多，不看可惜）","","莲生活佛卢胜彦联络处","Sheng-yen Lu","17102 NE 40th Ct.,","Redmond, WA 98052","U. S. A.","","编者注：本有声书系由陈莲美录制","","","","","","","有","","",""
"001 九条龙","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c001","说，我在禅定中，由仙童引领，走到一座大殿，进去一看，却见是一座厨房，我觉得非常奇异，里面有很多杯盘。杯子装的是仙浆玉液，盘子装的各种仙肴异果。","其中有一蒸笼，是笼头盖着，尚冒着烟，这是熟食。","我看了，肚子就饿了，饥肠咕噜咕噜的叫，口水差一点淌了下来。","仙童问：","“卢师尊，你最爱吃什么？”","我答：","“红片龟。”（台语）","仙童说：","“这蒸笼内，正是红片龟的材料，ＱＱ的，最是好吃了！”","仙童提起笼头，里面真的用“红片龟”的材料做了十条龙，九条是青龙，一条是黑龙。","这十条龙，像蜥蜴，又像舌头，又像笔。","","仙童说：","“卢师尊，不要奇怪，世人画龙，全凭想像，你见到的，才是真龙也。”","我肚子一饿，也不客气，连连吃了九条青龙，当我伸手要拿黑龙时。","仙童说：","“且住，此黑龙吃不得。”","我问：","“为什么？”","仙童说：","“你吃了九条青龙，表示你将来笔如龙飞，以笔度众生，创作不断，真佛宣化，灵思泉涌，永不枯绝，有九龙飞腾之势。”","仙童又说：","“另外，这只黑龙，是给毁谤你的人吃的，他们吃了黑龙，心地一黑，就抹黑你。阻扰你度众生。”","我听了大骇。","我问：“这如何是好？”","","仙童说：","“天数已定，无可奈何，人生本来如此，你有九条青龙，难道斗不过一条黑龙吗？凭你九条青龙，若输给一条黑龙，也是人间的大笑话了。”","我听了极为汗颜。","仙童替我解危，说：","“这人间娑婆红尘，从来没有十全十美的。如果十全十美，岂不是极乐世界。卢师尊有了九条青龙笔，将来文字成就，已经非常了不起了！”","“那恶黑龙，正是我的灾厄？”我问。","“正是。”","“能免除吗？”","“不能。”仙童说：“你卢师尊要证得开悟，若证佛道，这黑龙也奈何不了你的，你自己证道，也要令你自己的弟子证道。”","","诗曰：","昔日佛陀忍辱仙。","今日莲生修忍辱。","纵然世人全唾弃。","亦不回他一半句。","","","","","","","再","","",""
"002 飞过“佛陀山”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c002","说，这位仙童引领我，到一座高山峻岭，这真是一座冲天巨山。","我这一看，真是好景致，这山怪石叠起，松柏翠荫，绿水环抱，四时花盛放，鸟飞鸣叫，涧水龙啸。","这山高冈起伏，山树玲珑，却也连绵无尽。","我问仙童：","“这是什么山？”","仙童答：","“佛陀山。”","我一听是佛陀山，马上双手合十，就要跪拜下去，端端正正的叩三个响头。","仙童阻止我，又说：","“且慢，这山以佛陀命名，打得是佛陀旗号，表面看风风光光，整整齐齐，其实全是山精水怪，牛鬼蛇神，树精石魅，居于其中是也！”","我听了吃了一大惊。","讷讷不能言，说不出一句话来。","","仙童说：","“当今，娑婆无一真实佛教，全是表面包装，全在理论上说道，无一真实悟道之人，也无实修者！”","我汗涔涔下。","仙童说：","“当今，我只见一稀有者，是日日实修者，是真正的无心道人。”","“谁？”我问。","“你，卢师尊！”","我说：","“我从不在意。”","我真的不在意。","仙童说：","“就因为你从不在意，才是无心道人。”","仙童再说：","“我们越过此山吧！”","只见仙童脚下生出一片祥云，托着仙童，霞光万道，飞在虚空。","","仙童对我说：","“你还不上来？你是莲花童子啊！”","刹那之中，我脚上生出大白莲花，托着我往上飞。","两人一前一后，飞过了“佛陀山”。","我好奇的问仙童：","“这佛陀山真的没有一个无心道人吗？”","仙童答：","“你仔细听，不着两边谓中观，识到藏识，称唯识。这些全不在意，世上无多，你卢师尊是其中一位。”","“可是我遭众生唾弃。”","仙童答：","“就因为这样，才是唯一！”","我说：","“我也不把唯一放心中。”","仙童说：","“是唯一，非唯一，才是唯一。”","","诗曰：","佛陀山绮丽。","再","怎知甚枯黄。","世人看表相。","风吹梅蕊香。"
"003 猪怪","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c003","日，有一则笑话。","有一个人骂另外一个人：“你是猪！”","他答：“才怪呢！”","于是他的绰号，就成了“猪才怪”。这位“猪才怪”的绰号，远近驰名，人人都叫他“猪才怪”，而不称他的本名。","他实在忍不住了，于是为了正名，他召集了所有乡亲朋友，办了一场说明会。","他上台的第一句话，说：","“我确确实实，绝对不是猪才怪！”","此语一出。","台下哄然。","原来还是“猪才怪”。","","●","","闲话休提，我在定中，与仙童飞过了“佛陀山”，正在前行之际。","前面来了一人。","这人一样脚踏莲花，相貌与我很仿佛，我看着他，他看着我。","我问他：","“我是卢胜彦，你是谁？”","他回答我：","“我才是卢胜彦，你是谁？”","“我是莲花童子！”","“我才是莲花童子！”","这下子，我惨了！竟然有人冒我之名，一切模样与我相似。","我做莲花童子手印，他也做莲花童子手印。","对方口中念念有词，祭出一块“金砖”，化为一道金光，从我头上打下。","我一时闪避不及，眼看就要头破血流了，一命呜呼了！只见那仙童，张开一个布袋，发出青光，将“金砖”收入布袋之中。","仙童不慌不忙，从袖中又取出一面镜子，镜子闪了一闪。","那人现出原形，原来是一只猪，那镜子晃了三晃，猪身起火，一下子就成了烤乳猪，惨叫一声，跌落尘埃去了！","","我问仙童：","“那位是谁？”","仙童答：“猪怪。”","“为何冒充莲花童子，又冒充卢胜彦？”","仙童说：","“娑婆原是一个假的世界，将来必有人模仿你，又是莲花童子，又是你师兄，你师弟，你妹妹，你的分身，你的亲眷，你的师父，其实真假是很好认的。”","“如何认？”我问。","仙童答：","“不贪、不瞋、不痴，一定是真的卢胜彦。而又贪、又瞋、又痴的，一定是假冒的。”","我问：“你那布袋？”","仙童答：“弥勒佛的。”","我问：“你那镜子？”","仙童答：“照妖镜也。”","","诗曰：","行者行正步。","无求被人嫌。","贪瞋痴爱断。","昔","猪怪死镜前。","",""
"004 《通天之书》","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c004","与仙童到了一处所在，是天上仙界，到处奇花异草，亭台楼阁，皆是七宝所建，彩霞万道，瑞气千条，馨香芳馥，心旷神怡已极。","我问仙童：","“是何所在？”","仙童答：","“大庄严境。”","我们走到一处大阁楼，上书“毘卢遮那大庄严藏”。","只见阁门紧闭，我回头看仙童，仙童却早已失其所在。","我想一想，这“毘卢遮那大庄严藏”，名字很熟的，我猛然忆起，这正是“善财童子”第五十参的所在。","这是弥勒佛阁。","而仙童是弥勒佛所化，怪不得有弥勒佛的随身布袋。","我恍然大悟。","","我对着阁门弹指三通，这阁门就开了，我走了进去，一看，果然骇人。里面另有虚空天地，楼阁广博等同无量，无法形容，比仙境更殊胜。","我见了许多大菩萨，有相识，也有不相识的，其数甚多。","我到了光明七金山，见到了妙光庄严的大权神王弥勒佛。","弥勒佛说：","“我化身仙童，引领卢师尊到此，你可知何故？”","我答：","“不知。”","弥勒佛说：","“只因你在娑婆，逢多灾劫，我心悯之，故引你来。到此沐浴佛光，休憩片刻。”","我问：","“我未来如何？”","弥勒佛答：“大海起风波。”","“大海起风波又如何？”","弥勒佛答：","“能为万象主。”","我说：","“感谢弥勒佛之指引。”（能为万象主，就是自在）","","弥勒佛说：","“我有一本《通天之书》，现在赠与你，放入你心际，你若有难，翻开一看，自能解之。此《通天之书》，能令你万事如意，逢凶化吉，其中有万万法，对治万万劫难，助你度化众生也。”","弥勒菩萨放一白光，《通天之书》就入我心，我的心中放光无尽。","我有了这一部《通天之书》，突然之间，无所不知，无所不晓。","我的领悟是：世缘未通彻时，全是“是非”，全是“彼此”，非真也。","世缘通彻了，正眼看来，一场大笑话。","我是“无为而化”也。","","诗曰：","通天宝玉书。","精彩妙难量。","翻开便开悟。","便知短与长。","","","","","我","","",""
"005 身高一丈","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c005","这一世应化人间，由于少年失调，到三十岁时，身高才一六二公分，算是矮的。到了四十岁时，身材微胖。","但，我一入禅定，显现出来的“幻身”，就不是一六二公分，也非微胖。","而是，身高一丈，满面亮光，犹如傅粉，鼻直口方，白牙大耳，眼清眉秀，穿白绫袄。","我的“幻身”年约三十岁，不只是一个书生模样，还焕发了一股英气，如同少年英雄一般。我一入定，就是永远三十岁，而且身高一丈，如玉树临风。","且说，我第二次入甚深禅定，现出了身高一丈的“幻身”，看见我的前方不远有一只白兔，这白兔不是一般的兔子，兔子身上发出白毫光，我心中想，那不是月宫的玉兔吗？","那玉兔也是奇怪，仿佛带领我走，频频回首，我不走了，玉兔就不走，我一跟着走，玉兔就蹦蹦跳跳的前进。","玉兔平空而起。","我也凭空而起。","","走到一处宫殿，玉兔就自然消杳了。","我不急着入宫殿，只在宫殿外欣赏宫殿的外墙雕刻及彩绘。","我看见一幅彩绘，内中有一名女子，女子坐在太湖石上，她的容貌天下无双，人间第一美色，无可嫌恶了。","所绘的衣服灿丽，更掩不住那苗条动人的身材，凸凹有致，曲线玲珑，白的白，红的红，仿佛是活的一般。","我一看，竟然出了神。","只见那女子，双睛水盈盈的看着我，定定的，口中喊：","“卢师尊！”","我问：","“你是？”","“瑞玉。”","那“瑞玉”女子，挪了挪身子，让出太湖石的一边，意思要我坐。","我不假思索竟坐了上去。此时“瑞玉”女子，身子倚我身上，一时馨香扑鼻，粉而雪白的脸，那樱桃小口就凑在嘴边。鼻翼及嘴巴微微掀开。","“瑞玉”女子，嗲声的说：","“卢师尊！你是我的。”","那女子现出媚态娇姿，脸红气喘，将细皮白肉，就紧紧贴在我身上。","我快要无法自持了。","","此时玉兔现在我前，挤眉弄眼，前翻后翻，引我注意。我心一定，回过神来。","我再看身旁“瑞玉”女子，大吃一惊，竟变成老母，发白面皱，浑身浮肿，且发出恶臭，口中流涎，又黄又浊。.........","我急忙推开，枯朽而倒。","宫墙彩绘不见了，宫殿不见了，玉兔在我面前眨了眨眼。仿佛笑我定力不足。","我不知道，这到底发生了怎么一回事？","诗曰：","妖女来诱惑。","意气岂能宽。","定心最为要。","失足心寒颤。","","","","","","","","","","","","我","","",""
"006 虫窟","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c006","说，这玉兔真是灵巧，引我至另一宫殿，但见宫殿上写了二字：“欲宫”。","再看旁有一碑，写了几行字，令人看了触目惊心。几行字如下：","这世上之人，原本朝朝劳苦，事事愁烦，没有一毫快乐。","唯有一事是乐也，此事即“欲”，男女交合，才能解决愁烦。","生我者是欲也！死我者是欲也！","世人当知，此非毒也，何惧之有？","世人当知，此亦毒也，不可溺之。","阳不亢，阴不闭，可使内无怨女，外无旷夫，天下治矣！","我读了这几行字，想想其理，好像似是而非，似非而是。问题是愁烦解一时，不能解永远。","但，我个人倒是承认，男女欢爱，在世俗人来说，果是至乐也。","我与玉兔入了“欲宫”，让我一看一听，面红耳赤，心跳不已。","","因为整座欲宫，如同：","杀气腾腾而上，金枪密密麻麻，枪枪扎得呵唷呵唷，人分五色，按住五方，各种姿态，希奇古怪，二物翻翻滚滚，各自双眼如醉如痴。","我看得真是惊慌。","又见：","纵蝶寻芳之势，迷鸟归林之势，蜜蜂酿蜜之势，也有双龙抢珠，也有饿马奔槽......。","或立、或坐、或卧、或倒置。","莫不撩人之眼。","若听声息，更不得了，脚都软了：","有哀声，叹声。","有蚊声，蜂声。","有饥声，饿声。","有勃声，潮声。","有歌声，唱声。","有死声，活声。","有香魂欲去，有好梦欲来，有眉开眼笑，有动极还静。","","我看到此，不觉欲念亦兴起，矜持不住。一绝色女子，赤条条靠近。","我刹那间，想起自己是“行者”，想起弥勒佛所赐《通天之书》。","看了天书，是一“转”字。","我喝了一声：“转！”","再看欲宫之众——","原来整座欲宫，竟然是“虫窟”，那翻翻滚滚的，全是白虫。","二条白虫，正在交合。","上千上万的白虫，全在交合。","我想，我如果也如此如此，岂不是同虫虫一般。","我是修行开悟的行者，自能自主自己的欲念，清心寡欲，大智大德，保全了自己的端庄及清净。","","诗曰：","堕入沙尘变虫虫。","欲念不止何时休。","圣贤能转业自停。","永断人生苦与忧。","","","","且","","",""
"007 浣衣妇","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c007","兔与我，又来到一处地方，此地有宽阔的河面，水潺潺的流着，阳光在水中闪映微红。河流之旁是树林，树林非常的隐密，树林旁有许多花朵，好像非常的欢乐，这种景致，令人陶醉。","我们走到大河旁的一条小土路上，这里有分支的小溪，我们看见溪边有一个年轻浣衣妇，她正蹲着浣衣。","四周很静，这是很美丽的图画，我同浣衣妇打了一个招呼。","她抬头看了我一眼，她有笑意，眼波晶莹而美丽。","她有一头闪亮的黑发，一直垂到白皙的脖子上，她有甜美聪敏的脸蛋，朱唇艳而美，蛾眉细长，她的手柔荑纤长，肤色洁滑，浣衣非常的灵巧。","她虽然穿着普通的裙在浣衣，但掩不住她的曲线玲珑。","她蹲着，露出的小腿肚像雪一样的白。","原本我走过就无事了。","但浣衣妇突然站起来，我看见她泽润的樱唇闪光。","她的黑睛水盈盈。","还有纤颈秀美。","她的衣服不整，可以看出她的乳沟深深。","","她问我：","“你从何来？往何处去？”","我答：","“我是行者，无来处，无去处。”","她问：","“听说行者，不得正眼视女人，听说行者，不得碰女人身子，是吗？”","（她很大胆）","我说：“按理说，是的。”","她说：","“那你为什么一直看着我？”","我答不出。","她说：","“我想碰碰你的手。”","她毫不羞涩，落落大方，双手握紧我的合掌的手。她说：“靠近我。”","她的左腿轻踏在我的右脚上。","我嗅到不知名的香气，我不知何时，竟然抓住她的双手，她的身子靠得更近，我感到血液沸腾。","她示意我，旁边有隐闭的树林。我看出她半开半闭的眼睛充满饥渴的欲望。","","突然，我看见“天书”，里面是一条鱼，死臭的鱼，眼光失去光泽，只剩奄奄一息。","（天书示意我，这鱼是她的前世或未来世）","我的欲望下降了。如果......，我一样会是一条鱼。","一刹那，我手上握的是一片枯叶。而右脚上落着是一片枯叶。","我知道这人间，是过去与未来诸色诸相的舞台，我也是一条鱼吗？","","诗曰：","刹那之间欢与乐。","便结来世不解缘。","浣衣艳姿不可追。","若无天书业更添。","","","","","","玉","","",""
"008 白度母","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=404&chapter_id=c008","兔引领我到了“奥明天宫”，我在天宫遇见了“白度母”。","密教白度母的形象是：身白色如雪，一头二臂，右手与愿印，左手持花印，执乌巴拉花，花分三朵，一含苞，一半开，一全开。","掌心、脚心、天心各有三目，共七目。","妙龄少女，身穿天衣绸裙，各种璎珞。","而我看见的“白度母”，却是：","鹅蛋脸儿，削肩细腰，长挑身材，频盼神飞。","眼同水杏，唇若含丹，眉目横翠，肌白如雪。","胸乳俊美，体态袅娜，娇体含情，性格风流。","鼻腻鹅脂，腮红新荔，春意袭人，娇俏非凡。","我与白度母本是宿缘。","白度母将乌巴拉花一撒，自成“花宫”，重重围绕，齐放光明。","我与白度母合一相应。","","这正是：","仙袂乍飘兮，麝兰之馥郁；莲花欲动兮，花露盈盈；笑靥春桃兮，风回雪舞；出没花间兮，亦瞋亦喜；彼此合一兮，若飞若扬；玉润唇舌兮，闪烁言语；春梅绽开兮，其洁光照；身心融化兮，真是不二。","气与气接。","脉与脉合。","点与点融。","很久，很久，很久；良久，良久，良久；永恒，永恒，永恒。","白度母告诉我：","“这世间人，能知欲者，不多。”","“谁知？”","“卢师尊！”","白度母说：","“欲是药，而非毒，卢师尊是第一人。”","","白度母分析：","无漏是药。","有漏是毒。","药是：大乐、光明、空性。","毒是：贪淫、邪思、地狱。","证得四喜四空是药。","损身败德是毒。","生我之门，死我之户毒也。","生我之门，活我之户药也。","由此见佛性，药也。","由此下地狱，毒也。","","我与白度母的合一，竟然是进入甚深禅定的禅定。至高禅定。","我知道，我再如何解释，娑婆人间的众生也不会明白我的。","有谁知道，我卢师尊是知“欲”第一人，我修行的功力，天下第一。我是超出了“欲”的，我证知“具生喜”，见佛性。","“色即是空，空即是色；色不异空，空不异色。”","我知。","世人不知“欲”也！只知生儿生女，小乐。","唯我知“欲”也！可叹啊！世人无知！","","诗曰：","玉","度母与行者。","禅定参礼深。","莲花出污泥。"
