"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","firstcharacter","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62","chapterbody 63","chapterbody 64","chapterbody 65","chapterbody 66","chapterbody 67","chapterbody 68","chapterbody 69","chapterbody 70","chapterbody 71"
"Table of Contents","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000043&chapter_id=c999","Preface - Open Your Mind","001 Am I a Madman?","002 Ghosts Live in My House","003 The Ghost Who Hid Jewelry","004 The Water God of “Lake Sammamish”","005 Ghost on Your Shoulder","006 A Clinic for Suicide Ghosts","007 Numerous Casino Ghosts","008 Ghost Relatives in a Large Hospital","009 The Ghost behind “Brother Octopus”","010 Ghost Shadows That Appeared at a Baseball Field","011 Vampire Ghosts Spoken by Master Lianzhi","012 What was Being Carried in the Motorcycle’s Backseat?","013 What Fo-chi Lu Saw?","014 The Great Ceremony Held on the Beach","015 The Rebirth of My Father","016 The City God and I are Good Friends","017 Thirty-six Small Statues of Ksitigarbha Bodhisattva vii","018 Xuan Tian Shang Di, the Devil-Sweeping Celestial Venerable of the North Pole","019 Spoken Words Become Efficacious","020 The Mouth of Water Deva","021 Two Wealth Gods Standing Guard","022 Bought Two Small Plots of Land","023 White Lotuses Emanate from My Mouth","024 Forensic Doctor Yang Risong","025 The God Garuda","026 Dongyue Emperor (Dongyue Dadi)","027 The Answer from Heaven","028 The Dim Light of the Long Corridor","029 The Great Compassion of White Dakini","030 Did They Not Come to Receive the Offerings?","031 God of Wealth and Merit Advised Me to Buy a House","032 Mice Squeaking","033 Comments on Andy Lau from Head to Toe","034 Do Not Sell Fish These Few Days","035 Walking from “Wufeng” to “Dakeng”","036 Truly Seeing","037 Do Not Cling to the Inexistence of “Padmakumara”","038 Do Not Go to the Seaside!","039 One Scene from “Bowl of Rice Cake Shop (Dian Kou Wan Guo)”","040 I Will Take You to Fly","041 Cao Cangming Thus Said","042 “Lotus Leaf Child” Sadhana","043 Letting You Know Through Your “Dream”","044 The Significance of Mo-Ding Blessing","045 All Will Have Sariras","046 Lion Maggots Eat Lion Meat","047 A Letter of Gratitude","048 Spiritual Response after Blessing by Mo-Ding","049 The Secret to Generating Faith","050 Special Acknowledgement","","","","","","","","","","","","","","","","","","","","",""
"Preface - Open Your Mind","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000043&chapter_id=c000","n October 2011, I had expounded the dharma in both Seattle Ling Shen Ching Tze Temple and Rainbow Temple in the United States for a duration of two months. During these two months, the dharmas that I taught included numerous essential and precious pith instructions.","","In addition:","","At the “Chang Hung Temple” of Panama, I expounded the mnemonic of the “Nine-Syllable Mantra Syllable-Cutting Formula” and “Kalachakra’s Sun-Moon Disc Practice,” which were very hard to come by.","","At the “St. Dak Temple” in the state of Florida of the United States, I transmitted the secret among secrets, the “Supreme Divine Water Practice.”","","At the “Lian Sheng Temple” in the city of Philadelphia of the United States, I taught “The Padmakumara Dharma Lineage Flow,” which was deeply unfathomable.","","At the “True Buddha Diamond Temple of New York” in the United States, I preached “The Sadhana of Mahapratisara Bodhisattva,” which was really rare and precious.","","At the “Houston True Buddha Temple” in the state of Texas of the United States, I transmitted “Kalachakra’s Five Wheels” and explained “Nirvana is Joy.” These were hardly heard of in this world. Etc…","","The pith instructions in these teachings and the practice of diligent cultivation originated from my lineage masters to whom I pay homage to:","","Reverend Liaoming.","His Holiness the Sixteenth Dharma King (Karmapa).","Vajra Master Sakya Zhengkong.","Vajra Master Thubten Dargye.","And all Masters.","","My cultivation is just like my writing, in that it has not ever been interrupted in the past forty years. In fact, in this current life, it is difficult to find anyone with such perseverance and fortitude towards meditative practice. Therefore, my blessing [to sentient beings] is limitless and so is my achievement.","","I also predicted:","","1. Attainment of Buddhahood in this current life.","2. Rebirth in the pure land.","3. Eternally living in this world and turning the dharma wheel.","","In this life, I am a cultivator who has set the foundation in benefiting the generations of cultivators to come. This is my wish and is also the vow that I made.","","Over forty years ago, I was at the “Jade Emperor Temple” of Taichung where I coincidentally met “Madame Lin Qiandai” and was guided by her. Golden Mother of the Jade Pond descended and opened my Divine Eyes.","","Golden Mother of the Jade Pond said, “I have been looking for you for a long time!”","","And said, “I have helped to transfer your [military] posting so that you will be permanently stationed in Taichung.” (Referring to my life in the army.)","","And said, “A great opportunity will arise and a Great Dharma will be passed on to you.”","","And said, “Follow the buddhas wholeheartedly, practice wholeheartedly, and perform good deeds wholeheartedly.”","(I was twenty-six years old at that time.)","","Starting from that day, I encountered miracles almost every day to the extent that I could not finish recounting all of them even if I were to do so.","","I flew to the buddha land of Padmasambhava.","I visited ancient tombs or caves.","I was swallowed through the mouth of Padmasambhava, and then reborn from Padmasambhava.","Padmasambhava transformed into rainbow light. I merged into the rainbow light and bathed in all the empowerments from the lineage of Padmasambhava; the flow of his lineage empowerments diffused through my eighty-four thousand pores.","","I experienced:","I","The splitting of the sky.","The shaking of the mountains, rivers, and lands.","I wrote my experiences, but was misconstrued by people as mad.","(Therein lies the secret of the awakening of my faith)","I wish this book, [Open Your Mind], can make people generate faith in practicing Buddhism.","Living Buddha Lian-sheng","Sheng-yen Lu","17102 NE 40th CT.,","Redmond, WA 98052","U.S.A.","This audio book recording was created by Tommy Chau.","","","","","","","","",""
"001 Am I a Mad Man?","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000043&chapter_id=c001","may look a little crazy, but this craziness is hardly enough for admittance to the mental hospital.","In fact, there are also ghosts at “True Buddha Quarter,” but these ghosts are my disciples who took refuge in me.","My reasons for “craziness” are:","Sheng-yen Lu","Being friends with ghosts.","Being friends with gods.","Being friends with bodhisattvas.","Being friends with buddhas.","","These reasons may be enough to cause people to classify me as a going-to-be-crazy person, because similar types of people have been locked up in the mental hospital.","","There is a joke [about mental patients]:","","The Dean of a mental hospital asked a patient, “Who told you that you are Jesus?”","","The patient answered, “God.”","","Another patient who passed by then told the patient who claimed to be Jesus, “I did not tell you that you are Jesus.”","","After reading this joke, I had a big laugh.","","Therefore, when people call me a madman upon knowing my situation, I cannot blame them because I am not very different from a madman.","","I am otherwise a normal person.","When it is time to sleep, I sleep.","When it is time to cultivate, I cultivate.","When it is time to write, I write.","When it is time to paint, I paint.","","I do not wear thick underwear in the summer, and I definitely do not wear just a t-shirt in the winter. I put on a scarf when I feel cold, and a thin robe when I feel warm.","","I have a normal life.","I neither break laws nor violate precepts, and I lead a disciplined life.","I have breakfast at 6 o’clock in the morning, lunch at noon time, and dinner at 6 o’clock in the evening.","I socialize with people normally.","","I said: I am not a saint, I am not great, I am just an ordinary person. Everything runs naturally, and being natural is the path (the Tao). Laozi said: “Tao follows the laws of nature.”","","I think: “Saints must be the most unwise people in the world.” (Self-binding)","","I understand the philosophy of the “Book of Changes”: “A great man’s virtue is in harmony with that of heaven and earth, his brightness is in harmony with that of the sun and the moon, his orderliness is in harmony with those of the four seasons, and his [encounters of] auspiciousness and ominousness are in harmony with those of gods and ghosts.”","","1. Observe morality.","2. Purify body, speech, and mind.","3. Live naturally.","4. Understand the reasons behind auspiciousness and ominousness, and bad and good fortune.","","The four items listed above are in tandem with the philosophy of the Book of Changes. Being friends with gods and ghosts is something which","I have in excess of a normal person, and therefore I am a person who is able tell the auspiciousness and ominousness of things.","","I have numerous ghost friends, and they are all my good friends. One year, I was facing an imminent calamity.","I","A ghost told me, “A big imminent calamity.”","","","The ghost answered, “Escape!”","","","The ghost answered, “Create a diversion.” (Make people think that you are here, when in fact, you are somewhere else, ha ha ha!)","","My ghost friends helped me, and my celestial friends also helped me, so that I could breeze through a disaster.","","","I asked, “What to do?”","I asked, “How to escape?”","I am not bragging about the friendships that I have with ghosts, gods, bodhisattvas, and buddhas, because anyone can do so. Yao and Shun were human beings, and anyone could be Yao or Shun; Shakyamuni Buddha was a human being, and you could also be Shakyamuni Buddha. On this point, I am not deceiving you!","●","","","","",""
"002 Ghosts Live in My House","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000043&chapter_id=c002","have moved several times while I lived in Seattle in the state of Washington of the United States.","","The first time, I moved from “Ballard” to “True Buddha Quarter.”","The second time, I moved from “True Buddha Quarter” to “Phantom Lake.”","The third time, I moved from “Phantom Lake” to “South Mountain Residence.”","The fourth time, I moved from “South Mountain Residence” to “New South Mountain Residence.”","","There was a ghost at the basement of my Ballard house, and this ghost was not too friendly to Fo-ching and Fo-chi.","","When I was moving out, I could even hear them sighing in the basement.","","“New South Mountain Residence” is my last home and it occupies two acres of land. It is a bigger house and two ghosts live there.","","Every morning when I wake up, I have to walk along a long corridor. When I pass by the guest restroom located along that corridor, a loud “KA” noise would always sound.","The same thing happens everyday.","","As it turned out, the ghosts in the restroom were startled by the light emitting from me.","","Initially, there was just only one ghost, but later, another ghost surprisingly moved into “New South Mountain Residence” when I happened to stay in Taiwan longer than usual.","","These two ghosts are not harmful to us.","","One of the ghosts would even salute me in military style, because he used to be an American soldier and he knew that I was a former Lieutenant commander. Therefore, every time he sees me, he will salute me.","","When his shoes collide, they also generate a “KA” sound.","","This ghost helps me a lot.","","Every time I perform the transformation of nectar water for offering:","","Great Peng Golden-Winged Bird","All the ghosts and spirits of the wilderness","Raksasa and Hariti","All filled up with nectar","Om, mu-di-li, so-ha. Om, mu-di-li, so-ha. Om, mu-di-li, so-ha.","","This American soldier ghost helps to maintain order for those coming to receive my nectar offering.","","There was once a wandering mangy ghost who wanted to stay in “New South Mountain Residence” But, as he had a bad temperament, he was considered unqualified by the American soldier ghost who pulled him out and made him leave.","","In fact, there are also ghosts at “True Buddha Quarter,” but these ghosts are my disciples who took refuge in me. They are very good; they know how to cultivate Vajrayana Dharma and help me a lot. All the ghosts in “True Buddha Quarter” can fly and make supernatural transformation. They are already getting close to being “gods.”","I asked them, “Is it good being a ghost?”","","They answered, “Good!”","","“How is it good?” I asked.","","The group of ghosts said, “A ghost has neither form nor body, just spirit. No form or body results in less sickness and affliction. We all have a little bit of supernatural power, are able to transform and fly, and can go anywhere we please. There is so much freedom and we do not want to be bounded by the physical form, which would be very troublesome.”","","I said, “Ghosts may reincarnate again to become human beings.”","","I","","Once, I was going out.","A ghost said, “Remember to bring an umbrella!”","","“It is really sunny, why bring umbrella?” I was puzzled.","“It will rain at three o’clock in the afternoon!” the ghost said.","","Sure enough, in the afternoon, the sky turned dark.","","Three o’clock in the afternoon, the rain started pouring.","The ghost had predicted accurately.","","","","","The group of ghosts answered, “Only a few reincarnate to become human beings due to affinity and karma. In fact, human beings are ghosts and ghosts are human beings; the only difference between them is that one has a physical body and the other does not have. We are happier without the physical body.”","I asked, “How did you know?”","The ghost answered, “Did you not say that ghosts have five supernatural powers?”","●","Let me tell you: we should all believe that ghosts, gods, bodhisattvas, and buddhas exist."
"003 The Ghost Who Hid Jewelry","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000043&chapter_id=c003","t is well known that Grand Master Lu makes friends with, corresponds with, communicates with, and interacts cordially with ghosts.","Sheng-yen Lu","One day, an old female ghost leisurely arrived.","","This ghost wore a stiff and blank facial expression, looked extremely lonely, and did not speak. She just pointed to her heart.","","I asked, “Is something on your mind?”","","She nodded.","","She wanted me to go with her and also to take me with her. Actually, I was quite unwilling, but, since a skillful man is a bold man, I went ahead without much hesitation. Perhaps, her daughter is a beautiful female ghost!","","We walked into a house.","","She pointed at a wooden pillar underneath a round table.","","She said, “Open.”","","The wooden pillar separated, and in the hollow space within, there was a large stash of jewelry. My eyes lit up at the sight:","","Diamond rings and diamonds.","Gold.","Pearl necklaces.","Other jewelry.","Jade bracelets.","","The jewelry was in a big bag hidden in the hollow part of the table pillar, which was a perfect place for hiding the jewelry.","","I asked, “Are they for me?” I was so elated.","","She answered, “No! They are for my descendants!”","","This time, it was my turn to wear a stiff facial expression.","","After a few days, the Zhuang family came to my place and indicated their request for help:","","When the old grandmother was alive, she had a large quantity of jewelry, which included gold, silver, diamonds, and pearls. After she passed away, the jewelry disappeared. When she was alive, the old grandmother had a habit of hiding things because she was afraid of being robbed or stolen from by thieves.","","Her habit included hiding things in the:","","“Ceiling.”","“Basement.”","“Back of the plated plaque.”","“Freezer.”","“Sofa.”","“Toilet.”","“Belly of the Maitreya Buddha Statue.”","“Bottom of the bed.”","“Pillow case.”","Etc…","","I","","I thought to myself, “They have eventually come!”","Disciple Zhuang said, “If we are able to find the jewelry, we will donate to Sheng-Yen Lu Foundation. We will definitely do it.”","","I thought to myself, “That’s more like it!”","I asked, “Have you searched everywhere?”","","“Yes, we have searched numerous times; all the possible hiding places from the ceiling to the basement, including the belly of the Maitreya Bodhisattva statue.”","","I said, “Inside the hollow wooden pillar of the round table.”","After they went home and searched, they really found it.","","","","","Due to her sudden death, she had no time to say or explain, and none of the descendants were aware of the whereabouts of the jewelry. Hence, we especially came to seek help from Grand Master Lu to find out the exact location of old grandmother’s jewelry.","Disciple Zhuang asked me, “Grand Master Lu, how did you know?”","I said, “Your old grandmother personally came and told me.”","“Wow! So accurate!”","Let me tell you: we should all believe that ghosts, gods, bodhisattvas, and buddhas exist."
"004 The Water God of Lake Sammamish","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000043&chapter_id=c004","hen I was staying in “True Buddha Quarter,” I frequently visited Lake Sammamish, which is the second biggest lake in Washington State.","","I once wrote a book, “The Inner World of the Lake,” that featured all kinds of stories about this lake.","","","At one time:","","I went to the lake’s pier at the small park. At the pier, there were wooden boards floating and extending onto the lake.","","I went to the very end of the pier looking at the water plants at the bottom of the lake. Above the water plants, fish swam back and forth. I always enjoy watching the fish; they are always happy, and my mind will become happy afterwards.","","Suddenly, I discerned gradual changes happening before my very eyes—two big eyes staring at me from the bottom of the lake.","","There were also dense eyebrows, a nose, and very thick lips.","","Beard covered the whole face.","","I was astonished; the first thought that came to mind was illusion.","","I took a look at the trees in the park, then at the mountains opposite me, and then I looked at the bottom of the lake again.","","Oh heavens! That face was still there, and the two big eyes were still staring at me and sizing me up.","","Isn’t it strange to find a face in the lake?","","Later, I meditated under a big tree beside the lake.","","In my meditation, I saw a man walk towards me. It was the same big-bearded strange visitor from the lake. He started to ask me, “You can see me?”","","I answered, “I can see you.”","","He said, “I can see that your eyes are different from other people’s.","","Brilliance radiates from your eyes. Are they Yin Yang Eyes?”","","I said, “No, mine are Divine Eyes.”","","He was obviously very glad to know someone could really see him. He was very polite and started to chat with me.","","He said that during one winter, the snow was so heavy that he lost control of his car, the brakes failed, and his car skidded all the way down to the bottom of the lake.","","He then became a water ghost.","","He asked me, “Are you afraid of water ghosts?”","","I replied, “I am not afraid since I am a cultivator.”","","He had a big laugh.","","He told me that after he died, he realized that there were quite a lot of water ghosts in Lake Sammamish. Since he had a sturdy physique, the other water ghosts nominated him to be their ghost king. Not long after, he became the leader of all the water ghosts in Lake Sammamish.","","W","","I said, “Indeed you also have a compassionate heart!”","He said, “There are ghosts that are harmless to people.” He continued saying, “I feel that doing this is great; continuously saving quite a number of people. Eventually the heavens became aware of this and promoted me from ghost king to water god.”","","I congratulated him.","He mentioned that he could also radiate lights and fly. Even though he was a water god, he could also travel in the human world.","","I asked him, “Would you still want to be a human being?”","","He answered, “Human beings! There are few who save and more who harm others. I don’t want to be a human being.”","After I listened to this, I could not help but feel affected.","","","","","One year, a heavy snowfall also caused another car to skid into the lake. All the ghosts were gladly awaiting for a new ghost’s imminent arrival. However, the ghost king suddenly became merciful and commanded a group of ghosts to hold up the sinking car, open the car door, and let the person escape. They even helped him swim up to the shore, and that person miraculously survived.","●","The soul itself has no form. But, by attaching to an animal’s body which has form, it is then able to come back and let people witness its return.","Sheng-yen Lu",""
"005 Ghost on Your Shoulder","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000043&chapter_id=c005","here was a lady named Luo Shanan who asked me, “My father was very fond of me when he was alive. Before he died, he whispered in my ear that he would certainly come back to see me after his death. But until now, why do I still not feel anything?”","","I answered, “Your father had definitely come back to see you!”","","“No?”","","I said, “He was perched on your shoulder, why do you say no?”","","“Oh!” Miss Luo Shanan exclaimed surprisingly.","","Miss Luo said, “There was a strange thing that happened at the eulogy ceremony. Halfway through the ceremony, suddenly, for no reason, a bird flew in and kept making chirping sounds. At last, it landed on my shoulder and stayed there for a long time. It was reluctant to leave. It also used its beak to affectionately peck at my collar. Was this my father coming back to see me?”","","I said, “Correct!”","","I told Miss Luo, “The bird was the transformation of your father. He has already fulfilled his promise of coming back to see you!”","","“How could my father become a bird?”","","I told Miss Luo, “The soul itself has no form. But, by attaching to an animal’s body which has form, it is then able to come back and let people witness its return.”","","I told Miss Luo, “Once, I conducted a bardo deliverance ceremony for my friend. I said, ‘The bardo deliverance tonight will be very special because I have received a message that all the deceased relatives and friends will gather here tonight.’ ”","","“Are there any special indications?”","","“We will know when the time comes!” I said mysteriously.","","In the evening, during bardo deliverance ceremony, a large group of “water ants” flew in from outside and these “water ants” could fly with a pair of large wings. It was amazing to see a flock of water ants pour in.","","I said, “Do not kill the water ants!”","","I said, “They are all soul-attached bodies.”","","One of the “water ants” flew to the top of my sutra chanting books and stayed put. It actually was my friend that passed away recently.","","I said to the “water ant,” “You can understand my words. If you are my friend, fly to the white candle and circle around three times.”","","That “water ant” was really obedient. It flew to the white candle and circled around three times above it.","","Of all the participants of the bardo deliverance ceremony, there was not one that was not deeply amazed at what they saw.","","I told Miss Luo, in the past, Marpa, the Vajrayana Kagyu Lineage Master, reversed the sequence of worship, and this resulted in the death of one of his sons.","","When his son fell down from riding a horse and died, Marpa used the magic of “The Yoga of Forceful Projection” and attached the soul of his son to the body of a big bird which was commanded to fly to India to search for an honorable couple.","","Marpa’s son then reincarnated and was reborn. (This story is widely circulated in Tibetan Vajrayana.)","","I said:","","People die and become ghosts.","Ghosts can return.","Return on the top of the altar.","T","Do not rashly kill a ghost-attached animal on the altar, because the deceased person might be attaching itself to the body of the animal.","","","●","","","Sheng-yen Lu","","","","","After Miss Luo’s father passed away, his soul attached to the body of a little bird which flew into the mourning hall and stood on the shoulder of Miss Luo. This is the truth about souls, believe it or not?","The defects caused by suicide, even after reincarnation, will carry forward to the next life as damage is already done.","","","","","","",""
"006 A Clinic for Suicide Ghosts","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000043&chapter_id=c006","am not hesitant to say that my younger brother, “Lu Zhaorong,” committed suicide.","If you bet big time because of your mesmerization with money and gold, you may lose everything.","He had been coddled since he was small.","Sheng-yen Lu","A child who is too well taken care of by the parents, would often become part of the “Strawberry Generation” when they grow up, and are very fragile physically and mentally.","","In junior high school, he was lured by a younger female schoolmate to sniff “Super Glue” and lived his days in hallucination.","","He did not wake up to reality even after the younger female schoolmate committed suicide.","","After he graduated from vocational high school, he worked in a glass manufacturing factory, still sniffing “Super Glue.” Even though his girlfriend tried to stop him, he did not listen. Eventually they broke up.","","My youngest brother, who was my only brother, suffered such a big blow that he committed suicide by taking potassium cyanide.","","His throat was completely burnt. In an instant, his soul departed from his body.","","At that time, I was already in the United States.","","My youngest brother became a suicide ghost and followed my mother to my home in the United States. He manifested three times in one night.","","1. To show to my mother who was still alive at that time;","2. To show to Master Lian-xiang and ask for money;","3. To show to me to treat his “throat.”","","I applied the secret practice of “Surupakaya Tathagata” with the aid of ‘qi’ to help my brother. It was really marvelous that his throat could make sound and, in spite of everything, was amazingly cured.","","Once this story got out, it caused an uproar in the “ghost realm.”","","Many suicide ghosts came to my place one after another to seek treatment, and my home actually became a clinic for suicide ghosts.","","Those who took poison sought treatment for internal organs.","","Those who jumped to their deaths sought treatment for broken limbs.","","Those who hung themselves sought treatment for their throats.","","Those who died by carbon monoxide poisoning sought treatment for their","brains.","Those who drowned sought treatment for their lungs. Etc…","","One day, a very ugly female ghost manifested to me. Her skin was completely damaged due to self-immolation.","","I said to her, “You need to find a dermatologist!”","","She answered, “Treatment from the dermatologist was ineffective, so I have to seek Grand Master Lu.”","","I asked, “Why is this so?”","","She replied, “Mister has the practice of ‘Surupakaya Tathagata.’ Accordingly, that practice will definitely cure the burnt skin on my whole body.”","","So, I blew ‘qi’ on the body of the female ghost. Every mouthful of ‘qi’ expelled resulted in the appearance of a piece of “wonderful skin.” Two pieces appeared when I blew twice.","I","When I blew ‘qi’ onto her nipples, her face was quite embarrassed.","","","The three areas were completely blown at.","","","Her beauty is sufficient to turn my life as a cultivator upside down!","That beautiful-as-a-fairy female ghost, at the end, surprisingly made a vow to become my attendant. Compared to this refined fairy-like female ghost, all the beautiful girls of the human world are nothing but coarse.","","Fortunately, I have practiced “White Skeleton Visualization.”","Otherwise, I might have taken the female ghost to be my wife!","When I blew ‘qi’ onto her secret parts, her face also showed embarrassment.","Once I finished blowing ‘qi,’ wow! Surprisingly, this ugly female ghost became as beautiful as a heavenly fairy.","","","","Frankly speaking, I like ghosts more than people. I have many ghost disciples and they also belong to the group who “chases after the Buddha.” They help me in the invisible world, and sometimes, their help is even better than the tangible world’s.","I can communicate with the ghosts in the ghost realm.","The ghosts also know that there is a Grand Master Lu.","Here, I still want to remind people not to commit suicide because the karmic hindrance will be much heavier after committing suicide. The defects caused by suicide, even after reincarnation, will carry forward to the next life as damage is already done."
"007 Numerous Casino Ghosts","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000043&chapter_id=c007","or people who play mahjong, most of them will have experienced some strange occurrences. After that, they will usually say: “Ghost in the cards!”","","Actually, playing mahjong requires four people. The game will not work if one player is missing. Everyone thinks that four people are playing in a mahjong session, but from my observation, there are eight people playing and four of them are ghosts. Possibly, there are even more ghosts standing on the side watching the game.","","There is also another experience that will make you never forget.","","New mahjong learners obviously do not know how to play and they usually play without using tactics. But, the strange thing is that new learners always win. They usually make mahjong experts scream in exasperation.","","Why do new learners win?","","It is simple. With the ghosts’ assistance, a newcomer is being dragged into the sea of gambling and he or she becomes addicted to gambling. Then, everybody can play together!","","I can see that all worldly people have the gambling nature in them. As for ghosts, they like gambling even more.","","Once, I visited a casino in Southeast Asia. When I entered the casino, a bunch of ghosts screamed, “The Ghost King is here, everyone dash away!”","","The bunch of ghosts really dispersed.","","I grabbed a ghost and asked, “Why do you call me the Ghost King?”","","The ghost answered, “The Smiling Face Ghost King is hidden at the back of your right thumb. Once he appears, we cannot compete, and you will win!”","","I said, “I did not come here to gamble.”","","At this time, the group of ghosts gradually returned.","","I asked, “Why are you gathering in the casino?”","","They answered, “We work under a Voodoo master who practices some techniques to make our casino dealer win. The majority of the casinos practice the ghost technique to make customers totally lose. We take the cards and move them around in order to make the customers lose and the dealer win.”","","I had a big laugh after hearing that.","","There was another occasion when I was in a Las Vegas casino to watch “xiu” [shows].","","Unexpectedly, the Four Aunties decided to gamble.","","At the gambling table, I was standing behind them chanting a mantra:","The Vajrakilaya Mantra:","","“Om, bie-zha, ji-li-ji-la-ya, sha-er-wa, bi-ga-nian, bang, hum-pei.”","","And also Venerable Xiongtian.","","Both of them are super-powerful ghost kings.","","They usually scare the gambling ghosts to the extent that they flee everywhere.","","The Four Aunties: Chen Zhuanfang, Wei Siyan, Jiang Guanrong, and Sun Aizhen, won on every bet. The casino dealer had to consecutively change the card distributor four times.","","The manager of the casino rushed there.","","F","","Every time the cards were distributed, miracles happened one after another. In every bet, the dealer was miserably defeated.","It caused a big uproar in the casino.","","The opponent was at their wit’s end. (In fact, it was not because we had our good luck in the cards. It was all due to the assistance we received from the two powerful ghost kings who were manipulating the cards. The gambling ghosts collapsed to the ground. We did not lose even on one bet. The casino dealer could only laugh sadly. Again and again, they could not do anything other than to keep changing the card distributors, but the result was always the same—loss.)","Whenever I, the ancestor of the ghost king, am present, all the small ghosts must obey.","","I will win.","","I said, most of the casinos in Southeast Asia hire skilled masters to rear ghosts for practicing the ‘Five Ghosts Transporting Technique to make the gamblers lose.","Even Western casinos have people rearing ghosts.","","","","","The security personnel rushed there.","Therefore, if you are not skillful enough, never go to casinos. If you bet big time because of your mesmerization with money and gold, you may lose everything. Please be extra careful, everyone! The best thing is not to gamble at all.","●","I only saw the Three Saints of the Western Paradise appear in the sky, and then delivered my relative to the Western Heaven.","Sheng-yen Lu"
"008 Ghost Relatives in a Large Hospital","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000043&chapter_id=c008","very time I go to a large hospital, the ghosts I see are really like those in the farmers’ market; they are continuously walking to and fro.","There are all kinds of ghosts in the hospital. There are children, as well as old, strong, young, male, and female ghosts. There are also ghosts in “irregular forms.”","","Each time I see numerous ghosts standing by a patient’s bedside or outside a patient’s room, I know that the patient’s time is up!","","Once, I pointed at the patient’s room or bed and said, “Amitabha Buddha! The patient is dying very soon!”","","The patient whom I was pointing at really passed away within “two hours.”","","People asked, “Why is that?”","","I answered, “All the ghost relatives of the dying patient arrive after hearing the news. Ghosts know when to come to pick up their relative.” (It is indeed really accurate!)","","People asked, “Are they not being picked up by the netherworld guards?”","","I answered, “Ordinary people are usually picked up by their ghost relatives. As for those picked up by netherworld guards, they have heavier karma, and are sent to hell.”","","At one time, while my relative was dying, she saw her deceased husband coming to pick her up. She also saw her deceased son and a group of her deceased relatives and friends.","","I said, “Not good! She will become a ghost!”","","I took out my mala and hung it on my relative.","","As soon as it was hung on her, all the ghosts disappeared.","","I only saw the Three Saints of the Western Paradise appear in the sky, and then delivered my relative to the Western Heaven.","","At the point of her death, my relative said that she could initially see the arrival of all her ghost relatives, but once my mala was hung upon her, all the ghosts disappeared and she was taken and delivered to the Western Heaven.","","There was another time I saw a netherworld guard holding a hand pillory, which is used for locking up people. That netherworld guard was walking around, eventually entering an operating room. I thought the patient must be dead, and would be locked away in the middle of the operation.","","Surprisingly, the one being locked up was not the patient.","","It was the operation surgeon.","","I could only hear a period of big confusion in the operating room.","","The one who was carried out was not the patient; it was the surgeon who wore a white robe. According to what I heard, halfway through the operation, the surgeon collapsed and fainted on the ground, and unexpectedly died. They also said overwork was the cause of the surgeon’s death.","","I saw very clearly that the netherworld guard went in and out of the operating room.","","I also saw a nurse ghost who wore a white nurse cap and a white nurse uniform.","","The strange thing was, this nurse ghost walked around in the hospital, went in and out of all the patients’ rooms, examined every patient, measured blood pressure, took their temperature, and kept patients warm with blankets, among many acts.","","I noticed that the name tag of the nurse ghost was, “Wen Cuihua.”","","I asked, “Is there a nurse called Wen Cuihua in the hospital?”","","The medical staff answered, “Yes, she passed away a week ago because of pancreatic cancer. Although she found out she had cancer, she had never stopped working until she died. Her spirit was very admirable.”","","E","","I said, “I see her still working in the hospital!”","The medical staff said, “Who (what ghost) do you think you’re kidding?”","I was speechless because the nurse ghost Wen Cuihua was directly facing me and laughing!","","","Ghosts are manipulating the world’s progress in civilization, science and medicine, creative works of art, and the inventions of inventors.","","Sheng-yen Lu","","","","●","","","The medical staff continued, “Every one of us in the hospital admires this nurse. She was highly responsible and often worked very hard without complaining.”","","","",""
