"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","firstcharacter","chapterbody 51","chapterbody 52","chapterbody 53"
"Table of Contents","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c999","Preface: The Appearing of White Tara","001 The Book Tossed Down by White Tara","002 Malfunctioned Minds","003 Breaking Vows and Precepts Pertaining to One's Root Guru","004 The Power of Contamination","005 Think Often that I am Bound to Die","006 Three Bowls","007 The Precious Sword of the Yogi","008 Please Do Not Slander Casually","009 Ignorance is the Root of Reincarnation","010 Sentient Beings are Inconceivable","011 The Samaya between a Buddhist Practitioner and Sentient Beings","012 The Samaya of Taking Refuge","013 Do Enlightened Ones Have Samaya?","014 The Samaya of Diligence","015 The Braggadocio Dharma King","016 When a Blind Cat Meets a Dead Rat","017 Taoist Master Qiu Chang-chun","018 Suspicious Circumstances Best Avoided","019 Degeneration of Great Pleasure","020 Shooting Arrows Out of Thin Air","021 Poisonous Tongues","022 Endless Chatter","023 Sharp Tongues and Lips","024 Craving and Attachment to the Secular World 96","025 One Cannot Hate","026 Pride and Prejudice","027 The Most Serious Samaya Precepts","028 Buddhist Regulations","029 What is a Real Practitioner?","030 “Selflessness” as the Primary Teaching","031 The Profound Secret of “Selflessness”","032 A Whole Drama","033 “Sectarianism” is a Fault","034 On “Retreating from the Mind of Tao”","035 Superficial “Clairvoyance”","036 How Does One Extinguish Worries?","037 Signs of Attainment","038 Encountering a Rare and Precious Master","039 Fake Masters","040 White Tara’s Warning","041 The Danger of Falling into Traps","042 Naive, Naive, and Still Naive","043 Begin with the Practice of Antidotes","044 The Precious Mara Slaying Sword","045 The Deep Suffering Within","046 The Most Crucial Key","047 The Secret to Success in Cultivation","048 Dharma Teachings Pertaining to the Great Perfection","049 A Final Warning","","","",""
"Preface: The Appearing of White Tara","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c000","n the past, when I was at my teacher, Vajra Acharya Thubten Dargye's place, he told me a true story.","","Vajra Acharya Thubten Dargye said that one day White Tara appeared to him and told him: ""You must quickly go to Taiwan, to find someone with the family name of Luo. In this present age, this Mr. Luo will be a rare and precious acharya, and in the future he will attain accomplishment. This acharya's bliss-body is none other than Amitabha Buddha.""","","At the beginning, Vajra Acharya Thubten Dargye did not take this seriously. However, White Tara appeared to him repeatedly. Hence my teacher brought his attendant Thubten Qi-gong with him to Taiwan to disseminate Buddhadharma, while looking for someone with the last name of ""Luo"" at the same time. He searched day after day. But he could not find someone with the last name of ""Luo."" Vajra Acharya Thubten Dargye was very upset that he could not find someone with the last name of ""Luo.""","","Not long after, I took refuge under Vajra Acharya Thubten Dargye of my own accord. My teacher gave me the dharma name, ""Thubten Qi-mo.""","","One day, White Tara showed up again. My teacher told White Tara: ""While in Taiwan, I could not find someone with the family name of 'Luo.'""","White Tara replied: ""He is already by your side, and is none other than Sheng-Yen Lu. Go on and teach him the profound esoteric keys of the three inner secret dharma practices.""","My teacher said: ""His family name is Lu, not Luo?"" White Tara replied: ""In Taiwanese, the pronunciation of the family name Lu is Luo."" ""Lu"" is pronounced as ""Luo"" in Taiwanese.","Suddenly, light dawned upon Vajra Acharya Thubten Dargye.","As a result, I became his main disciple at his place, and received the pivotal keys of the inner secret practices all through his teachings, incomparable empowerments and continuous blessings.","","At Vajra Acharya Thubten Dargye's place, I received:","","Kurukulle Buddha Mother empowerment","The Highest Yoga Tantra empowerment","Yamantaka empowerment","The great Kalachakra empower ...","","Even after the parinirvana of Vajra Acharya Thubten Dargye, he still appeared to teach me uncommon dharma teachings. I carry him above my crown in gratitude.","","* * *","","One day, White Tara appeared and spoke to me:","""Grandmaster Lu, you have to write a book. You have the obligation to write such a book.""","","""What book?""","","From the emptiness above, White Tara tossed a book down to me. The moment I flipped open the book, I was greatly appalled!","","White Tara said:","""Write it! This is a warning to your holy disciples, who are in dangerous situations or have gone astray. This is a way to call them back onto the right path!""","","I said:","""This! This is too awkward!""","","White Tara said:","""Doing this awkward task is also an act of kindness! This book is one that people need to read.""","","Contact information for Living Buddha Lian Sheng:","Sheng-Yen Lu","17102 NE 40th Court","Redmond, WA 98052","U.S.A.","","","","","I","","",""
"001 The Book Tossed Down by White Tara","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c001","s mentioned in the preface, White Tara tossed a book down to me from the emptiness. As I flipped through it, I was shocked.","","This book was titled,","As I paged through the book, I was overwhelmed by horror, completely at a loss.","On the first page:","Many Buddhist practitioners, from taking refuge in the Vajra Master to taking refuge in Buddha, Dharma, and Sangha, from cultivating external practices to internal practices, to secret practices, to the most secret practices, maintain unshakable faith in the Three Jewels.","They pray and make offerings to their teacher and the Three Jewels. These are all a necessary part of cultivation. However, they forget that ""abiding by precepts"" is the foundation of cultivation.","Because they did not ""abide by the precepts,"" thus in terms of ""karmic affinity,"" they will fall into the three lower realms.","These three lower realms are the realms of:","Hell","Hungry ghosts","Animals","Listed in the book were some examples of ""causes"" and ""consequences."" What struck my eyes and appalled me, was the sight of a number of listed names that were not just familiar, but very familiar. Because of this, tears streamed down my face!","How could they be saved? What could be done? These disciples that I knew well had ""fallen into the three lower realms,"" and had fallen with certainty. How could they be saved? The answer was:","""Re-Purification!""","","* * *","","What is ""Re-Purification?""","It is remorse for the precepts one has violated, and prompt repentance before the buddhas and bodhisattvas.","The asking of forgiveness for one's transgressions from one's Root Guru in person; followed by renewed refuge and empowerment, and the vow to keep the five precepts, eight precepts, and bodhisattva vows, to practice the ten virtuous deeds, and to engender bodhicitta. This must continue until one receives a sign of acceptance for one's repentance.","When this occurs, one has now avoided the dangerous ground and wayward paths that lead down into the three lower realms.","Otherwise:","One would definitely fall into the three lower realms, without any chance of reprieve.","","* * *","","As Buddhists, we understand that:","Keeping the five precepts - human realm","Practicing the ten virtuous deeds - heavenly realm Following the","Theravada precepts - arhat","Cultivating the twelve links of dependent arising - pratyekabuddha","Practicing the six paramitas - bodhisattva","Engendering great bodhicitta - buddha","","Many numerous buddhas and bodhisattvas manifest in a variety of physical appearances and forms, to teach us to guard and keep different types of vows and precepts. Our understanding of Buddha's teachings should be ""in depth,"" but cultivation begins from following the ""precepts.""","(In other words, this means to start cultivating from the most basic precepts)","When Shakyamuni Buddha was about to enter nirvana, he left behind a most important message, ""to rely upon the precepts as your teacher."" This was the Buddha's instruction.","The Buddha with unsurpassed and perfect enlightenment, left behind only one word - ""precepts."" How can I and other Buddhists not follow it?","If one does not abide by precepts, and is able to accomplish buddhahood, neither I nor others will believe it.","","The book indicates clearly:","Cultivate the practice of abiding by the precepts, [with awareness of] what one should avoid, and what one should comply with. Only by practicing in such a manner, will one be able to remain on the path of right dharma.","The power of abiding by precepts is boundless. The relinquishment of inappropriate and negative conduct is in fact a dharma remedy for worries and troubles. May everyone do one's best to abide by the precepts together!","Abiding by precepts is noble.","Abiding by precepts is purity.","Abiding by precepts is merit.","Only by cultivating in this manner, will one be able to advance in one's practice.","","","A","Highly Confidential Register of Those Fallen into the Three Lower Realms.","",""
"002 Malfunctioned Minds","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c002","n the book , several notable people were listed, whose names I will not disclose.","One was a ""treasurer,"" who was in debt and consequently embezzled the trust fund and fled. My goodness! The money he misappropriated belonged to a cultivation venue!","One was a ""chapter chairperson,"" who changed the shared ownership of the cultivation venue to a private ownership, which meant that the entire cultivation venue was now taken over as personal property.","One was a ""dharma propagator,"" who devoured an entire temple, and ran away from under the banner of True Buddha School.","The list goes on.","All of them are listed in the .","Highly Confidential Register of Those Fallen into the Three Lower Realms","In the past, I have mentioned in my dharma talks:","""Public security is comparatively better in Japan, there are relatively fewer robbers and thieves. Why is that? It is because the Japanese are educated from a young age not to take things that do not belong to them!""","It is that apparent.","It is that simple.","It is that pure.","However -","Why is it that some people can never learn?","...","* * *","* * *","I have once said this to people:","""One is Buddhadharma that liberates one from life and death, another is a gilded shining temple. Which of these two would you choose?""","Those with wisdom, would choose ""release from life and death.""","Those with malfunctioned heads, would choose ""temple property.""","I would say thus:","The key points of Buddhism are:","A transcendental mind of renunciation.","A mind of bodhicitta.","Right views and the Middle Path.","If cultivators in this world quarrel endlessly over temple property or even purloin it, isn't this a very shameful event? It is really absurd.","Temples are worldly objects.","Temples stand upon the great earth.","Temples cannot be brought away by anyone after death.","Temples, chapters, associations, money and property are all like this.","","Therefore, in Grandmaster Lu's heart, there is only Buddhadharma; the heart dwells upon the extraordinary unsurpassed enlightenment. Other than this, what else is there?","All sentient beings, especially cultivators, should know not to be attached to ""secular matters,"" ""material possessions,"" ""money and property.""","If one does not cultivate a transcendental mind of renunciation, and instead craves for the worldly and secular, then one has broken the precepts! White Tara mentions in the book:","""In particular, for the theft of public resources and property intended for cultivation, such karmic transgressions will be far worse.""","In hell:","That ""treasurer"" would be made to swallow molten copper, scorching his throat.","That ""chapter chairperson"" would be immersed in a pot of boiling oil.","That ""dharma propagator"" would have to undergo the daily torture of a flywheel cutting his brain open, due to the malfunction of his mind.","","","","Have you not heard this verse?","One grain of rice from a donor,","Is as immense as Mount Meru.","If one does not cultivate,","One will have to pay through a body of fur and horns.","","If a single grain of rice carries such weight, how would you possibly be able to pay back the money and property belonging to a cultivation venue, a whole chapter, or an entire temple?","I","Highly Confidential Register of Those Fallen into the Three Lower Realms","Please ask yourself honestly, in the middle of the night. The things that you enjoy in the secular world, the things you use, eat, and sleep upon - are these what you deserve?","Are you really cultivating?"
"003 Breaking Vows and Precepts Pertaining to One's Root Guru","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c003","hite Tara said:","""With regard to Grandmaster Lu, an emanation body of Amitabha Buddha, once one has taken refuge, one can only guard and protect one's vows and precepts to the Root Guru.""","Why is a Vajrayana Root Guru so precious? Because Grandmaster Lu is an emanation body of buddhas.","Capable of being a teacher to humans and gods, teaching and transmitting all secret Buddhadharma, capable of ""guiding,"" ""redeeming,"" ""clearing delusion,"" ""instructing,"" ""deliverance""...","All personal deities, dharma protectors, dakas, dakinis, and heavenly beings, appear only due to the teaching and guidance of the Root Guru.","You ought to view your Root Guru as a buddha. Abide by the ""Fifty Stanzas of Guru Devotion.""","However, there are indeed many who break the Root Guru vows and precepts. Hence, the number of cultivators who can truly reach accomplishment are like the stars at dawn, few and far between!","","For example:","Devadatta was initially one of the eight princes who became a monk, and was one of the great disciples of Buddha. He was very close to Shakyamuni Buddha, and they were also relatives.","In the end he attacked the Buddha by accusing him of:","1. living in a luxurious house (Bamboo Grove Monastery)","2. wearing silken garments (the best dharma robes)","3. eating fine food (receiving offerings)…","Devadatta developed doubts towards the Buddha. He wanted the position of leading the sangha, created conflict among the monks, and incited five hundred bhikkhus to leave the Buddha.","He broke his vows and precepts, and as a result, he descended to hell.","","A second example:","The King of Tibet, Trisong Detsen, invited Padmasambhava to Tibet and took refuge under him. However, his confidence was weak and fragile.","In the beginning, the king's ministers who were believers in the Bon religion condemned the cultivation of Padmasambhava and Yeshe Tsogyal as:","1. unlawful","2. radical","3. scamming","4. effrontery","Consequently, King Trisong Detsen banished Padmasambhava and sent Yeshe Tsogyal into exile in ""Ai Ba.""","King Trisong Detsen also broke his vows and precepts.","Fortunately, he repented and cultivated Re-Purification, thus avoiding descending to the three lower realms.","","* * *","","Today, Grandmaster Lu, an emanation body of Amitabha Buddha, is similarly attacked by a woman. Anyone who has had contact with this woman knows that she is...","She defames Grandmaster Lu.","Inevitably breaking her vows and precepts to her Root Guru.","As for disciples affected by her, if they believe in this single-sided claim, lose faith and develop doubts, then they would have also broken their vows and precepts to their Root Guru.","Honoring one's Guru.","Treasuring Dharma.","Practicing diligently.","These will, of course, not be fulfilled, while the causes leading to the fate of descending to the three lower realms have instead sufficed!","","* * *","","I, Grandmaster Lu, vow that:","""If one honors one's Guru, treasures the Dharma, and practices diligently, yet doesn't become a buddha, I, Grandmaster Lu will bear responsibility!""","""I regard all sentient beings as myself, give rise to great bodhicitta, view sentient beings with equality, and benefit sentient beings.""","""I never harm sentient beings.""","""I have personally validated and understand the accomplishment of buddhahood, non-attachment to self and dharma. I teach the six paramitas and great compassion, the meditative cultivation of emptiness, freedom from worries and afflictions, neither birth nor death, the increase of kindness and virtue and the reduction of vice, the purification of body, speech, and mind.""","It is necessary for holy disciples to armor themselves with Right Views and their own intuitive awareness of good and evil, so as to guard their Root Guru vows and precepts.","","","","W","","",""
"004 The Power of Contamination in the Fermentation Jar","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c004","hite Tara said:","""Staying far away from those who break precepts, and keeping a distance from evil-doers, is essential. This is because when one is in such company, one will definitely become polluted.""","First of all, I had an objection towards these words. I said:","""For an enlightened person, shouldn't he view sentient beings in equality and without discrimination? Based on teachings regarding buddha-nature, those who break the precepts also have buddha-nature, evil-doers also have buddha-nature. How can we discriminate based on good or evil?""","White Tara smiled:","""Only Grandmaster Lu views sentient beings in equality and doesn't discriminate. However, for a still-practicing cultivator, it is necessary to stay away from the corrupted.""","She continued: ""Look!""","A dharma propagator who breaks the precepts, will lead away a cultivation group.","A dharma propagator who breaks the precepts, will lead away a chapter.","A dharma propagator who breaks the precepts, will lead away a temple.","Why is that?","The answer lies in ""the power of contamination.""","","* * *","","Light finally dawned on Grandmaster Lu.","Why did Mencius's mother move house three times?","One who is near vermilion turns red.","One who is near ink becomes black.","","I was reminded of Koreans' ""kimchi fermenting culture."" Their fermentation jars can be really, really massive. These jars contain sugar, salt, vinegar, food colorings, flavorings, tartness, sweetness, bitterness, spiciness, and so on.","Subsequently, all the vegetables are placed inside the jar.","The jar is buried in the ground.","When the jar is retrieved, the vegetables have become kimchi.","Not a single type of vegetable can retain its purity. Once it enters the fermentation jar, it absolutely becomes kimchi.","Such is the contaminating power of the fermentation jar; such a container is extremely fearsome. The saying that, ""when you stay long enough in a fish market, you no longer become aware of its stench"" makes sense.","Another saying:","Different cultures develop when ten miles apart.","Customary practices vary when five miles away.","These ""customs"" and ""cultures"" are all results caused by surrounding influences.","","If we discover a dharma propagator who has gradually gone astray from lineage teachings, a dharma propagator who has become very conceited, a dharma propagator who has become extremely arrogant, a dharma propagator who believes he has great merit, a dharma propagator who disrespects his Root Guru, a dharma propagator who believes he is the greatest.","A dharma propagator who criticizes:","his/her Root Guru","Buddha","True Buddha Dharma","other dharma propagators.","You must remember, you must firmly bear in mind, that such a dharma propagator has already become shaky and unstable. With regard to ""Honoring one's Guru,"" ""Treasuring Dharma,"" and ""Practicing diligently,"" this person has already broken his/her vows and precepts.","White Tara said:","""Swiftly keep a distance!""","","Even if you, a cultivator, are wearing a clean and white robe, nonetheless, if you stay in a place of filthy mud, the dark murky water will surely contaminate your white robe and leave black stains.","Similarly, even if your own samaya is pure, you will inevitably be contaminated by others' damaged samaya, and become one of the jackals of the same lair.","In Vajrayana, if you have the slightest thread of doubt in your Root Guru, your Root Guru's Dharma, your Root Guru's lineage, and in the Buddha, Dharma, and Sangha, you will not be able to attain the fruition of yogic union.","Be cautious! Be careful!","Remember firmly! Do not forget!","You must keep far away from those who break their vows and precepts!","","","","W","","",""
"005 Think Often that I am Bound to Die","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c005","hite Tara said:","""By frequently thinking that oneself will surely die, one can avoid behavior that breaks the vows and precepts.""","I said:","""I have personally validated and realized the state of neither birth nor death, that birth and death originally do not exist; and have practiced and accomplished the Rainbow Light Yoga. Is there still a need to frequently think of death?""","White Tara said:","""Grandmaster Lu's realization of neither birth nor death, that birth and death originally do not exist, is the unexcelled state of perfect enlightenment. Naturally it is a state which is spontaneous, unrestrained, and free of attachment. However, it is a different situation for most cultivators and ordinary people.""","White Tara continued:","""General cultivators and ordinary people, all have attachments and things they cannot let go of. Due to these attachments that they cling to they then carry out negative actions that break their vows and precepts.""","For example:","Avarice for money and property","Infatuation with women and sensual pleasures","Strife and antagonism to gain status","Enjoyment of gourmet cuisine","Attachment to high status and great wealth","These are the cravings and attachments of worldly people, forever insatiable. A person who practices cultivation, will also be subject to these influences, subsequently behaving in ways that break the precepts. Therefore, one should frequently think:","""I am bound to die!""","","As life is too short, there is no need to put oneself in hardship to pursue worldly possessions. By avoiding the source of contamination, one will not be misled and fall into the three lower realms.","Keep firmly in mind that one is bound to die, and ultimately there is nothing that can be gained.","Keep firmly in mind that there will be infinite life in one's future, therefore seek liberation early.","","In Taiwan, I have frequently mentioned:","""The idol of management, Wang Yung-ching - what did he gain? Also, President Chen Shui-bian - what did he gain? And there is Sayling Wen (Wen Shiren) - what did he gain as well?""","Wealth","Reputation","Beauty","In the end these are all empty in nature!","As cultivators, if we crave wealth and property, are infatuated by women and beauty, and fight for status, we are breaking the precepts.","We are bound to die! There is nothing that can be gained! We should abandon the strenuous and grievous pursuit of worldly pleasures. Otherwise, violating the precepts is inevitable, and falling into the three lower realms becomes inevitable!","We believe in karma, we know that no matter how minor a bad deed is, it will still lead to a negative effect.","","A Samantabhadra Bodhisattva verse:","As days pass by, one's life is also spent.","Like fish in a pond of drying water, what fun is there?","","* * *","","Among dharma propagators in our school, many have already been spotted as being ""greedy for money and property."" These people know this very well in their hearts.","Their names have been listed in the , because they love money.","This is something that is very apparent!","After all, this also needs money, and that also requires money - once visitors enter inside that Lei Tsang temple, they will definitely be bled dry, such that they are barely able to escape intact. These people who love money, are indeed despicable!","","I personally advocate:","""Everything should be in free will!""","The right path that is in accord with Dharma, is to have freewill donation!","Forcing people to donate, is going against the precepts!","To induce fear based on past life karma, also violates the precepts!","For some dharma propagators, their upholding of the precepts has already become damaged, yet they remain indifferent and apathetic; not only so, they continue to violate the precepts through their misdeeds, and sink deeper and deeper into the quagmire.","Here I advise:","""Frequently think that you are bound to die! Can you bring money with you? You ought to leave this dangerous situation immediately!""","W","Highly Confidential Register of Those Fallen into the Three Lower Realms","",""
"006 Three Bowls","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c006","hite Tara said:","""You should use your life to protect your vows and precepts! You should use your life to protect your vows and precepts! You should use your life to protect your vows and precepts!""","White Tara said this thrice.","I was very surprised that this sentence was repeated three times. White Tara said:","""There is no need to be surprised! Vows and precepts are the root of liberation, and liberation is more important than one's life. So no matter what you do, it has to be in accord with Dharma, in harmony with one's vows and precepts, and only in this way can one accumulate 'resources,' 'merit,' and 'wisdom.'""","","White Tara said:","""There are three categories of people who will never be able to attain liberation. The first category of people are those who do not even want to be liberated. The second category of people are those who keep doing things that are not in accord with Dharma. The third category of people are those whose hearts are filled with the Five Poisons.""","","This sentence alarmed me, and reminded me of the analogy of the ""three bowls"":","1. A covered or upturned bowl - the bowl is covered or upside down; a person in this category does not believe in the existence of buddhas, rebirth or reincarnation, or karma, and simply does not believe in anything. Even if dharma milk wanted to enter this bowl, a person in this category simply had no affinity. (Buddhas are unable to deliver those without affinity.)","2. A broken bowl - the bowl has already been broken into pieces, or is chipped with a hole, or has a crack. This represents that this person's vows and precepts have already been damaged. Dharma milk was going to fill this bowl to the brim, but in the end it was lost through leakage; hence this bowl will never become full. People in this category are unable to attain liberation.","3. A dirty bowl - this bowl is not broken or cracked; the only thing is that this bowl is dirty, it is not pure. When a dirty bowl is used to hold dharma milk, the result is that the dharma milk would also become contaminated. This represents that the hearts of people in this category are very filthy, full of craving, anger, ignorance, doubt, and arrogance. If one is not clean, one is also unable to attain liberation.","","White Tara said:","""Take refuge anew, immediately repent, and receive the precepts and vows once more. This is the dharma gate of Re-Purification.""","A bowl that faces upward","A new bowl","A bowl that has been washed clean","(Only then will this be a suitable dharma vessel)","","* * *","","I, Grandmaster Lu, deeply understand White Tara's painstaking efforts, continuously helping me to deliver sentient beings.","White Tara has the greatest compassionate heart.","She hopes that those who have been listed in the Highly Confidential Register of Those Fallen into the Three Lower Realms, would swiftly reflect on their actions.","And go on the right path afresh.","In a person's life, apart from the attainment and realization of buddhahood and benefiting sentient beings, everything else is meaningless.","Do not be attached to worldly concerns.","Worldly matters are the root of rebirth.","First practice in accord with Dharma -","Cultivate until one's illusory body manifests.","Cultivate until the rainbow light manifests.","Be fearless regarding death and the annihilation of the universe.","Know how to merge into the pure light.","Know how to realize the four holy states.","Know how to accomplish the perfect fruition of buddhahood.","Know how to become unfettered and at ease, and how to abide in spontaneous accomplishment.","","* * *","","My vow is: not to forsake a single sentient being. Naturally, I have countless dharma companions; it is inconceivable. Whether there are five million dharma companions, or one million, or a hundred thousand, or even just two, I know of course we are one body.","I would like to help my dharma companions, to share this inner awakening:","The practice of non-leakage","The practice of the arising of inner fire","The practice of light-drops","(The accomplishment of great bliss, the accomplishment of pure light, the accomplishment of the illusory body, the accomplishment of rainbow light, the accomplishment of no-death, the accomplishment of no-birth, the accomplishment of unfettered ease, spontaneous accomplishment, the accomplishment of Dzogchen, the Great Perfection)","","","","W","","",""
"007 The Precious Sword of the Yogi","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c007","hite Tara said:","""The precious sword of the yogi, is to protect one's vows and precepts. Only by protecting one's vows and precepts, can one cultivate in accord with Dharma. Daily life itself is cultivation, and this daily life is also contained within the vows and precepts.""","""What is cultivation in daily life?""","White Tara explained:","The cultivation of ""partaking"":","We partake of meat, plants, and minerals.","We partake of ""amrita.""","The most important is the partaking of ""qi.""","(Before partaking of all that has life, we first make offerings, perform deliverance, and show our gratitude.)","","The cultivation of ""clothing"":","Transforming the dharma robe that one wears into armor.","Or when wearing light clothing or unclothed, practice successfully to generate inner fire or the pure light, which is the real ""clothing.""","","The cultivation of ""speech"":","In all endeavors one must chant the secret mantras.","Purifying one's speech.","Engaging in gentle language, amiable language, kind language, truthful language.","Or remaining silent to allow the flow of energy.","All meaningless utterances should be avoided as much as possible.","Speech that breaks one's vows and precepts, should not be said at all. Speech is ""mantra.""","","The cultivation of the ""body"":","Prostrating in Great Homage before the altar, prostrating in Great Homage to the Empty Space.","Circumambulating and paying homage to temples, stupas, and altars.","Purifying the cultivator's body.","The body has to be tranquil and at peace. The body is ""purity.""","","The cultivation of the ""mind"":","The sensation of great bliss, the sensation of purity, the sensation of brilliant light, the sensation of sunyata (empty-nature).","The arising of the sensation of the Great Perfection.","Continuously abide in ""meditative cultivation."" ""Meditative cultivation"" is ""mind.""","","The cultivation of ""Dharma"":","Be focused.","Practice the Preliminary Practices, Root Guru Yoga, Personal Deity Yoga, the practice of qi, channels and drops, the practice of non-leakage, inner fire, drops, the Heruka Practice, Highest Yoga Tantra, and Great Perfection Yoga.","Practice each Dharma accordingly, protect one's vows and precepts and the teachings.","Experience and validate them one by one. ""Realization"" itself is ""Dharma.""","","The cultivation of ""benefitting others"":","Regard benefiting sentient beings as the first priority. Love all people and living things.","Rely upon Mahayana and give rise to great bodhicitta, cultivate ""no-self."" Do not be concerned only with yourself, but instead, benefit other people, help others.","","The cultivation of ""great compassion"":","Regard your enemies as your parents and elders.","Love sentient beings the way you love yourself.","View all worldly things, such as houses, cars, jewelry, and money as manure.","Go help other people.","Give to others.","Being able to ""let go"" of all that is worldly, is ""great compassion.""","W","Every single person, from beginningless time, has gone through innumerable cycles of transmigration and rebirth, not only unable to attain accomplishment themselves, but also unable to help others reach accomplishment. Now that one has met Living Buddha Lian-sheng, Sheng-Yen Lu, one ought to take refuge, learn Buddhism well, and learn Dharma well. Otherwise, one will only become even more lost in the cycle of rebirth.","","* * *"
"008 Please Do Not Slander Casually","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000542&chapter_id=c008","hite Tara said:","""When you do not understand a spiritual cultivator, or have merely heard rumors, or one-sided accounts, please do not slander casually. Unless you have already completely realized prajna, and you have the complete ability to know the thoughts of others, please do not casually denounce or disparage others.""","""Slandering"" is a prevalent illness afflicting worldly people.","The easiest precepts to break, are those pertaining to speech karma.","","Worldly people easily fall prey to slandering others.","Spiritual cultivators are not exceptions.","Spiritual cultivators easily commit the transgression of slandering other sects or schools of Buddhism.","Spiritual cultivators easily commit the transgression of self-praise while criticizing others.","Spiritual cultivators easily commit the transgression of picking on other cultivators' faults and delusions.","Spiritual cultivators slander other religious doctrines.","Spiritual cultivators with prejudices slander other religious teachers and their disciples due to ignorance or misunderstandings. Hence, it is very important to abandon ""prejudices"" and ""attachments.""","","* * *","","When I was in Taiwan, I came across a few books criticizing Esoteric Buddhism, especially the Tibetan schools of Esoteric Buddhism.","These books were written by a cultivator who was a student of the Consciousness-only (Yogachara) teachings. He even repudiated the patriarch of Esoteric Buddhism, Padmasambhava.","This spiritual cultivator also criticized Venerable Master Yin Shun from the Sanlun Sect.","He was of the opinion that:","Tibetan Esoteric Buddhism is ""perversion.""","Padmasambhava is ""a demon of perversion.""","Master Yin Shun firmly believed in and affirmed the six consciousnesses. As for the seventh consciousness and eighth consciousness, Master Yin Shun's belief that these were merely ""nominal"" was erroneous.","","I would like to specially make an explanation here:","Padmasambhava had five female disciples who attained special accomplishments; all of them were Padmasambhava's dharma companions.","These five disciples were:","Yeshe Tsogyal","Mandarava","Belmo Sakya Devi","Belwong Kalasiddhi","Tashi Kyedren","These five disciples all attained great accomplishment.","Furthermore, it has been recorded in sutras and tantras that aside from these five, there were another fifteen who attained accomplishment.","In addition to these twenty yoginis, there were many more.","All of them were Padmasambhava's consorts.","Hence, Padmasambhava was criticized as a patriarch of perversion.","Tibetan Esoteric Buddhism as a school of perversion.","","According to my understanding:","Padmasambhava's ""Consort Practice"" has its secret meaning, and belongs to the category of unsurpassed secrets. The cultivation of this practice aids the practitioner to attain ""great bliss,"" ""luminosity,"" ""emptiness,"" and brings great benefit for the esoteric cultivation of qi, channels, and drops.","""Unblemished""","""Transcendental""","""Perfect and complete""","This kind of secret lineage is appropriate and correct; it is an integration of the generation and perfection stages, utilizing an expedient dharma gate to arrive at the transcendental and liberating wisdom of Tathagatas.","(This is something difficult for worldly people to understand, therefore it is always under criticism. Since the Buddhist practitioner who wrote those books had of course not cultivated and attained realization in this practice, inevitably it was hard to avoid slandering.)","Due to not knowing the secret meaning of this practice, thus committing the speech transgression of slandering, this cultivator had broken his vows and precepts.","This cultivator used Consciousness-only teachings to condemn other schools and sects of Buddhism; this is also committing the speech transgression of slander.","","In my opinion:","There are far too many people in this world who have all committed the speech transgression of slandering, mainly because sentient beings who are blind number in the majority. There are sensationalism of the media, circulation of incorrect information through people's speech, and rumors by people with ill intent.","W","","Consequently, false and inaccurate information becomes widespread in the world, while the real ""truth"" becomes submerged.","In this world, Buddhist practitioners should keep silent! Avoid breaking the precepts!"
