"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","firstcharacter","chapterbody 53","chapterbody 54"
"目录","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c999","序 卢胜彦手的魔力（序）","001 床母做的记号","002 只当成一场梦而已","003 六根铁钉","004 保险箱的钥匙","005 一条蛇游走了","006 找到适合居住的房子","007 一部救护车急驰而至","008 赌它一把吧","009 请卢师尊多拍几下","010 一位脑部缺氧的婴儿","011 是耶稣来接引","012 金洲大师现身","013 梦中的开刀","014 鼻子过敏的问题","015 你一定会被录取","016 全身舍利","017 为什么没有看到摩诃双莲池？","018 枕边有人","019 掌中出现乙尊城隍","020 加百利天使","021 妳要请卢师尊摩腹部","022 七爷白无常","023 谁能在梦中给我灌顶？","024 老实念佛吧！","025 观世音菩萨叫我来的","026 看见一团火燃烧","027 天上的孙儿","028 手伸得很长很长","029 众神怎么都来了","030 有关于“宁玛派”","031 就是这位法师","032 我的肩背部疼痛","033 鬼物列队求摩顶","034 自己用手加持自己意伏藏","035 传承法流的渊源","036 大圆满法的功用","037 守护灵的能力太强","038 祖母是守护灵","039 皮肤过敏的痊愈","040 紫阳真人降临","041 大圆满法的祖师－－“极喜金刚”","042 我所知道的“妙吉祥友”","043 卢君","044 梦中的针灸","045 接骨师父","046 失忆症","047 我吃了三个蛋","048 手成了止痛剂","049 时轮金刚戒律","050 供养“时轮金刚牌”颂偈","051 附录：莲花敬安的来信","","",""
"序 卢胜彦手的魔力(序)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c000","一回。","金刚手菩萨显现在我的面前，周身烈火光炽然，赫赫扬扬，一手持钺刀，一手持天灵盖，站立在莲华之上。","金刚手菩萨对我说：","“卢师尊，你何不写一写你手的魔力？”","我问：","“手有魔力？”","金刚手菩萨说：","“你的手上有大印记，你不知道吗？”","我说：","“愿闻其详。”","金刚手菩萨说：","“你手上有：","一、星云－－眞如之力。","二、法船－－超度之力。","三、功德－－息灾之力。","四、鬼王－－降伏之力。","五、福德－－增益之力。","六、法眼－－智慧之力。","七、爱染－－敬爱之力。”","我哑口无言。","","金刚手菩萨说：","“卢师尊，只要你的手去摩抚一切众生的头，法力就产生了。那种力量不可思议，那种力量难思议，非常非常，而且超常，你要记下来，写一本书啊！”","我说：","“谨记在心！”","金刚手菩萨说：","“曾经有一次，你入禅定，有人对你照了一张相，相片之中，你的手变成透明体，而且放出了大白光，只照到你的身子，手完全不见了。卢师尊，你知道吗？这无形的手，已化为法船，接引幽冥众，到了西方极乐世界去了。”","我听了，大骇，确实有这件事。","","金刚手菩萨，为我解析手：","“手是由皮肤、指甲、手纹、骨、肉、血管、血所组合而成。它不是独立的个体，它也一直在变化之中，其中的变化非常微细。颜色、粗细、老幼、纹路、形状，一日又一日的变化，它不是一个常态，也是无常。”","金刚手菩萨又说：","“手连在身体，也是身体的一部分，一样是地、水、火、风所组成，所以也是无我。手有一天也一样会死，四大分解时，只剩下空识，我们行者认明实相，就是无我。”","金刚手菩萨最后说：","“卢师尊的手，由于修行的法力，使手放射无量之光，这个光注入众弟子的身心，就产生了很多不可思议的事，将之记录成书，可利益天下众生也。”","我说：","“善哉！善哉！一切明白了！”","此书就是应金刚手菩萨的祈请而写的，盼望一切大众，认明：","“手。”","祝：开卷有益。","","莲生活佛卢胜彦联络处:","Sheng-yen Lu","17102 NE 40th Ct.,","Redmond, WA 98052","U. S. A.","","编者注：本有声书系由林佩君录制","","","","","有","",""
"001 床母做的记号","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c001","对夫妇，带着一个小男童来见我。这位小男童的脸，黑了大半，从右嘴角，一直到右眉，宽到耳际，全是黑漆一片。","我见了大骇。","有点像城隍庙的黑白判官。","这对夫妇说：","“男童一出生，脸半边就是黑的，有人说，那是床母做的记号，是胎记。有些人胎记是在身上，有的在屁股，不会影响观瞻。但，他在脸上，人人见了，总是怪怪。”","夫妇说：","“卢师尊的手，听说有法力，祈求治之！”","我说：","“何不求医？”","夫妇说：","“皮肤科医师束手。”","我观想本尊住顶，法流贯全身，我的手，摩了小男童的脸。","我说：","“好了！”","夫妇带着小男童回去了，过了一阵子，他们三人又来了 。","","夫妇说：","“男童的脸上的黑，一点淡化都没有，卢师尊的手，好像失灵了。”","我很尴尬。","我又摩了男童的脸，这时掌上有一团光出现，光中有一女子，躺于棺，其右脸，浸在水中。我这一看，终于明白了。","我说：","“祖先风水有问题，右脸浸泡水中，故男童右脸黑了。是女的祖先！”","夫妇说：","“那一定是祖母的坟！”","夫妇依我指示，开棺相验，一堆人全目瞪口呆，因为棺木内，右边浸水，祖母的脸，右边在水中，黑糊了 一大块。","夫妇把祖母火化，晋塔了事。","夫妇办完了事，又把小男童带来我处，他们说：","“卢师尊，掌光眞够准，如今又怎么办？”","我同样用“手”抚脸。","这回怪了！","每用手抚一次，黑色就褪了一些；又抚一次，又淡化一些；抚了多次，更淡了。","最后，小男童的脸竟然完全白了。","","天哪！","黑白判官的脸，全正常了。","很多的人，都知道黑白判官的脸，被卢胜彦手的魔力，抚得正常了。","很多的人，都要我的手抚他们脸：","口歪眼斜的。","脸部神经麻痺。","黑斑的。","一眼大一眼小的。","鼻子很小的。","招风耳的。","长很多痣的。","......。","全来要我抚脸，我仿佛成了“整型外科专家”，甚至皱纹多的......。","我告诉大家：","“我已七十岁，自己脸上也有皱纹，也有些些的黑斑，这是生理自然的现象。请注意，不要联想太多，佛法无边，但，不是每一种都能治。”","我每回摩顶，加持力不可思议！但，不是千万人，一次都能痊愈。","","","","一","",""
"002 只当成一场梦而已","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c002","名少妇，脸带忧伤，非常的沮丧，到了雷藏寺找我。","我问明因由。","原来是少妇生了一位千金小姐，非常的高兴，女儿娇甜可爱。","她给家人带来了欢笑，全家的人都爱不释手。","不多久。","约只有三岁半。","这位千金，因为流行性感冒，竟然逝世了。从此，全家人愁云惨雾，悲伤不已。尤其是这位少妇，失去了心肝宝贝，仿佛一切快乐全被带走了，得了忧郁症，每日以泪洗面，简直就是不想活了，想到快要自杀了。","","我一听，不说什么，因为劝解她的话，所有的人全说完了。","我只给她“摩顶”加持。","当夜，少妇得一梦。","她梦见女儿并没有死，在梦中女儿仍然娇甜可爱，母亲与女儿卿卿我我，快活异常。","但，一醒过来。","少妇才知是梦，她叹了一声：","“原来只是一场梦而已！”","少妇又上雷藏寺找我。","我又给她“摩顶”。","","她又做梦――","女儿渐渐长大了，在学校读书全是第一名，做母亲的非常快乐。母女同心，无所不谈，女儿当班长，当模范生，奖状贴满了整个墙上。母亲高兴异常，人人都夸奖，这女孩子太优秀了。","梦醒之后。","又有一悟：","“只是一场梦而已！”","少妇又上雷藏寺找我。","我又给“摩顶”。","这回的梦更绝了。","少妇的梦是这样的――","这位女儿大学毕业了，女儿出国留学，拿到了硕士学位，拿到了博士学位，又在异国找到了很好的工作。","女儿一切顺利。","但见面机会很少，只剩下相思。","后来女儿结婚了，定居异国。","有了工作，有了家庭，就更少回来了，偶而联络一下而已。","少妇在梦中，偶而一瞥镜子，发觉自己已白发苍苍。","梦醒。","少妇叹了一口气说：","“原来是这样，只是一场梦而已。”","","少妇又上雷藏寺找我。","我问：","“又要摩顶吗？”","她答：","“不啦！我已经知道结果了！”","我问：","“结果是什么？”","她答：","“聚散是一场缘分，人生的最后是生离死别，只当成一场梦而已，梦醒了， 一切都解脱了。”","少妇谢谢我的“摩顶”。","她的忧郁症全好了。","这件事，我未劝解什么，只是“摩顶”而已，而她，有了悟境。","","","","一","",""
"003 六根铁钉","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c003","东南亚有一位五十多岁的妇人，经人介绍到眞佛宗的同修会同修，不久也皈依了莲生活佛卢胜彦师尊。","这位妇人有宿疾。","传说是这样的，她二十岁时，长得如天仙一般，五官清秀，体态苗条，非常的动人心弦。","同村有位恶少，爱上了她，这位恶少素行不良，曾性侵几位女子。","恶少又恐吓取财。","恶少也成群结党，收保护费。","恶少又教唆杀人。","恶少也是一个帮派的头目。","这位美少女不愿与恶少为友，婉拒了他的追求，他要求约会，均被美少女托故拒绝了。","恶少恼羞成怒，说：","“我要给妳好看！”","她说：","“不要杀了我。”","恶少说：","“不会杀了妳，要妳求生不得，求死不得，这才叫痛快！”","","她说：","“你要断我手足？”","恶少说：","“不是。妳难道不知道，我父亲是有名的降头师吗？”","(黑巫师)","那次谈话之后，恶少便与美少女分手了。","但，美少女得了“头痛症”。","此痛非一般的痛，是头欲裂的痛，脑袋好像被人砍了，晕死在地上。","少女到处求医，不明所以。","少女寻巫师解降头，也无效果，反而失眠严重。","少女因头痛症，花容失色，脸也扭曲变形。","因吃止痛药太多，体态变粗。","这头痛症折磨了三十年。","她每日在坛城，向莲花童子哭诉。","有一天，晚上做梦――","莲生活佛卢胜彦现身告诉她：","“找卢师尊摩顶！”","于是，她随着众同门到了台湾雷藏寺，参加了护摩法会，听法，最后等卢师尊摩顶。摩顶的人，人山人海，怕也有万人。她在人群中，卢师尊走过，只轻轻的拍了一下，也没说话，这样就结束了。","","当夜，在旅店，她梦见――","卢师尊来了，说：","“我帮妳拔掉六根铁钉。”","话才说完，头顶上出现了六位小黑人。","卢师尊喝令：","“不自去，还等什么？”","六位小黑人说：","“我等知你厉害，但，我不舍这住了三十年的地方！”","卢师尊火了，手现金刚爪出火，六位小黑人，吓到了，一溜烟跑了！","妇人醒来，头痛症竟然完全好了。","三十年的头痛失眠，一扫而空。","这是活活的见证。","我说：","愿以手功德  消除众疾厄","增长诸福分  种下菩提因","灾难不出现  敬爱大圆满","一切恶降头  普愿尽消灭","在","",""
"004 保险箱的钥匙","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c004","位，你是不是常常藏了某样东西，时日一久，就忘记了呢？","尤其是年纪大的人，经常忘东忘西，甚至刚刚才吃了药，才一下子，就已经在脑海中一片空白，不知药吃了没有。","有些老人明明才吃了饭，问他：","“吃饭没？”","他答：","“还没！”","老人早把吃过饭给忘了。","老人，小时候的回忆，均还记得住，但昨天的事全忘光了。","昨天才介绍见面的人。","你问：","“你是？”","早就忘得一干二净！","美国总统雷根先生，晚年得“失忆症”，连自己的夫人“南茜”，也不认识；很多老人得失忆症，只一出门，就没有办法回家了。","“姓名忘了！”","“家人忘了！”","“家忘了！”","忘了！忘了！忘了！忘了！忘了！","","家人登报：","找寻失忆的亲人。","我在摩顶之中，有过这样的事――","我摩到一位老人。","那老人大叫一声：","“找到了！”","我吓了一大跳，找到什么？","老人说：","“我的保险箱藏了现金、黄金、珠宝、名表、银行存簿、印章、外币......。”","保险箱的钥匙，害怕被他人拿到，开了保险箱，那一切全完了。","于是：","藏沙发下。","藏枕头内。","藏书柜后。","藏口袋中。（衣柜中衣服的口袋）","藏牌匾后。","藏花盆内。","藏冰箱内。","藏天花板。","藏床板间。","藏旧鞋中。","","隔了一阵子，便换地方。这把钥匙太重要了，因此移来移去。","问题来了，老人藏的地方太多，时日稍久，他竟然忘了。于是他开始找，所有的地方全找遍了，仍然找不到，非常沮丧。","老人到台湾雷藏寺请我“摩顶”，这一摩，电光一闪，他脑海里出现：","“冷气的排气孔！”","天哪！卢师尊一摩顶，老人就看见“冷气的排气孔”。","他回家一找，钥匙眞的方方正正的摆在那里哩！","老人说：","“谢谢卢师尊！”","老人常常来求我摩顶，因为摩顶一次，记忆就恢复一些，摩多次，记忆就正常了。","老人说，眞的很奇妙！","","","诸","",""
"005 一条蛇游走了","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c005","样是摩顶，我观想“本尊”住顶，我化为本尊，我一面摩顶，一面持本尊咒。","我的双手很快，因为如果不快，很可能要一个小时或二个小时之久。","摩过一个男子的头。","男子对我说：","“卢师尊，我的右手臂很痛，已经痛了半年了，请帮我拍一拍。”","我一听，随即用我的右手，拍男子的右臂，由上至下。","拍了三个关节，上臂关节，曲弯关节，手腕关节。","拍完，我就再去“摩顶”其他的同门。","过了一星期。","男子的回报来了：","他说拍完了手臂回去，手臂还是很痛，不只痛，还是剧烈的痛，约痛了二天。","二天后，男子做一个梦。","梦见――","自己手臂上，一条蛇游走了出来，是一条“青竹丝”的细长的蛇。蛇的口吐着舌信，蜿蜒的游走了。","这位男子梦醒之后，手臂居然不痛了。原来手臂痛时，手不能举，手臂不能弯，手指头也无法写字。","摩手之后，能举、能弯、能写，一切都正常了。万岁！万岁！","","这位男子说：","他家住“名间”，家中务农，种的是茶叶，生产很好的茶叶；另有一块地，种的是桑树。","也是约半年前。","他在一棵桑树下午睡。","觉得肚子上有东西，他惊吓醒来，双眼一看，一条细长的绿色“青竹丝”正爬在他的肚子上。","他随手一抓。","蛇头随即转头，要咬他。","他右手持着工作用的镰刀，一挥，蛇成了两断。","这件事他根本不放心上，务农的人，很多蛇他都见过的。","青竹丝。","百步蛇。","锦蛇。","龟壳花。","蟒蛇。","雨伞节。","水蛇。","等等。","","所以他不放心上。但，右手臂痛后，经卢师尊一拍手臂，做了一梦，他才想起这件事的，这也是一个巧合。","男子要求，他忧虑那条“青竹丝”又游回来缠在他的手臂上，他要求卢师尊赶快把“青竹丝”超度。","因此，我也超度了“青竹丝”。","我以为这件事就此化解了，没有想到事情还没完。","我超度过后。","男子又有一梦，又梦见“青竹丝”，“青竹丝”伸出龙爪，身长鳞甲，头变龙头，向男子一声申谢。","飞龙在天，向云中飞去！","这是善梦！","","","","","","","","","","同","",""
"006 找到适合居住的房子","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c006","一位公司的副理，他想要找到适合全家人居住的家。(二个大人，三个小孩。)","于是他委任一位仲介公司的业务员，从二〇一二年初，开始找房子。","每一个星期六、星期日，甚至休假日，有时连晚上，都出去看房子。他很积极。","副理的原则是：","四房、一厅、一厨、三卫，在一个房间安置坛城。","价钱合宜。","风水无误。","产权清楚。","副理看了将近一年多，总共看了百多间房子，竟然是毫无着落。","副理心烦气躁。","仲介业务员也心情低落。","有的房子不错，但风水错了。","有的价格不合。","有的产权有问题。","有的房间不适合。","有的邻居复杂，环境不佳。","没有一间成的。","副理每回看房子，心都不抱希望了。","他搞不清楚问题出在哪里。","","有一天，他突发奇想，何不请卢师尊加持我找到房子。","副理跪在人群中，等待我的“摩顶”，他心中暗念：","“请加持我找到房子！请加持我找到房子！请加持我找到房子！”","我走过来，按了一下副理的头。","竟然奇迹出现――","当晚，卢师尊来了，带他去看房子，是一家装潢好的房子。刚好四房、一厅、一厨、三卫，其中一房是书房，连家倶、窗帘都装潢好了。","卢师尊与副理坐在客厅。","卢师尊说：","“这是你未来的家，风水很好。”","副理看了：","窗帘是水色的。","古典装潢。","沙发是紫色的。","客厅有一书柜，是红木配金。","电视机镶在红木柜里。","卢师尊说：","“书房可以改成坛城，这就成了！”","副理看了很喜欢，于是梦就醒了。","隔了三天，房屋仲介带着副理去看房子，仲介说：","“这房子是装潢好的，主人工作被调国外，急着出售，价钱合宜，你看看吧！”","","副理一进屋，吓了一大跳，这正是卢师尊梦中指示的房子。","水色窗帘。","紫色沙发。","书柜、木柜，均红木，电视镶在红木柜里。","四房其中一个是书房。","天哪！完全符合。怎么可能？怎么可能？怎么可能这么准？","副理上雷藏寺对我说：","“谢谢师尊，赐我吉祥的豪宅！”","我问：","“几时？”","副理说：","有","“在梦中，你带我去看豪宅！”","我说："
"007 一部救护车急驰而至","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c007","到某国弘法，到了一个分堂，堂内、堂外、街道，塞满了人。","突然，一部救护车，从远而近，“尹哦，尹哦，尹哦”的鸣叫。","人潮听到救护车的声音，倒也自动分成一条车道，救护车缓缓的开到我的面前，戛然停住。","一位女士从车上下来，跪在我的面前。","女士说：","“救命！救命！卢师尊，救救命啊！”","我问：","“怎么回事？”","女士答：","“久闻卢师尊大名，救人无数。特地从医院由救护车载送病患，求卢师尊大发慈悲，救救他。”","我问：","“病人何病？”","女士答：","“二年前严重中风，脑溢血，至今仍然未醒，晕迷已两年，群医束手。他是我的先生，他是老实人，盼你救他了。”","我说：","“能不能治，我不敢说，我希望有奇迹！”","","车的后门打开，一位病患躺病床之上，有氧气、点滴、呼吸器，鼻子插管。那人一动也不动，双眼紧闭。","我双手合十，向本尊祈祷，而且念本尊心咒，心专注于一。","这时我的双手自动的分开，脚踏不丁不八，左手结“期克印”，右手结“剑指印”，一阵法流下降。","“剑指印”自动划出：","四纵五横印――即是临、兵、斗、者、皆、阵、列、在、前。","这是：","四纵五横印。","九字眞言法。","加持完毕之后，我用右掌，呵气一口，拍了病患的天心。","我发觉，法流自动贯满全身，我划印时、挥印时、哈印时，均非常有力，感应到佛、菩萨、金母确实要救这个人。","法事完成。","救护车“嘟嘟嘟”的“倒退噌”走了。","这时，我才走入分堂。","上法座。","开示“圆融”的重要性。","","我说：","“人与我之间，不应有分别。你、我、他，都是一家人。救度众生是行者应该做的，这是大乘。不只不要去伤害别人，还要尽心尽力去救度别人。我们原本是融为一体的大光明佛性，尽虚空、遍法界。”","说完法。","大众鼓掌。","这时有一人传来：","刚刚救护车内的病患，才回到医院，晕迷二年的人，已经张开了眼，口中还喃喃的念，是菩萨来救他的。","医院的人大叹：","“奇迹！奇迹！”","分堂的人大叫：","“太不可思议了！”","我说：","“人有诚心，佛有感应！”","","","","","","","","我","",""
"008 赌它一把吧","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c008","文是“赌博”，主旨不在教人“赌博”，是简单的说明“手的魔力”。","我个人主张不可“赌博”，请勿模仿。","在二O一三年三月至五月间。","北韩与南韩起了争执。","有一个弟子，兴冲冲的跑来问我：","“北韩会不会打南韩？”","我没有即刻回答。","我想了一想，说：","“给梦示吧！”","我用我的手，给这位问话的弟子“摩顶”，让他能出现梦示。","而我自己的想念是：","一、北韩领导人金正恩，口口声声说，要用战争去解决一切。","二、北韩电视主播，向全世界表明，作战一定成功，一切已准备就绪，就剩“开战”而已。","三、北韩军首长展现一战的决心。","这不只口头上讲，而且尙动作频频。","我的弟子终于：","一、调动火箭发射台至东海岸。","二、调回南北韩工业区的北韩工人。","三、向各国外交使馆，请他们撤馆，表示无法保护使馆安全。","四、火箭瞄准冲绳、关岛、日本、南韩，并扬言打到美国本土。","五、情势紧张到，全世界的焦点全在南北韩。","金正恩说：","“开战！”","电视主播说：","“开战！”","军首说：","“开战！”","我想：","“可能会眞正打仗了！”","但，我那位弟子，回去做了 一个梦：","梦见我出现，对他说了一句：","“三月至五月初一，不会战！”","他很振奋，马上去签赌“不会战”。","事情原来是这样的――","有人预言：","北朝鲜将在“金正日”的冥诞日开战。","又预言将在南韩及美国军事演习之后的几天内开战。","......","会不会开战？成了焦点。","于是，赌博组头展开了大签赌，会战的与不会战的。","大家赌吧！","也就是三月至五月初一。","主战的签赌。","不会战的签赌。","签赌活动，沸沸扬扬的展开了。","“没有开战！”","我的那位弟子也想签赌，所以就来问我，到底会不会战？","有人认为：","会战！因为开战叫得震天价响。","有人认为：","不会战！可能只是恫吓而已，虎头老鼠尾，龟缩，会叫的狗不咬人。","有人认为：","本","南韩朴总统也出面说，大家协商吧！可见情势之紧张。","有人认为："
