"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","firstcharacter","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60"
"目录","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c999","序 自己与自己聊天（序）","001 人眞的很盲目","002 千万亿闪耀的星光","003 这一切都很有趣","004 只要是人都是邪","005 天的法则","006 可以跳一支舞吗？","007 就像一阵风","008 遍照金刚空海","009 同样都是那只手","010 善巧方便","011 开火车的比喻","012 碟仙与通灵盘","013 视天下众生是“佛”","014 咳嗽怎么办","015 我是外科医师","016 跳肚皮舞的女人","017 我唱一首歌","018 让让让让让","019 摩顶的“痛”","020 卢胜彦是坏蛋？","021 少将孙福生","022 逛百货公司","023 色戒","024 妖异气氛的天地人王","025 这里眞的是“地狱”","026 赵舜的死","027 整型","028 按摩院","029 穷极密法的人","030 面对“千夫所指”的时候","031 冯冯如此说","032 从“宾利”的车子说起","033 谈一谈因缘聚散","034 千年野人参","035 眼见众生苦","036 觉醒的人眞好","037 去看一场“闹戏”","038 身体非“我有”的见解","039 送我牡丹花的女人","040 听“周蕙”唱歌","041 活在“错觉”之中","042 如果坐在失事班机上","043 价码","044 佛陀也有怨敌","045 弟子之问","046 回台湾之后的感觉","047 开悟的几句话","048 我是如何的生活着","049 仍然在扮家家酒","050 附录一：善恶现世报，见证莲花童子师尊眞实救渡！","051 附录二：阅读心得","","","","","","","","",""
"序 自己与自己聊天（序）","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c000","一年，是美国华盛顿州西雅图入冬的时候，那一年冬天来得早。清晨，窗外，看到庭院的喷水池，已结成冰，喷水流淌下来，结成水晶冰柱，很美、很美，就像水晶灯一般。","到了晚上，只有三个字，可以形容:","冷。","黑。","湿。","冷是冷到酷毙了，零下......。","黑是四周一片漆黑(乌玛玛)，家的周遭。","湿是西雅图的冬雨。","","我就在这样的日子里，在自家书房，灯盏下，写下《自己与自己聊天》。","容我解释得更清楚一些吧！","我没有知己。","我没有朋友。","我没有很谈得来的人。","我是卢师尊，与五百万的“眞佛宗”弟子，有近一些的及远一些的。","有根器大的，多聊一些。","有根器中的，少聊一些。","有根器小的，聊少少。","","所以，最重要的是，自己与自己聊天。于是，这本书就这样写了出来。","这不是笔录。","也不是写作。","不是创造。","而是纯聊天式的，自己问，自己答。","","为什么自己问自己答？","因为：","“自己最了解自己！”","“自己了解自己是天纵奇才，自己才是眞正的开悟者！”","问：","“你是精神病患吗？”","答：","“是的。如果世界上的一切有情都是正常，我当然是精神病患。”","问：","“你的意思是？”","答：","“反过来说，如果我是正常人，那全世界上的人都是精神病患。”","问：","“开悟者都是这样吗？”","答：","“是的。开悟者都『去校』了，精神病了，无法理解了！”","问：","“为什么会这样？”","答：","“哈哈哈哈哈！太可笑了，人生是一场大笑话，笑死我了，眞是，你妈卡好！”","问：","“什么事情，那么好笑？”","答：","“我有笑吗？”(这一句是关键)","","莲生活佛卢胜彦","Sheng-yen Lu","那","17102 NE 40th CT","REDMOND WA 98052","U. S. A.","编者注：本有声书系由释莲竫法师录制","","","",""
"001 人眞的很盲目","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c001","多人都依着一个程序，从出生到老死。我简单的列出如下：","出生亮相。","读书至上。","爱情荡漾。","职场闯荡。","结婚聚散。","子女同样。","身体状况。","疾病侵犯。","挂在墙上。","","老天，这就是人生一般一般，至于有少部分的人有特殊例外，不在此例。但，极大部分的人都是依这程序生活。","","好了！问题是：","“除此之外，你到底活着干什么？”","","我自己问自己，你到底活着干什么？我和他人有一点点不一样：","一、修行。","二、写作。","三、画画。","四、弘法。","","说是不一样，其实也一样，只是你稍微特别一点，你是一名“和尚”。","我们都活在这个框框里面，同样的盲目、惶惑、扭曲、变形、挫折、顺逆、毁谤......。","活一生，挣扎一生。","有一天，我眞的跳出来了！","啊！老天！我开悟了！","","问：","“你到底活着干什么？”","我答：","“现在我终于明白了，我根本没有干什么！”(关键语)","问：","“这又是什么意思？”","我答：","“我举一个例子，现在我一共写了二百四十六册的书，但，我说，我根本没有写过一个字。”","问：","“世人不会明白你说的！”","我答：","“释迦如来也一样说，说法四十九年，一个字也未说。”","问：","“世人不明白佛所说！”","我答：","“我明白。”(佛陀确实没有说法，我确实没有写作)","问：","“为什么你能明白，而一般人不明白？”","我答：","“我就是释迦佛如来。”","问：","“你这样说，是不是，你就是释迦牟尼佛的转世？”","我答：","“只是等同。释迦牟尼佛证悟的，也正是我所证悟的。”","很","问：","“口气太大，你是不是妄自尊大？”","我答：","问：","“我不管别人怎么说，信或不信，疑或不疑，我始终是佛。”","“大言不惭！”","我答：","“我是大言，却没有不惭！”"
"002 千万亿闪耀的星光","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c002","一年，我禅定。","我照样从初禅进入到二禅，从二禅进入到三禅，从三禅进入到四禅。","进入空性。","无有念头。","忘却，什么都忘却。","空、空、空、空、空。","无、无、无、无、无。","虚空之中出现了千万亿闪耀的星光，光中坐着千百亿万佛。","","一佛说：","“这一个男人开悟了！”","群佛说:","“这一个男人开悟了！”","声音很细，但，几乎响遍了整个宇宙上下十方，达到了任何一隅。","男人是谁？","“莲生活佛卢胜彦！”","“莲生活佛卢胜彦！”","“莲生活佛卢胜彦！”","","一佛说：","“我且问问他，开悟是怎么一回事？”","我答：","“明白了！”","群佛说：","“嗯嗯嗯！”","“哈哈哈！”","“嘻嘻嘻！”","这种佛的声音，在虚空中的星光，此起彼落，响亮异常。","但一会儿，全部归于死寂、寂静，只剩下微微吹的风。","","问：","“你明白什么？”","我答：","“非你我他或一般人，可以想像的，甚至超出想像的，令一般人想也想不到的。”","问：","“一悟永悟吗？”","我答：","“是的，唯一答案。”","问：","“为何不把答案公开？”","我答：","“没有人会相信。”","问：","“是理智与狂妄，是上上机与下下流，是圣与俗的分别？”","我答：","“不是，不包含这些！哈哈！嘻嘻！嗯嗯！”","问：","“是见闻觉知吗？”","我答：","“也不是见闻觉知，和见闻觉知完全毫无干涉！”","问：","“开悟了会怎么样？”","那","我答：","“一样。只是涅槃寂静。”","问：","我答：","“开悟了，有何益处？”","“没有得，没有失。也没有什么益处。只是你已经是不是人。”(关键语)","",""
"003 这一切都很有趣","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c003","世间很有趣，我很欣赏人间，早上一打开电视，就看见：","欧美等国家，轰炸“伊斯兰国”。","以色列与巴勒斯坦的冲突。","西非的“伊波拉”瘟疫。","某个国家在庆祝国庆时，把杀人的武器，列队演出。","有一个国家说，我创办的“眞佛宗”是邪教。","另外，台湾继续爆出“食品安全”的问题。","果然，这人间是非常复杂的事，不是吗？","","而在我看来：","“一点也不复杂。”","只是：","“很有趣。”","问：","“总之，你说说看，为什么不复杂？用最简单的道理讲出来！”","答：","“我说，人间是有分别的，比如说，外国人、本国人，男人、女人，美女与丑女，富人与穷人，总统与老百姓等等。这样分别下去，那就非常的复杂了。”","“嗯！是复杂！如何是不复杂？”","我答：","“你看空中有白云朵朵是吗？这白云朵朵跟人间，有何牵缠？”","“嗯！没有！”","我答：","“白云跟人间果然无牵缠！白云对任何一切都一样。”","高兴出现就出现。","高兴消失就消失。","","我说：","“你看，眞佛密苑门口的玫瑰花，散发淡淡的玫瑰香，它对任何一个人有分别吗？”","“没有！”","“这就是了！”","我说：","“修行到了最高的境界，就像那一朵云一样，对人间不起分别。就像玫瑰花香一样，对人间不起分别。”","","看啊！","我是云。","我是玫瑰花香。","我是太阳。","我是月亮。","我是星星。","","人们说你是正，你是邪，你是矮，你是高，你是善，你是恶，你是眞，你是假，......。毕竟全无干涉。","“生死呢？”","我答：","“没有生死！”","“快乐或忧伤？”","我答：","“没有没有！”","“为什么又有分别呢？”","我答：","“因为是人间，才有分别。如果解脱了人间，那一切简单多了，是大圆镜智，是法界体性。”","“你怎能如此？”","我答：","这","“因为自心明白之故！”","","","","","","",""
"004 只要是人都是邪","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c004","到“邪”这个字，这只不过是人的用词之一，意指着“不正”、“歪”、“偏”、“恶”。","你读过《地藏本愿经》没有？","《地藏经》说:“阎浮提众生，举止动念莫不是『业』。”","这“业”是什么？","“业”就是“邪”、“歪”、“偏”、“恶”......。","当我读到这句话时，我哈哈哈大笑。","“只要是人都是邪！”","","我说：","“这句话让我安心不少！”","反正：","你邪！","我邪！","他邪！","大家都是邪！","那为什么有人说，他们的团体就是“正教”，我们的团体就是“邪教”。","","我告诉你：","“所谓正教，就不是正教，就因为不是正教，才叫正教。”","“所谓邪教，就不是邪教，就因为不是邪教，才叫邪教。”","哈哈哈！","嘻嘻嘻！","我快乐死了！","密教是邪教吗？","","我说：","“是的，不只是密教，所有一切宗派，包括一切的组织，全是邪。”","“如何才不是邪！”","我答：","“当你不是人的时候！”","我实实在在的告诉你：","“读书人是邪，做田的人是邪，做工的是邪，教徒都是邪，穷人是邪，富人是邪，政治人物全是邪，密教徒是邪，显教徒是邪，修长生不老是邪，连总统也是邪！”","“为什么？”","“阎浮提众生，举止动念，无不是业。”","“你的思想太可怕了吧？”","“才不呢！本来就是这样。”","","“为什么别的教派，自称是正教，称你们是邪教呢？”","答：","“那是本位主义！”","其实，全部是邪教，都是邪教，这样眞是痛快啊！痛快死了。","“你实在不可思议！”","“确实，像我这样子的，才叫做不可思议！”","“你超越了？”","“早就是佛了！”","“佛是什么？”","我答：","“不是人！”(无人相、无我相)","“有人会相信你成佛了吗？”","我答：","“相信也好，不相信也好，认证也好，不认证也好，毁谤也好，嘲讽也好，总之，只有佛与佛知。”","“有谁认证你？”","谈","“释迦牟尼佛。”","“释迦牟尼佛已圆寂了二千五百多年了，又如何认证你？”","我答：","","“成了佛，生死是没有的，时间、空间是不存在的，就是这样认证。”","","",""
"005 天的法则","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c005","将中国的儒家、道家、佛家，做了一个小小的比较，这不是学术的，而是简略的，一般性的小小说明而已。","儒家-","仁义礼智信。","忠恕廉明德。","不逾矩。","忠恕。","(这是做人的道理，子不语怪力乱神)","","道家-","精气神。","长生不老之术。","尸解。","成仙。","(这是修长生不老成仙，如吕纯阳眞人)","","释家-","小乘解脱道。","大乘菩提道。","涅槃。","明心见性。","佛国净土。","(这是修成佛的般若，如释迦牟尼佛)","","显教修戒、定、慧。","密教修气、脉、点。","","但是，有一点要特别注意到，这里有一个天的法则，简称“天法”。","孔子死了！","老子死了！","释迦牟尼佛死了！","","圣人、长生不老者、圆满觉悟者，同样在“天法”之下，由老而死。","就连世界上最大宗教的创办人，也难逃“天法”的命运。","释迦牟尼佛死了！","耶稣死了！","穆罕默德死了！","一切大修行、大成就、大祖师，全部都死了！","这是一切的有形，皆归于幻灭的道理。","","“了生死”本是我学佛的初衷，也是我的人生大事。","后来“开悟明心”，才知“无生死可了”、“无生死可抛”。","才知“本无生死”、“无生无灭”、“无来无去”。","才知“圣严法师”的“生死皆可抛”，是一场天大的大笑话。","","知道人人都要死，我高兴死了！","知道大成就都要死，我快乐死了！","知道自己也会死，我爽快死了！","","原来“死”只是一种“天法”，认明了“死”，就是大澈大悟了。","“你懂生死吗？”","我答：","“我懂无生无死！”","我","“生就是有，死就是无，这是一般人的概念。在有、空之中你如何看？除了色即是空，空即是色，之外，你有何看法？”","","我答：","“自然是什么？”","“自然二字。”","我答：","“随心所欲而不逾矩！”","“这是开悟者的生活态度吗？”"
"006 可以跳一支舞吗？","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c006","一天晚餐，辛龙(歌手)与刘眞(舞者)与我同桌吃饭。地点是南投草屯台湾雷藏寺的餐厅。","我说：","“刘眞小姐的舞，可算出名的很！”","刘眞说：","“嗯！”","我说：","“我只会太极拳(杨氏)，常智和尚会太极拳(陈氏)。哈哈！我把太极拳变化成太极舞，有一天，我打太极舞给妳看。”","刘眞说：","“舞武同源。卢师尊演化手印，好像是在跳舞呢！”","我说：","“打拳跟跳舞，一样要有灵感，有了灵感，自能生动变化。”","刘眞说：","“这是眞的。”","我说：","“打拳可以入三昧地，跳舞可以入三昧地，禅定可以入三昧地，这是可以融会贯通的。”","","这一次谈话，令我想起一个问题，我仍然自己与自己聊天：","“你可以跳一支舞吗？”","“当然可以！”我说。","“你是和尚，可以跳舞吗？”","我答：","“我也是男人！”","“你在未出家之前，你是男人！”","我答：","“我现在当和尚，当然还是个男人！”","“不矛盾吗？”","“不矛盾。”","“不要提那么多的废话，你(卢师尊)到底可以不可以跳舞？”","我说：","“可以。”","“为什么？”","“我是和尚也是男人！”","“好!和尚可以跳舞吗？”","我说：","“我不是普通的和尚，我是明心见性的和尚，我跳舞，佛性不增不减。”","“为何你不跳？”","我说：","“因为我还在度众生。我到月球跳舞去！”","“你是不是还有顾忌？”","我说：","“开悟者本无顾忌，欲度众生故，才给予戒律的。戒自己，即是戒众生。”","“你跳舞犯戒吗？”","我说：","不犯戒！","不犯戒！","不犯戒！","“老问题，为何不跳舞？”","“眞的不要紧，要紧的是众生啊！”","“你到底是怎么样的和尚？”","","我答：","和尚念经。","有","男人跳舞。","大和尚跳舞。","大男人念经。","","这二者互融，会吗？","","",""
"007 就像一阵风","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c007","听过吗？有一位和尚，一直想“开悟”，但，百思不得其解。","他到庭院去散步，走过来，又走过去，无聊又无聊，他看见了一块小石子，顺脚就踢了出去，那石子飞了起来。","“啪！”的一声。","石子打在竹子杆上。","这“啪”一声，惊醒了他。","他开悟了！","","又：","你听说过吗？也有一位和尚，也一样一直想着“开悟”。","他拿起了一杯水。","他喝了一口。","那水是滚烫的。","这一惊！","手的杯子掉落在硬实的地板上，“啪”的一声，杯子破碎了。","他一看一听。","开悟了！","我告诉大家一个小秘密。","","前则-","关键在“啪！”的一声。","过去没有“啪”的一声！","现在“啪”的一声，只几秒钟，也没有了。","未来也没有“啪”的一声！","这一切“没有、没有、没有”，所以也就开悟了。那“啪”的一声，是无中生有，这有也等于 无。这不是开悟是什么？","","后一则-","关键在破碎的杯子。","没有制作杯子之前，是没有杯子的。","杯子落地，碎落一地，也没有杯子了！","那个杯子在未来，等于没有！","","因为：","没有、没有、没有，所以开悟了！","我说：","有一天。","我去爬山，爬啊爬的。冒出了一身的汗水，突然有一阵风吹拂过来，感觉一阵清凉，舒服的很，但，只是一阵风。","风过去了！","我又流了一身汗。","","我突然想起：","没有风，一身汗。","有风，清凉些。但，只一刹那。","风过了，又一身汗。","因此，我开悟了，人生就像一阵风。","风未来，没有。","风来又走，也没有了。","风过去了，没有。","","我实在的告诉大家：","对于密教“大圆满法”以及禅宗的“禅法”，这二则是相通的。","竹子的声响。","玻璃破碎。","你","一阵风。","都能让你了悟实相的眞正本质。迷惑、烦恼、痛苦。在眞正的本质下，像烟一样袅袅而飞散。","“你执着什么？”","“为什么不执？”","“不执！”","“因为，什么都不见！”","",""
"008 遍照金刚空海","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=446&chapter_id=c008","读“弘法大师的空海年表”，发觉到，空海与惠果阿阇梨的师徒相处时光。","空海是在延历二十四年(八〇五)三十二岁时，五月同长安西明寺的僧侣一起拜访长安青龙寺惠果阿阇梨。","同年八月上旬，接受传法阿阇梨灌顶。","十二月十五日，惠果阿阇梨圆寂。","","依此看来：","空海大师与惠果大师，从见面到诀别，只有短短八个月的时光。","“你说呢？”","据说：","惠果大师已有病。","惠果看见空海，只对他说：","“你再不来，我就走了！”","“我等你很久了！”","","于是：","“灌顶阿阇梨”。","“灌顶大日如来本尊”。","","赐金刚号：","“遍照金刚”。","又：","我初见“了鸣和尚”。","了鸣和尚说：","“我早就认识你了！”","“我等你已经很久了！”","","于是：","“灌顶阿阇梨位”。","赐金刚号：","“大福金刚”。","","又：","我在美国纽约上州的“法轮寺”，面见“十六世大宝法王噶玛巴”时。","我持：“噶玛巴千惹”咒语。","噶玛巴等同“了鸣和尚”一样，对我说：","“又见面了！”","“又要再见了！”","我们好像多年不见的好朋友一般，噶玛巴的心情特别好。","","灌顶:","“五佛严顶。”","“绿度母。”","“摩哈迦拉。”","大宝法王说：","“一般日子，我早上修度母，晚上修护法。”","大宝法王送我的信物，及阿阇梨的附属物，比我供养他的多。","“为什么会这样？”","我答：","“有缘！”只短短的两个字。","","我有一种特别奇妙的感觉，我的几位根本上师“了鸣和尚”、“萨迦证空上师”、“十六世大宝法王噶玛巴”、“吐登达吉上师”。","都是过去世的“有缘”人。而在现在世又见面了，见面时光有长有短。","我","甚至-","来匆匆，去匆匆。但，延绵了百世、千世、亿世......。","时间打破。","眞是“历史悠悠，浩浩长空”，就这样一代又一代的变幻着。","空间打破。","","问：","“怎么相处时光那么短？”"
