"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","firstcharacter","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62","chapterbody 63","chapterbody 64","chapterbody 65","chapterbody 66","chapterbody 67","chapterbody 68","chapterbody 69","chapterbody 70","chapterbody 71","chapterbody 74","chapterbody 75"
"Table of Contents","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c999","Preface","001 People Are Really Quite Blind","002 The Quadrillion Blinking Stars","003 This Is All Very Interesting","004 One Is Devious as One Is Human","005 A Rule of Heavens","006 Can You Dance?","007 A Gust of Wind 2","008 Maha-Vairocana-Vajra Kukai","009 The Same Hand","010 Skillful Means","011 The Train Analogy","012 Magic Plate and the Ouija Board","013 I See Buddha in Every Being","014 What to Do with the Cough?","015 I Am a Surgeon","016 Female Belly Dancers 6","017 I Sing a Song","018 Giving Way","019 The Aches of Mo-ding","020 Is Sheng-yen Lu a Scoundrel?","021 Major-general Sun Fusheng","022 Browsing at the Department Store","023 Cautioning Against Lust","024 The Phantasmagoric Exodus: Gods and Kings","025 Here is Indeed Hell","026 The Death of Zhao Shun","027 Plastic Surgery","028 Massage Parlor","029 One Who Knows All Esoteric Dharmas","030 Facing Condemnation","031 Thus Said Feng Feng","032 My Bentley","033 Gathering and Dispersing","034 The Millennium Wild Ginseng","035 The Suffering of Others","036 How Nice to be Awakened!","037 A Fantasy-Comedy","038 Your Body Is Not Yours","039 The Woman Who Gave Me Peonies","040 Listening to Zhou Hui Singing","041 Living Amidst Misconceptions","042 If Sitting on a Plummeting Plane","043 Price Tag","044 The Buddha Also Encountered Resentment and Enmity","045 Question from a Student","046 My Return to Taiwan","047 A Few Enlightened Statements","048 How I Live","049 Playing House","050 Appendix: First Discourse on the Great Perfection Dhar","●","Hence, most importantly, I chat with myself. This was how this book came to be.","Sheng-yen Lu","","","","","","","","","","","","","","","","","","","",""
"Preface","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c000","ne year, winter came early to Seattle, Washington, USA. Early one morning, I looked out the window and saw that the fountain in the courtyard was frozen. Icicles hung down the sides of the fountain. It was beautiful like a crystal chandelier.","U. S. A.","By evening, however, only three words could describe the outdoors:","","Cold","Dark","Wet","","The temperature was below zero.","The house was surrounded by darkness","Wet was the winter rain of Seattle.","","It was during this winter that I sat inside my study and wrote under the lamp this book, [Chatting with Oneself].","","Allow me to explain this title!","","I do not have any intimate friends.","I do not have any friends at all.","I do not have anyone to talk to.","","I am Grand Master Lu. I have five million True Buddha School students, some of them close and others distanced.","","Students of high capacity, we chat a little more.","Students of medium capacity, we chat a little less.","Students of low capacity, we chat even less.","","Hence, most importantly, I chat with myself. This was how this book came to be.","","It was not note-taking.","It was not writing.","It was not creative writing.","It was a chat. I asked myself questions and I myself replied.","","Why did I ask and answer my own questions?","","Because:","","“I understand myself the best!”","","“I know I am a gifted prodigy and one who is truly enlightened!”","","Question: “Are you mentally ill?”","Reply: “Yes. If all sentient beings in the world are normal, then I am","mentally ill.”","","Question: “What do you mean?”","Reply: “On the other hand, if I am normal, then people all over the world are mentally ill.”","","Question: “Are all enlightened people like this?”","Reply: “Yes. All enlightened people are mentally ill and beyond comprehension!”","","Reply: “Hahahahaha! This is so absurd! Life is such a joke that I am dying of laughter!”","Question: “What is so funny and why are you laughing?”","","O","Question: “Why is this so?”","Reply: “Have I laughed?” (Here is the key.)","Living Buddha Lian-sheng","Sheng-yen Lu","17102 NE 40th Ct.,","Redmond, WA 98052","●","I may claim the things I do are different from others, but in reality they are not any different. I simply play a special role, that of a “monk.”","Sheng-yen Lu","Acknowledgments:","This audio book recording was created by Tommy Chau.","","","","","","","",""
"001 People Are Really Quite Blind","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c001","rom birth to old age to death, many people live their lives following a certain pattern. Let me simply list the sequence as follows:","Sheng-yen Lu","Debuting at birth","Learning deemed top priority","Falling in love","Wandering in the workplace","Joining in and dissolution of marriage","Raising children","Physical deterioration","Succumbing to disease","Portrait hanging on the wall","","Oh heaven, this is life. There is a small fraction of people who live outside this program, but they are the exceptions to the rule. The majority of people live in accordance with this pattern.","","So, the question is:","","“Besides this, what else are you living for?”","","I asked myself, what am I living for after all? There are some slight differences between what I do and what others do:","","1. Spiritual practice","2. Writing","3. Painting","4. Disseminating the dharma","","I may claim the things I do are different from others, but in reality they are not any different. I simply play a special role, that of a “monk.”","","We are all living inside this frame, similarly blind, bewildered, twisted, distorted, frustrated, experiencing good or bad times, facing slander…","","All one’s life, one struggles.","One day, I finally jumped outside this frame!","Oh heaven! I was enlightened!","","Question: “What are you doing with your life after all?”","My reply: “Now I have finally understood. I have not done anything at all!” (Key words.)","","Question: “What does this mean then?”","My reply: “Let me give an example. Now that I have written altogether 246 books, I am proclaiming that I have basically not written a single word.”","","Question: “People of the world will not understand what you are saying!”","My reply: “Shakyamuni Tathagata also said that after teaching the dharma for forty-nine years, he had not spoken a single word.”","","Question: “People of the world do not understand why the Buddha said this!”","My reply: “I do. The Buddha indeed did not give any discourse, and I indeed did not write anything.”","","Question: “Why is it that you understand the Buddha while the general populace does not?”","My reply: “I am Shakyamuni Tathagata.”","","Question: “Are you then the reincarnation of Shakyamuni Buddha?”","My reply: “We are equivalent. What Shakyamuni Buddha has intuited and realized is exactly what I have intuited and realized.”","","My reply: “I do not care what others say, believe or disbelieve, suspect or do not suspect, I have always been a buddha.”","Question: “You say such bold words shamelessly!”","","F","Question: “Such arrogance. Are you a megalomaniac?”","My reply: “Those are bold words, and I am not ashamed to say them!”","●","","Amidst the blinking stars in the void, the sounds of the buddhas rose and fell loudly throughout spaciousness.","","","","","","","","","","","","","",""
"002 The Quadrillion Blinking Stars","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c002","t happened that year during meditation.","","As usual I moved from the first stage of dhyana to the second stage of dhyana, then to the third stage of dhyana, and from the third stage to the fourth stage of dhyana.","","I entered the void.","Not a thought stirred.","Forgotten, everything was forgotten.","Spaciousness, spaciousness, spaciousness, spaciousness, spaciousness.","Nothingness, nothingness, nothingness, nothingness, nothingness.","","In the empty space a quadrillion blinking stars appeared. Sitting amidst the light were trillions of buddhas.","","One buddha said: “This man is enlightened!”","","The group of buddhas said: “This man is enlightened!”","","The soft sound reverberated throughout the ten directions of the universe, reaching all corners.","","Who was this man?","","“Living Buddha Lian-sheng Sheng-yen Lu!”","“Living Buddha Lian-sheng Sheng-yen Lu!”","“Living Buddha Lian-sheng Sheng-yen Lu!”","","One buddha said: “Let me ask him what enlightenment is about?”","","I replied: “I understood!”","","The group of buddhas said:","","“Well, well, well!”","“Ha, ha, ha!”","“Hee, hee, hee!”","","Amidst the blinking stars in the void, the sounds of the buddhas rose and fell loudly throughout spaciousness.","","But after a while, all returned to a deathly stillness, silence, with only a slight wind blowing.","","Question: “What have you understood?”","","My reply: “It is not something you, he, I, or most people can imagine. It is beyond imagination, something most people cannot think of.”","","Question: “Once enlightened, are you forever enlightened?”","","My reply: “Yes, this is the only answer.”","","Question: “Why don’t you disclose the answer?”","","My reply: “No one will believe it.”","","Question: “Is it the difference between reason and irrationality, the highest nobility and abject vulgarity, and sacredness and profanity?”","My reply: “No. These are not included! Ha ha! Hee hee! Well well!”","Question: “Does it have something to do with the six roots of perceptions?”","My reply: “It is also not the six roots of perceptions. It has absolutely nothing to do with the six roots of perceptions.”","I","","","","Question: “What happens after enlightenment?”","","My reply: “The same. Just nirvana and quiescence!”","","","If one is liberated from the human world, everything becomes very simple.","","Sheng-yen Lu","Question: “What are the benefits of achieving enlightenment?”","My reply: “There is neither gain nor loss. There is also no benefit. Simply, you are no longer human.” (Key words.)","●","","","","",""
"003 This is all Very Interesting","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c003","his human world is very interesting, and I greatly admire it. As soon as I turned on the television one morning, I saw:","","Airplanes from the US and Europe unleashing a wave of airstrikes on the Islamic State.","","The conflict between Israel and Palestine.","","The “Ebola” plague in West Africa.","","A certain country, in celebration of their National Day, paraded their murder weapons.","","A country claimed that the “True Buddha School” I founded is a cult.","","In addition, a slew of food-safety scandals continued to erupt in Taiwan.","","Sure enough, this human world is a very complicated place, isn’t it?","","And in my opinion: “It is not complicated at all. It is just very interesting.”","","Question: “In short, you tell me, why is it not complicated? Just speak out with the simplest reasoning!”","","Reply: “Differentiation exists in the human world. For example, there are foreigners and nationals, males and females, beautiful and ugly women, rich and poor men, presidents and civilians etc. When such differentiation exists, the world becomes very complicated.”","","“Well! It is complicated! How can it not be?”","","My reply: “Do you see the patches of white cloud in the sky? Do all these white clouds have any entanglement with humans?”","","“Well! No!”","","My reply: “The white clouds indeed have no entanglement with humans! The white clouds regard anything and everything the same.”","","They appear whenever they like to appear.","","They disappear whenever they like to disappear.","","I said, “The roses planted by the door of the True Buddha Quarter exude a delicate fragrance. Do they treat anyone with partiality?”","","“No!”","","“This is it!”","","I said: “When a practitioner cultivates to the highest realm, he is like that patch of cloud, regarding the human world without any mind of differentiation. He is also like the rose fragrance, treating the human world without any mind of differentiation.”","","Look!","I am the cloud.","I am the rose fragrance.","I am the sun.","I am the moon.","I am the stars.","","People say you are righteous, you are devious, you are short, you are tall, you are kind, you are evil, you are genuine, and you are fake…","But, these totally cannot interfere with you at all.","“What about birth and death?”","My reply: “There is neither birth nor death!”","“What about happiness or sorrow?”","T","","","","My reply: “None at all!”","","“Why are there differences?”","","","●","","Only a buddha knows a buddha.","My reply: “There are differences because this is the human world. If one is liberated from the human world, everything becomes very simple. The nature of the dimension of Absolute Reality is reflected by Mirror-Like Wisdom.”","“How can you be like this?”","My reply: “I have understood and witnessed the Buddha-essence!”","Sheng-yen Lu","","","",""
"004 One Is Devious as Long as One Is Human","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c004","his word “devious” is but one of the terms used by humans. It means “incorrect,” “crooked,” “evil,” and “badness.”","“I have long been a buddha!”","Have you read [The Sutra on the Past Vows of Ksitigarbha Bodhisattva]?","[The Ksitigarbha Sutra] says: “The beings of Jambudvipa create karmic transgression and commit sins whenever they move, rest, or stir a thought.”","","What is this “karmic transgression”?","","“Karmic transgression” is “deviousness,” “crookedness,” “partiality,” “evilness.”","","When I came upon this sentence in the sutra, I started laughing aloud.","","“One is devious as long as one is human!”","","I said: “This sentence makes me feel quite at ease!”","","After all:","","You are devious!","I am devious!","He is devious!","Everyone is devious!","","Why then do some people say their organization is “orthodox” while our group is a “cult”?","","Let me tell you: “The so-called orthodox is not orthodox. It is because they are not orthodox that they are called orthodox.”","","“The so-called cult is not a cult. It is because the group is not a cult that they are called a cult.”","","Ha ha ha!","Hee hee hee!","I was overwhelmed with happiness!","Is Tantrayana a cult?","Sheng-yen Lu","I say: “Yes, not just Tantrayana, all religions and organizations are cults.”","","“How can one be not devious?”","","My reply: “When you are no longer human!”","","Let me tell you honestly: “Scholars are devious, farmers are devious, laborers are devious, religious followers are devious, poor men are devious, rich men are devious, politicians are devious, Tantrayana practitioners are devious, Sutrayana practitioners are devious, those seeking immortality are devious, even presidents are devious!”","","“Why?”","","Reply: “The beings of Jambudvipa create karmic transgression and commit sins whenever they move, rest, or stir a thought.”","","“Aren’t such ideas horrible?”","“Shakyamuni Buddha passed away twenty-five hundred years ago. How can he authenticate you?”","“Not at all! It has always been this way.”","My reply: “When one becomes a buddha, birth and death no longer exists. Time and space no longer exist. So authentication is possible.”","“Why do the other denominations claim themselves to be orthodox and call your group a cult?”","","","","","T","Reply: “Egoism!”","“You are inconceivable!”","“Indeed, someone like me can be called inconceivable!”","","“Have you already transcended?”","","“What is a buddha?”","My reply: “Not human!” (Someone who has ceased to cherish the notion of his own selfhood and other selves.)","“Will anyone believe that you have attained Buddhahood?”","My reply: “Whether people believe or not, authenticate or not authenticate, slander or ridicule, it does not matter. Only a buddha knows a buddha.”","Understand the mind and see the Buddha-essence (mingxin jianxing).","","","","","In reality, all groups are cults. What a delightful thing it is! I am tickled to death!","“Who can authenticate you?”","",""
"005 A Rule of Heavens","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c005","have made small comparisons between China’s Confucianism, Taoism, and Buddhism. These are not academic comparisons, rather general and brief explanatory comments.","“What do you know about birth and death?”","Confucianism –","","Benevolence, Righteousness, Etiquette, Wisdom, and Faith.","Loyalty, Forgiveness, Integrity, Brightness, and Ethic.","Committing no transgressions.","","These are principles of appropriate human conduct advocated by Confucius. He discouraged talk about strange happenings, superstitions, and gods.","","Taoism –","","Essence, Vital Breath, Spirit (Jing, Qi, Shen).","Searching for the elixir of immortality.","Liberation from the corpse.","Becoming immortal.","","Taoist spiritual master Lu Chunyang is an example of one who cultivated the immortality practice to become a celestial being.","","Buddhism –","","Hinayana Buddhism emphasizes attaining self-liberation through one’s own efforts.","Mahayana Buddhism emphasizes the practice of bodhicitta.","Nirvana.","Understand the mind and see the Buddha-essence (mingxin","jianxing).","","The Buddhas’ Pure Lands. (Shakyamuni Buddha, for example, attained the prajna wisdom of Buddhahood.)","","Sutrayana schools practice precepts, stability, and wisdom.","Tantrayana schools practice wind, channels, and drops.","","But, it should be noted in particular that here is a “rule of heavens”:","","Confucius is dead!","Laozi is dead!","Shakyamuni Buddha is dead!","","The sage, the immortal, and the fully enlightened one, they similarly grew old and died under this rule of heavens.","Even the founders of the largest religions could not escape this fate.","Shakyamuni Buddha is dead!","Jesus is dead!","Mohammed is dead!","All great spiritual practitioners, adepts, lineage masters, they all died!","","This reflects the principle that all tangibles will vanish and return to the illusory.","My reply: “I know and understand we are simply laboring in dreams! Ha ha!”","“To transcend birth and death” was my original intention when choosing to study Buddhism.","●","After enlightenment and realization of the mind, I knew there is “no birth and death to transcend” and “no birth and death to throw out.”","","","","Knowing all great adepts will die, tickles me to death with joy!","I","I realized there is “neither birth nor death,” “neither arising nor extinguishing,” and “neither coming nor going.”","Knowing everyone will die, makes me so happy that I could die!","Knowing I will also die, I rejoice!","","“Death” is simply a rule of heavens. The moment one accepts death, one arrives at great discernment and understanding.","","My reply: “I know there is no birth or death!”","“To most, life is existence, and death is non-existence. How do you see between existence and emptiness? Apart from form is emptiness and emptiness is form, what view can you offer?”","“Just be natural (ziran).”","“What does that mean to be natural?”","Sheng-yen Lu","","","","","I knew then the last words of Master Sheng Yen, “Both birth and death can be thrown out,” were a big joke.","“Do as one wishes without creating transgressions!”","",""
"006 Can You Dance?","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c006","ne evening, at the Taiwan Lei Tsang Temple in Caotun Township, Nantou, a singer, Xin Long, and a dancer, Liu Zhen, sat down to dinner with me.","“So again, why don’t you dance then?”","I said: “Miss Liu Zhen, you are a very famous dancer!”","","Liu Zhen said: “Eh!”","","I said: “I only know the Yang-style Taijiquan (Tai Chi Fists). Monk Changzhi knows the Chen-style Taijiquan. Haha! I have transformed the Taijiquan into the Taiji Dance. Another day, I will show you my Taiji Dance.”","","Liu Zhen said: “Martial arts and dance share the same origin. When Grand Master Lu performs the movements of mudras, it looks like a dance!”","","I said: “Both Taijiquan and dancing require inspiration. When inspired and in a state of flow, creative transformation comes effortlessly.”","","Liu Zhen said: “This is true.”","","I said: “Playing Taijiquan one can enter Samadhi, and dancing one can enter Samadhi, just as one can enter Samadhi with meditation. This is possible when one achieves mastery through comprehensive study of the subject.”","","This conversation brought to my mind a different subject matter. I was still chatting with myself: “Can you dance?”","","“Of course!” said I.","","“You are a monk. Can you dance?”","","I replied: “I am also a man!”","","“Before you became a monk, you were a man!”","","I replied: “I am now a monk and am of course still a man!”","","“Isn’t it contradictory?”","","“It is not contradictory.”","","","“No more talking rubbish. Can you, Grand Master Lu, dance?”","","I said: “Yes.”","","“Why?”","","“I am a monk and also a man!”","","“Good! Can a monk dance?”","","I said: “I am no ordinary monk. I am an enlightened monk. When I dance, my Buddha-essence neither increases nor diminishes.”","","“Why don’t you dance then?”","●","I said: “Because I am still helping and delivering sentient beings in the world. One day I will dance on the moon!”","Existence is also non-existence. Isn’t this enlightenment then?","“Do you have qualms about dancing?”","","","","","O","I said: “An enlightened being has no qualms. The precepts are for the sake of delivering sentient beings. Disciplining oneself, one disciplines others.”","I replied:","No transgression!","No transgression!","No transgression!","","“It really does not matter. What matters are the sentient beings!”","“So, in the end what kind of monk are you?”","I replied:","A monk chanting sutras.","A man dancing.","","","","Big man chanting sutras.","“Is it a transgression for you to dance?”","Big monk dancing.","",""
"007 A Gust of Wind","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c007","ave you heard of this story? A monk had been seeking enlightenment, but after racking his brain he was still baffled.","“Because, I see nothing to grasp onto!”","He took a walk in the courtyard. After strolling back and forth, he became extremely bored. Spotting a piece of gravel on the path, he kicked it.","That piece of gravel flew in the air and “smack!”","The stone hit a bamboo pole.","The “smack” awakened him.","He was enlightened!","","Also, have you heard of this one? There was another monk who had similarly pondered for a long time the path to enlightenment.","He picked up a cup of water.","He took a sip.","The water was scalding hot.","What a shock!","His hand dropped the cup which fell onto the hard floor.","With a “smack,” the cup broke into pieces.","At that moment, he was enlightened!","I will tell you a small secret.","","In the first story, the key is the sound “smack”!","In the past there was no “smack”!","The “smack” lasted only a few seconds and was gone.","In the future, there will be no “smack”!","It is neither in the past, present, nor future. Hence he became enlightened. This “smack” sound appeared out of thin air when it had previously been non-existent. Existence is also non-existence. Isn’t this enlightenment then?","","In the latter story, the key is the broken cup.","Before the manufacturing of the cup, there was no cup.","After dropping to the floor and breaking into pieces, the cup is no more!","In the future, that cup will not exist!","","Upon realization that the cup did not exist in the past, does not exist in the present, and will not exist in the future, he attained enlightenment!","","One day, I went mountain climbing.","After climbing for a while, sweating all over, I encountered a sudden gust of wind that was cool and soothing. But, it was only a gust.","Then the wind was gone!","I again was covered in sweat!","","It suddenly dawned on me –","","Without the wind, I was covered in sweat.","With the wind, I was cool and refreshed. But, it only lasted a moment long.","When the wind was gone, I again was covered in sweat.","Hence, life is like a gust of wind.","Before the wind, it does not exist.","The wind comes and goes, and is also non-existent.","When the wind passes, it is gone.","","Let me tell you a truth:","","The Great Perfection Dharma of Tantrayana and the Zen practice of Zen Buddhism are connected.","The sound emitted by striking bamboo.","The breaking of a cup.","","","","H","A gust of wind.","“What are you grasping onto?”","“I am not grasping onto anything!”","","“Why not?”","","●","But, our affinities stretch throughout hundreds, thousands, and millions of lifetimes…","Sheng-yen Lu","","","","","","","All can lead you to the true essence of ultimate reality. Upon understanding this true essence, confusion, emotional afflictions, and suffering will dissipate like wisps of smoke.","","",""
"008 Maha-Vairocana-Vajra Kukai","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c008","hile reading “Kobo Daishi Kukai’s Chronology,” I noted the time Kukai and his mentor Acharya Huiguo spent together.","I have a particularly wonderful feeling that my Root Gurus “Reverend Liaoming,” “His Eminence Sakya Zhengkong Rinpoche (Dezhung Rinpoche),” “His Holiness the Sixteenth Gyalwa Karmapa,” and “Vajra Acharya Thubten Dargye” had great affinities with me from past lives. And we all met again in this life. The times I spent with them varied from short and  long.","In the fifth month of the year of Enryaku 24 (805 A.D.), at the age of thirty-two, Kukai and several monks from the Changan Ximing Temple visited Acharya Huiguo at the Changan Qinglong Monastery.","","At the beginning of the eighth month the same year, Acharya Huiguo bestowed the Empowerment of Acharya to Kukai.","","On the fifteenth of the twelfth month, Acharya Huiguo passed away.","","So from their first meeting to farewell, Master Kukai and Master Huiguo had only known each other for a short period of eight months.","","It is said:","","Master Huiguo was ill at that time.","","When Huiguo saw Kukai, he said:","","“If you do not come, I will have to leave!”","“I have waited for you for a long time!”","","Thus, Huiguo bestowed to Kukai:","","Acharya Empowerment.","The Yidam Empowerment of Maha-Vairocana.","The Vajra Title of “Maha-Vairocana-Vajra.”","","When I first met Reverend Liaoming, he spoke to me:","","“I have known you for a long time!”","“I have been waiting a long time for you!”","","Thus, he bestowed to me:","","Acharya Empowerment.","The Vajra Title of “Great-Fortune-Vajra.”","","My meeting with the Sixteenth Gyalwa Karmapa took place at the","Dharmachakra Monastery in upstate New York.","","I was chanting the Karmapa Chenno Mantra.","","Like Reverend Liaoming, the Karmapa said to me:","","“We meet again!”","“We are seeing each other again!”","","We were like long lost friends and the Karmapa was in a particularly good mood.","","He bestowed to me:","","The Five-Buddhas-Crown-Adornment Empowerment.","Green Tara Empowerment.","","","","W","Mahakala Empowerment.","The gifts the Karmapa gave me as keepsakes and accessories for the Acharya Empowerment were more than my offerings to him.","“Why?”","","My reply is very short: “Affinity!”","","Sometimes, it felt like we were rushing and in a hurry. But, our affinities stretch throughout hundreds, thousands, and millions of lifetimes…","Space is ruptured.","Question: “Why are the encounters so short?”","","My reply: “Human life is also like the lightning’s flash!”","","Time is ruptured.","Indeed, under the vast and spacious sky, human generations move on and change.","“Are you Kukai?”","The Karmapa said: “Generally, I practice the Tara Sadhana in the morning and the protector sadhana in the evening.”","","My reply: “What do you think?”","●"
