"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55","firstcharacter","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 65","chapterbody 66"
"Table of Contents","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c999","Preface Gateway to Infinite Dharma Treasure","001 Secret Key is the Essence","002 The Ultimate Key Points","003 Stage of Insight and Cultivation of the Mind","004 Watching a Movie","005 Peace of Mind is Peace","006 Changes after Attaining Enlightenment","007 Buddha-nature Appears Naturally","008 The Ultimate Wisdom","009 Forget, Forget, Forget, Forget, Forget","010 The Trilogy of Emptiness, Brightness and Bliss","011 Yoga Practice","012 Characteristics of Vajrayana Yogic Union","013 Secrets of Mahayoga","014 Invocation, Visualization and Mudra","015 Illusion within the Illusion","016 ""Nothing Matters"" Is the Key Point","017 The Fundamental Template of Vajrayana Cultivation","018 Benefits of Performing the Great Homage","019 The Secret of Changing from One Offering to Many","020 Opening the Door of Wisdom","021 Reciting the Vajrasattva Mantra","022 The Pure Heart of Bodhicitta","023 What Merits the Greatest Field of Blessings?","024 The Nature of Absolute Emptiness","025 The Leading Practices of the Vajrayana Completion Stage","026 Attaining Buddhahood through Qi Entering the Central Channel","027 Protection Practices (Part I)","028 Protection Practices (Part II)","029 Falling Asleep and Waking Up","030 Body Offering","031 A Stick of Burning Incense","032 Subtle Cultivation Keys for Light Drops","033 To Achieve Peace of Mind","034 Key Points on Postures (Cultivating One’s Body)","035 Key Points on Empowerments","036 The Hum Syllable Purification Dharma (Cultivating One’s Speech)","037 Profound Insight of the Great Compassion Dharani (Cultivating One’s Speech)","038 Great Wisdom of Brightness and Emptiness (Cultivating one’s Mind)","039 Eliminating the Habitual Tendencies of the Six Paths","040 Key for Awareness of Bright Light","041 The Light of Wisdom","042 Guard the Enlightenment until It Is Solidified","043 Key Points for the Three Kinds of Emptiness","044 Key to Witness the Buddha-nature","045 The Ultimate Key Points of Sheng-yen Lu (Part I)","046 The Ultimate Key Points of Sheng-yen Lu (Part II)","047 The Ultimate Key Points of Sheng-yen Lu (Part III)","048 The Ultimate Key Points of Sheng-yen Lu (Part IV)","049 The Ultimate Key Points of Sheng-yen Lu (Part V)","050 A Letter from Master Lianhe","051 Acknowledgements","●","Mind awakening is theoretical, a realization only in principle, whereas seeing the Buddha- nature is practical, realizing it by actual practices.","Sheng-yen Lu","","","","","","","","",""
"Preface	Gateway to Infinite Dharma Treasure","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c000","n this book, I want to tell everyone that I am the male protagonist in the book, and I am a treasure trove of dharma.","Sheng-yen Lu","Why am I a treasure trove of dharma? The reasons are as follows:","","Firstly:","I am gifted.","After my divine eye opened, I observed that I am actually the Padmakumara. I also journeyed to the Maha Twin Lotus Ponds, which is the Pure Land of the Padmakumara.","Sentient beings are in delusion; the enlightened being wants to wake up the ones in delusion.","I composed this verse:","","The original dharma body transcends the heavens.","An ancient pagoda and Buddhist relics however appeared;","Only for the sake of a great cause in the world of human beings, Transformed into a monk and remained with sentient beings.","","Who is Padmakumara? He is the Lotus-hand Bodhisattva, Xiangguang Youth, Baoyi Youth, Baoshang Youth, White Lotus King, White Maha Padmakumara...","He is the Lotus Light Unhindered Buddha.","Because of the above innate gift, I am a treasure trove of dharma.","","Secondly:","","I have attained spiritual union.","I have an affinity with cultivation, have practiced the Path of Accumulation, the Path of Preparation, the Path of Seeing, the True Path, and have practiced the Ultimate Path.","In Vajrayana Buddhism, I have practiced the Generation Stage perfectly.","In Vajrayana Buddhism, I have practiced the Completion Stage perfectly.","I have attained spiritual union in the Preliminary Practices, Guru Yoga, Principal Deity Yoga, Heruka Practices, Highest Yoga Tantra, and the Great Perfection.","","In this life, I only engage myself in cultivation, writing, and disseminating the Buddhadharma.","I have attained spiritual union with Golden Mother of the Jade Pond, Amitabha Buddha, Ksitigarbha Bodhisattva and many more.","Because I am spiritually awakened, I am a treasure trove of dharma.","","Thirdly:","","I have awakened the mind.","","The awakened mind is being enlightened. I understand that all the phenomenal realms should be viewed as an illusion, a bubble, a shadow, dew, or lightning. I understand the past mind, the present mind, and the future mind are all unobtainable. There is absolutely nothing to be attained.","","I understand emptiness.","I understand nirvana.","I understand that “I alone am the honored one in the heavens and on earth.”","After I awakened the mind, I realized the ultimate oneness, which is not two in opposition; it is absolute, not relative.","After awakening the mind, all my thoughts are calm, and everything is extinguished. Awakening is the totally empty and quiescent state which is constant and without discrimination.","","The great wisdom is known by few people, so I am a treasure trove of dharma.","","Fourthly:","I see the Buddha-nature.","Mind awakening is theoretical, a realization only in principle, whereas seeing the Buddha-nature is practical, realizing it by actual practices.","The Buddhist teachings are vast, and there are various schools. Each school and sect have their own respective practices. In Vajrayana Buddhism, the Great Perfection, Mahamudra, Yamantaka, and the Great Perfection Profound Wisdom are four great dharmas that I have practiced for forty years.","I have witnessed the Buddha-nature.","Witnessing the Buddha-nature is rare in the world, so I am a treasure trove of dharma.","","Finally, what I want to tell everyone is:","","If you read the book, you will also have a life without regrets.","Thumbs up!","I","Through my wisdom eye, the world, life, universe, cause and effect, reincarnation, nirvana, and everything are all an enormous illusion.","What I found is the ultimate of the Buddhadharma. Once reaching the ultimate, one will realize that even the Buddhadharma is not the Buddhadharma anymore. I have endless supernatural powers and subtle perceptions. Because of my wisdom, I have no regrets in my life!","All will praise this book!","To Contact Living Buddha Lian-sheng:","Sheng-yen Lu","17102 NE 40th CT","",""
"001 Secret Key is the Essence","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c001","would like to begin by telling a joke:","After turning in for the night, Mrs. Zhu chattered endlessly about some trivial household matters. Her husband however did not utter a word.","After a while of jabbering, Mrs. Zhu stared at her husband and stated, “I have been talking all by myself. It is not fair. Now it’s your turn to say something, and I’ll listen.”","Mr. Zhu nodded and replied, “Good! I will speak now. It is late, so let’s sleep!”","Hahaha!","","I say:","","What Mr. Zhu has said is the essence and key. When it is time for bed, sleep!","This book does not contain long-winded theories. I will not use deep Buddhist terminology, nor will I lecture or preach. I just want to explain what I have achieved during my own practice, using the simplest language.","","Remove branches and leaves.","Directly to the point.","Not talking much.","Only the essence.","","For example:","A disciple asked, “Grand Master Lu came to the human world in this lifetime, what is the purpose?”","I replied, “To save sentient beings!”","","The disciple asked, “What if someone does not believe you?”","I replied, “Continue to proclaim with a loud voice!”","","The disciple asked, “What if someone already believes you?”","I replied, “Persist to proclaim with a loud voice!”","","The disciple asked, “Why do you always proclaim with a loud voice?”","I replied, “Always continue to proclaim with a loud voice!”","","The disciple asked, “Anything else?”","I replied, “No!”","","Hahaha! I came to this world just to “announce with a loud voice,” nothing else. That is the key.","","The disciple asked, “Why does Grand Master Lu want to announce with a loud voice? Are you crazy?”","I replied, “I am an enlightened being who has awakened the mind and seen the Buddha-nature. Sentient beings are in delusion; the enlightened being wants to wake up the ones in delusion.”","","The disciple asked, “Are you crazy?”","I replied, “Yes, in the eyes of sentient beings, I’m a crazy dharma king, a crazy practitioner.”","","The disciple asked, “You claim you are enlightened, who can prove this?”","I replied, “No one can prove that I am enlightened, except the emptiness. I realized the emptiness; the emptiness has proven my realization. This is how “The dharma light will be turned on followed by the self-light being on.”","","I would like to tell everyone, my key:","“Emptiness.”","It is simple.","It is clear.","It is pure.","It goes beyond name and form.","","“Emptiness” is absolute, and not two in opposition.","“If you say existence?”","“Existence is also within the emptiness.”","","","I","I’ll reply,","Emptiness and existence are both extinguished!","●","","","","People with the wisdom eye see the instantaneous changes and understand that all things are illusory and unreal.","Sheng-yen Lu"
"002 The Ultimate Key Points","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c002","et me start with a joke.","A person entered a noodle restaurant, and consumed a bowl of beef noodles, but found no beef with the noodles.","He asked the manager, “Manager! Manager! There is no beef in my beef noodles!”","The manager sarcastically replied, “When you eat a Sun Cake, does the Sun Cake have a sun in it?”","The guest was speechless.","Hahaha!","This joke has a profound meaning. “The Ultimate Key Points” appear within the joke.","Sheng-yen Lu","I have often remarked:","The Sun Cake has no sun within.","The Moon Cake has no moon within.","The Wife Cake has no wife within.","(Recently, Taiwan has had a controversy over cooking oils. It has been discovered in Taiwan that olive oil has no olives, sesame oil has no sesames, peanut oil has no peanuts, and pepper oil has no pepper, etc.)","","The key points are:","“Non-existence, non-existence, non-existence,” that is “nothing, nothing, nothing,” and is also “emptiness, emptiness, emptiness.”","","Thus, I often use the moon as an example. What is on the moon? There are no human beings, cars or houses on the moon. There is nothing on the moon. The moon has no privileges, no money, and no lust.","","I ask:","On the moon, what is good? What is evil? What is right? What is wrong? What is the Buddha? What is Mara? What is happiness? What is anger? What is righteousness? What is wickedness? Etc.","","I tell you, “Everything is a sea of clarity and serenity.”","This is “no mind and no form.”","","The key points are:","Everyone believes that people and everything on the Earth truly exist because they seem so real.","But, we can think in such a way:","“People will die.”","“Things will end.”","“Objects will decay.”","","All tangible things on Earth cannot avoid the cycle of “formation, existence, decay, and disappearance.” People with the wisdom eye see the instantaneous changes and understand that all things are illusory and unreal. If a practitioner can think in this manner, sooner or later they will be enlightened by the ultimate key point.","","Remembering and practicing that thought is of foremost importance.","Remembering and practicing the key point, one can avoid distorted and deluded perceptions, far from greed, anger, ignorance, and afflictions.","Thus:","External phenomena become void and tranquil.","Emptying the mind within.","Be quiescent both internally and externally","How could the deluded mind arise?","","Think about “the moon in the water,” “the flower in the mirror,” and yourself in the Saha world. What do you really obtain? By thinking this way, one will be thoroughly enlightened!","","There is a poem in Dream of the Red Chamber. I shortened it as follows:","","Mean hovels and abandoned halls,","Where courtiers once paid daily calls.","Bleak haunts where weeds and willows scarcely thrive,","Were once with mirth and revelry alive.","","Would you of perfumed elegance recite?","With fresh rouge and fragrant foundation,","","Now...in a trice a tramp by all reviled.","L","Even as you speak, the raven locks turn white.","The temple hair turns white.","Coffers with gold and silver filled,","Not knowing that he too goes home - to die!","As each singer leaves, another takes the stage.","Most absurd.","One at some other’s short life gives a sigh.","In such commotion does the world’s theatre rage!"
"003 Stage of Insight and Cultivation of the Mind","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c003","et me tell you a joke first!","","A thin and weak lady by the name of Mrs. Hsu was re-elected President of the Women’s Association. When she came on stage to give a speech, she humorously said, “I have been elected President of the association consecutively a few times. When everyone sees me, they shout President, President [same pronunciation in Chinese as being able to grow taller]. However, in fact, I’m still short. I am not growing any taller.”","","Hahaha!","I can honestly tell you, if you are a person with an enlightened mind, you must surely know:","Neither increasing nor decreasing.","Neither impurity nor purity.","Neither coming nor going.","Neither taking nor giving.","The Buddha-nature is primordial and constant. It does not grow!","We cultivators must first have this stage of insight, and this insight is the key point.","","I will tell a second joke!","A wife said, “There was a man who was sentenced to one year in prison, because he married two wives.”","The husband replied, “He’s so lucky! I just married one wife, but was sentenced to a lifetime of imprisonment.”","","Hahaha!","","I tell you, this is a joke about being “single-minded.”","The most important thing as a cultivator is being “single-minded.”","First become aware of the Buddha-nature.","Then we must keep in mind and constantly practice, also known as maintaining one’s practice after awakening. This is “single-minded,” and being “single-minded” is very important.","","Cognition of the Buddha-nature, keeping the cognition in mind, and practicing single-mindedly and constantly are the skills and key for mind cultivation.","Cognition is the principle.","Keeping in mind and practicing continuously is to realize the principle.","Just understanding the Buddha-nature is of no use if the understanding is only in principle. You must always keep in mind, never forget, maintain and practice the principle. This is the effort of actually realizing the cognition.","","Let me give you an example:","A lamp is only external in appearance.","It needs to be connected to an electrical source in order to emit light.","The electrical connection must be single-minded. (The electricity must remain on.)","After having gained this stage of insight, you must go to cultivate the mind. Having gained this stage of insight can only be considered teaching, but does not benefit cultivating the mind at all. Cultivating the mind is practice.","","One Zen master said:","Enlightenment is like riding a bull.","Cultivation of the mind is like controlling the bull and not trampling on the garden.","Therefore, developing bodhicitta and not hurting people are very important key points.","Do not hurt people!","But help people instead!","This is the key point of being a bodhisattva.","","I sincerely tell all of you:","At the beginning of studying Buddhism","The goal is to attain the awareness of the Buddha-nature.","At the end of studying Buddhism","The goal is to manifest the Buddha-nature.","This is the stage of insight and cultivating the mind.","","Keeping in mind and practicing continuously are the unsurpassed key points.","Do you want to be free?","Do you want to be unrestrained?","Then you must go to find a master who is truly enlightened and can teach one the utmost important key points.","He is right in front of you.","L","Do you want to be happy?","","Who is the most worthy enlightened master?","●","Where there is life, there must be death. This is the immutable, universal truth.","","",""
"004 Watching a Movie","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c004","ne day, we went to watch a movie, it was “The Hobbit.”","","Some of the characters in the movie included:","Hobbits,","Orcs,","Elf people, and","An evil dragon.","","The movie began with a king at the foot of a mountain who tried to regain their ancestral power, gold, silver, and jewelry.","","This movie has no beginning or end. In the movie, if you do not connect the story with “The Lord of the Rings,” then essentially there is no beginning and no ending.","","The fighting in the movie was exciting.","Our minds were captivated by the thrilling fight scenes.","Only at the conclusion of the movie, could we breathe a sigh of relief. Whew! Moreover, I was I and the movie was the movie.","","The conclusion:","“We just watched a movie!”","","Therefore, “Life is merely a drama playing out.” This is the key point I want to impart to everyone.","A practitioner should observe the drama as a bystander. No matter what happens in the drama, one should constantly remain a bystander.","When one reviews one’s own life from birth to death, is it not a drama?","One must awaken from this drama. By always observing as a bystander, one will attain realization.","","One laughs out loud and realizes this is how it is. This is how it is. Life is like watching and acting in a movie.","When the drama ends, one should be enlightened! Isn’t your body and mind free now?","We best be “bystanders.” One acting in this manner is a sensible person.","Even if you are the main character, you should understand that life is just a drama. As a result, your body and mind are liberated.","","Here is a joke:","Mr. and Mrs. Lu went shopping. After coming back, Mrs. Lu happily said, “Earlier on the road, lots of men looked at me!”","Mr. Lu replied coldly, “Let them look! Otherwise, as soon as you come home, no one at all will look at you!”","","Hahaha!","From this joke, what can you sense?","When you are alive, you act and watch.","Upon your death, the drama ends.","","No one can avoid death. Fame, status, power and beauty all change ownership at the moment of death.","Where there is life, there must be death. This is the immutable, universal truth.","You’re an actor.","You are also a bystander.","","Hey brother!","Take it easy! Why so nervous?","In this world, what’s the big deal?","It’s just a drama!","","The key point of my article is “life is a drama.” Only in this way, can one be in an “unoccupied” mood, be of “no-thought” attitude, and enter the “single-minded” Samadhi (meditation).","","If you are still:","Ignorant.","Scatterbrained.","Struggling.","","O","Afflicted.","Stubborn.","Ugh! What else can I say?","","","Sheng-yen Lu","●","The three sentences are drawn from the truths realized by Shakyamuni Buddha, which are impermanence, no self, nirvana, and quiescence."
"005 Peace of Mind is Peace","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c005","ecently I often walk by Shizheng Road in Taichung, Taiwan. While walking by, I noticed a large banner that read “Peace of mind - Peace” hung high on a building under construction.","","The banner reminded me of the six characters in the airport’s VIP lounge written by the Venerable Master Sheng Yen:","“Peace of Mind Is Peace.”[In Chinese, the phrase has six characters]","","I laughed out loud after reading the banner!","In fact, Master Sheng Yen’s slogan “Peace of Mind Is Peace” is not wrong. It is right.","However, he forgot that one’s mind is restless as long as one is a human being. Everyone has afflictions. How can one achieve peace of mind?","","Let me provide two jokes as examples.","","The first joke is:","Old Mr. Wang congratulated young Mr. Li, “Congratulations to both of you. True love always results in marriage. Your love finally produced results.”","Mr. Li said with a wry smile, “Yikes! We have been married for only three months and my wife is already pregnant. It seems lovers eventually become a tired couple.”","","The second joke is:","A patient told the doctor, “I’m very upset. I obviously have amnesia. What can I do?”","The doctor said, “Go home! You just need to forget about it. Then, your illness will be healed!”","","Hahaha!","I knowingly smile at these two jokes. Although jokes, they contain hidden truths. This proves that afflictions are everywhere.","","Having “peace of mind” is not easy for people!","I have a key point here which I have said before and repeat it often:","First, everyone will die.","Second, everything will fade away.","Third, all matter will decay.","I often think of these three sentences. By thinking of these three sentences, one will have peace of mind.","Therefore, these three sentences are the key points for attaining peace of mind.","","In my life, I have encountered numerous people, events, and things. One wave after another arises endlessly...","Thinking of the key points of these three sentences keeps my mind peaceful!","","Thus:","Peace of mind - Peace.","Peace of mind is peace.","This is Master Sheng Yen’s slogan.","However, I only use the key points. People will die, everything will fade away, and all matter will decay. As a result, the mind will naturally become peaceful.","","Having people shout slogans is not enough; you have to teach sentient beings how to make their minds peaceful!","Perhaps you do not know the source of these three sentences. The three sentences are drawn from the truths realized by Shakyamuni Buddha, which are:","Impermanence,","No self,","Nirvana, and","Quiescence.","","Someone said, “What Grand Master Lu spoke is Nihilism!”","I replied, “No, it is not!”","","I keep my body and mind unhindered (peace of mind) and free from attachment. With this attitude, I do my best to handle people and matters. I make great effort to spread the Buddhadharma and to cultivate. This is bodhi and compassion. However, I do not care about the outcome. This is the ultimate wisdom of Buddha’s teaching.","I understand this, so I have no afflictions and nothing matters!","","","","","R","●","Although you already know nothing is to be attained, can you still “transcend” the temptations?","Sheng-yen Lu","","","","",""
"006 Changes after Attaining Enlightenment","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c006","’ll tell you three jokes first:","","A wife looking in a mirror angrily stated, “It seems I am getting older and older, and getting uglier and uglier.”","Her husband responded coldly, “You seem to have a knack for the obvious.”","(Changes due to the passage of time.)","","Also:","A said to B, “My wife often says that marriage can change a man, make him grow, and learn a lot of things.”","B agreed, “She is right. After marriage, I learned to do laundry, grocery shopping, cooking, and housework.”","(Changes after being married.)","","Also:","A wife asked her husband, “Before marriage, when you and I met, you always said that your heart was beating like a ‘blindly-running deer.’ Do you still have this feeling?”","The husband replied, “Not anymore!”","“Why?” His wife asked.","The husband answered, “The deer already crashed into something and died a long time ago!”","","Hahaha!","I use these three jokes as examples to emphasize “changes.” However, after attaining enlightenment, will a practitioner truly gain strength to alter their habits and afflictions?","","We often say, “Mountains can be moved, but one’s nature is hard to change.”","“People’s habits are deeply rooted, and to change a person’s stubborn nature is not easy.”","I often say that water can extinguish a fire. However, when a fire is large and the water supply is low, it is like trying to put out a burning pile of wood with a cup of water. How can one do it?","Although fire can boil water, if there is only a little flame, how long will it take to boil a full bathtub of water?","","By the same token, when one has just attained enlightenment, how can one free oneself from the entanglement of “money, power, fame, status, love and enjoyment” while one still has karmic hindrances, habits, affinities, the seven human emotions, and six desires accumulated over lifetimes.","","That is why there is “cultivation after enlightenment.”","","However, whether you can succeed or not all depends on whether you have enough power of concentration and wisdom. (Many enlightened practitioners still have greed, anger, ignorance, doubts and arrogance.)","","Everyone knows:","Everyone will die.","Everything will fade away.","All objects will decay.","However, when the temptations arrive, are you able to “instantaneously cease” them? Although you already know nothing is to be attained, can you still “transcend” the temptations?","","This is why “cultivation starts after enlightenment!”","","You have to achieve the following:","To reach the other shore.","To liberate oneself from the entanglement of afflictions and habits.","To end secular life, transcend the secular world, and be enlightened.","","This indeed is not easy, so the key point I use is “perseverance.”","","“Perseverance” is necessary in one’s whole life. Myriad practices subsumed in the six perfections are inseparable from “perseverance.”","","I have many disciples who have “awakened their minds,” but still a lot of them show worldly attachments. It is very difficult to transcend the six paths of reincarnation. I advise all holy disciples to exercise “perseverance,” “Instantaneous cessation” and “Instantaneously transcend” all temptations. Only then can one’s Buddha-nature appear naturally.","One must be able to be “instantaneously enlightened.”","Also one must be able to “cultivate gradually.”","","","","","I","●","As long as there is no nagging, the pure Buddhanature will show up naturally!","Sheng-yen Lu","","","","",""
"007 Buddha-nature Appears Naturally","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c007","omeone asked me, “How do you witness the Buddha-nature?”","I replied, “Naturally.”","","I was asked again, “Why is it natural? Doesn’t one discover Buddhanature through perseverance?”","I replied, “No! As long as one removes deluded thoughts, the Buddha-nature is right there.”","","I emphasize:","Buddha-nature always exists.","Buddha-nature is immaculate and bright.","Buddha-nature does not depend on cultivation.","One does not cultivate Buddha-nature. The Buddha-nature will appear naturally as long as one cultivates with perseverance and achieves no mind.","","To state the point more clearly:","As clouds disperse and water flows away, heaven and earth become silent and empty.","With people and cows all disappearing, that is the moment of the bright moon.","","The most important key point is:","“Do not be occupied with seeing the Buddha-nature. One just ceases the deluded thoughts.”","","I will tell you two jokes:","A wife asked, “What do you think about monogamy?”","The husband replied, “I agree with half.”","The wife asked, “Why do you say that?”","The husband replied, “I am in favor of one husband, against one wife.”","(Hahaha! I also agree with half. One only needs to remove deluded thoughts without seeking the truth, because once the deluded thoughts are evaporated, the truth appears naturally.)","","The second joke:","A asked B, “Don’t you have a new sports car? Why do you still drive that worn-out car each time when traveling with your wife?”","B answered, “Ah! Only the cacophony of that aged car can drown out the nagging of my wife.”","Hahaha!","As long as there is no nagging, the pure Buddha-nature will show up naturally!","","I say: In the Heart Sutra, it says, “Liberating oneself from illusion is the absolute nirvana.”","To liberate oneself from illusion, one must not attach to:","1. The illusory human world - thinking that this unreal world truly exists and will be eternal.","2. The worldly pleasures - thinking that worldly pleasure is the goal to chase. Consider wealth, beauty, fame, food and sleep are fundamental to a happy life and therefore tightly attach to them.","3. Discrimination - all day long, one compares and differentiates between righteousness and evil, good and bad, right and wrong, beauty and ugliness, positive and negative, separateness and togetherness, etc., living in a state of two opposing elements without ceasing deluded thoughts.","4. Self-centeredness - treating the “self” as the center; one considers that “I” truly exists. The physical body of one proves that “I” am actual. The mind of everything serving me causes all kinds of distorted delusive thoughts.","","The key points of cultivation are:","1. The world is a delusion.","2. There is no sadness and happiness.","3. The true suchness is absolute.","4. “I” is no-self.","","I am a sensible person. All disciples must firmly keep these key points in mind as well as realizing them diligently with perseverance, which will save not only oneself but also others. Liberation and bodhi fall within these parameters.","","●","","If someone says the Buddha has discoursed on the dharma, then that is slandering the Buddha.","","Shakyamuni Buddha","","","","S","","","","","","","",""
"008 The Ultimate Wisdom","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000194&chapter_id=c008","would like to tell a joke first:","A man said, “My wife and I almost argue and fight every day. After a fierce quarrel last week, we have had a full week without quarrelling, and this week is quite pleasant.”","His friend asked, “Have you reconciled together already?”","The man replied, “Back together? How is that possible! She ran away from home, and to this day has not returned!”","","Hahaha!","Why did I tell this joke? I used the wife as an analogy for “afflictions.” People always live with “afflictions,” entanglements with no end.","","Until “afflictions” are eliminated, one is unable to live a pleasant life.","If “afflictions” never return, that is what is known as “purity.”","Let’s proceed to the main topic.","","What was Shakyamuni Buddha’s enlightened revelation under the bodhi tree? My understanding is that he was enlightened about “Tathagata.”","“Tathagata” originally means “Thus Come One.”","The word “Tathagata” is very significant.","One seems to come.","One seems not to come.","One seems to exist and yet one seems not to exist.","One seems to be and yet one seems not to be.","","I often use an analogy of the “moon in the water.”","In the night sky, there is a large and round moon above. When the moon reflects on a tranquil lake, it appears in the lake as well.","(Water is in a thousand rivers, so is a moon in a thousand rivers.)","Does the moon in the water exist?","It looks like it exists by what we have seen with our eyes.","Does the moon in the water not exist?","It does not exist when you try to scoop it up.","","I would like to point out the ultimate wisdom is exactly like this.","","Shakyamuni Buddha said the following:","“Although having expounded the dharma for forty-nine years, I have never said a single word.","If someone says the Buddha has discoursed on the dharma, then that is slandering the Buddha.","Perceiving phenomena but realizing it is not phenomena, then one sees the Tathagata.","All phenomena are unreal and false.","Nothing to be gained.","Nothing to be said.","The so-called Buddhadharma is not the Buddhadharma.","The mind should stay in a non-abiding state.","No mark of self, no mark of people, no mark of sentient beings, no mark of having a life span.","All the differentiating characteristics of things are non-phenomena; all sentient beings are not sentient beings.","Bodhisattvas who understand the dharma of selflessness are considered by buddhas to be true bodhisattvas.","All conditioned dharmas are like an illusion, a bubble, a shadow, dew, or lightning, and should be viewed as such.”","","I will tell everyone and all holy disciples:","This is the ultimate wisdom.","","I say:","Wisdom accomplishes Buddhahood,","Otherwise one becomes an evil demon;","Good and evil are all karma,","By which the Six Realms are generated.","What I have said should be clear enough. It cannot be stated more explicitly. I like the word “Tathagata” the most. One seems to come, and one seems not to come. If people can understand these words, becoming enlightened will not be a problem. “Tathagata” is the key point that I, Grand Master Lu, employ.","","","I","","With the key point of “Tathagata” in mind while reading the Diamond Sutra, one will comprehend the entire sutra clearly.","●","","","","Although the “mind” and “phenomena” both exist, one should not attach to either the “mind” or “phenomena.”","Sheng-yen Lu"
