"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","firstcharacter","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62","chapterbody 63","chapterbody 66","chapterbody 67","chapterbody 68"
"Table of Contents","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c999","Table of Contents","Preface","001 A Mark Made by the Bed Mother","002 Treat It Like a Dream","003 Six Iron Nails","005 A Snake Slithering Away","006 Finding the Right House","007 The Arrival of an Ambulance","008 Let Us Place a Wager!","009 Please Tap a Few More Times","010 A Baby with Hypoxia","011 Jesus Came to Escort Him","012 Appearance of Serlingpa","013 A Surgery in Dream","014 The Affliction of Nasal Allergies","015 You Will Definitely be Admitted!","016 Relics Filling the Body","017 Why Didn’t I See the Maha Twin Lotus Ponds?","018 Someone Sleeping Next to Her","019 A Statue of City God Appearing in the Palm","020 The Angel Gabriel","021 Ask Grand Master Lu to Stroke Your Belly","022 Seventh Master Bai Wuchang","023 Who Can Bestow Me an Empowerment in a Dream?","024 Just Chant Honestly!","025 Guanyin Bodhisattva Asked Me to Come","026 A Fire Burning!","027 A Grandson in Heaven","028 Extending an Arm from the Clouds","029 So Many Deities!","030 Nyingma","031 That Was the Monk!","032 Shoulder and Back Pain","033 Ghosts Lining up to Seek Mo-ding","034 Giving Myself Mo-ding to Uncover the Mind Terma","035 The Origin of the Lineage Transmission of Great Perfection Dharma","036 The Functions of Great Perfection Dharma","037 A Powerful Guardian Spirit","038 The Grandmother Guardian Spirit","039 The Healing of Skin Allergies","040 Descent of Taoist Spiritual Master Ziyang Zhenren","041 Garab Dorje - the First Human Guru in the Dzogchen Lineage","042 The Manjushrimitra I Know","043 My Granddaughter Lu Jun","044 Acupuncture in a Dream","045 A Master Bonesetter","046 Forgetfulness","047 I Swallowed Three Eggs","048 My Hands Can Relieve Pains","049 The Kalachakra Precepts","050 Glossary","051 Special Acknowledgements","●","We practitioners have to recognize the true reality of the emptiness of the self.","Vajrapani Bodhisattva","","","","","","","","","","",""
"Preface","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c000","ajrapani Bodhisattva once appeared before me standing atop a lotus in the middle of a blazing fire. He was holding a curved","knife in one hand and a skull cup in the other.","","Vajrapani Bodhisattva spoke to me, “Grand Master Lu, why don’t you write about the magical power of your hands?”","","","Vajrapani Bodhisattva replied, “There are great seals imprinted on your hands, don’t you know that?”","","I said, “I would appreciate it if you explained that to me.”","","Vajrapani Bodhisattva said,","","“On your hands are the following markings:","","1. Star Cloud - Power of Suchness","2. Dharma Vessel - Power of Deliverance","3. Merit - Power of Pacification of Disasters","4. Ghost King - Power of Subjugation","5. Fortune and Virtue - Power of Enhancement","6. Dharma Eyes - Power of Wisdom","7. Love and Affection - Power of Love and Respect”","","I was speechless.","","Vajrapani Bodhisattva continued, “Grand Master Lu, you just need to lay your hand on the head of any sentient being, and dharma power will emerge. That kind of power is very inconceivable and extraordinary. You have to write this down in a book!”","","I said, “I will keep this in mind!”","","Vajrapani Bodhisattva said, “On one occasion, you entered into deep meditation and someone took a photograph of you. In that picture, your hands were transparent and radiating a great white light. The picture only showed your body; both hands had disappeared. Grand Master Lu, don’t you know? Your invisible hands transformed into a dharma vessel to guide and carry the spirits to the Western Pure Land of Ultimate Bliss.”","","Vajrapani Bodhisattva analyzed my hands for me:","","“Hands are made up of skin, nails, handprints, bones, flesh, blood vessels, and blood. They do not exist as separate entities from the rest of the body and are always undergoing subtle transformation. Their colors, textures, age, lines, and shapes change day to day. They do not remain the same and are also impermanent.”","","Vajrapani Bodhisattva added,","","“Hands are an extension of the body and just like the rest of the body, are made up of the elements of earth, water, fire, and wind. Hands are therefore also empty. One day, the hands will also die. At the time of dispersal of the four great elements, only space remains. We practitioners have to recognize the true reality of the emptiness of the self.”","","Vajrapani Bodhisattva said finally,","","“Due to the dharma power of cultivation, Grand Master Lu is able to emit infinite light from his hands. When this light is instilled into the body-mind of students, it will result in many inconceivable events. The recording of these occurrences into a book will benefit sentient beings living in the world.”","","I said, “Very well! Very well! Everything is understood!”","","This book has been written upon the entreaty of Vajrapani Bodhisattva. Vajrapani literally means “one with lightning in his hands.”","","May this book bring benefit to everyone who reads it.","","Living Buddha Lian-sheng","","Sheng-yen Lu","17102 NE 40th Ct.","U.S.A.","","●","V","Redmond, WA 98052","With several more strokes, the blackness faded further.","Sheng-yen Lu","Acknowledgments:","This audio book recording was created by Tommy Chau.","","","","",""
"001 A Mark Made by the Bed Mother","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c001","couple brought a little boy to see me. More than half of this little boy’s face was black in color. The right corner of his mouth, to the right brow, all the way to his ear, was completely black. It was a shocking sight. He looked a little like the Black and White Judges of City God Temples.","","This couple said, “When he was born, half his face was black. Some people say it was a mark made by the Bed Mother (a Taiwanese folk goddess), a birthmark. When birthmarks are located on other parts of the body, like on the buttock, they don’t have any visual impact. But, with such a mark on his face, everyone who sees him will find him strange.”","","They said, “We have heard that Grand Master Lu’s hands have dharma power. We hope you can cure him!”","I said, “Why don’t you take him to see a doctor?”","","They replied, “The dermatologists said there was nothing they could do about it.”","","I visualized my Yidam (Personal Deity) residing on my head and the cosmic energy from the deity flowed into my body. I touched my hand upon the little boy’s face. I said, “He will be well!”","","The couple left with their son. After a while, the three of them returned to see me. The parents said, “The black on his face has not faded at all. Grand Master’s hand did not seem to do him any good.”","","I was quite embarrassed.","","I touched his face again. This time a swirl of light appeared on my palm. Inside the light was a woman lying in a coffin. Her right cheek was immersed in water, and I finally understood.","","I explained to them, “There is a problem with the feng shui of your ancestor’s burial site. It has to do with a female ancestor. Her right cheek is immersed in water, and that is the cause of the little boy’s face turning black.”","","The couple said, “That must be his grandmother’s gravesite.”","","They followed my instructions and had the grandmother’s body exhumed. When they opened her coffin, everyone present was stunned. The right side of the coffin was flooded, and the right side of the grandmother’s face was immersed in water and had turned black.","","The couple proceeded to have the body cremated and the ashes interred in a columbarium.","","After taking care of this business, the couple brought the little boy to see me again. They said, “Grand Master Lu, the reading of your palm light was so accurate. Now, what should we do?”","","I stroked the little boy’s face with my hand the same way. A strange thing happened this time! After one stroke, the blackness faded a little. With another stroke, it faded even more. With several more strokes, the blackness faded further.","","Finally, the little boy’s face completely turned fair.","","Oh heavens!","","The face of the Black and White Judge became completely normal. Many people knew of this incident. The magical hands of Sheng-yen Lu stroked the black and white face of a little boy and cured him.","","Many people have come and asked me to touch their faces:","","Those with crooked mouths and slanted eyes,","Those with facial nerve paralysis,","Those with black facial spots,","Those with asymmetric eyes,","Those with small noses,","Those with jug ears,","Those with many moles,","Those with many wrinkles….","","They all want me to touch their faces, as if I were a cosmetic surgeon. I would like to tell everyone, “I am already seventy. I also have many wrinkles and some black spots on my face. These are natural biological phenomena. Please take note and do not make too much association. The power of Buddhadharma is infinite. But, it does not cure every ailment.","","Every time I perform mo-ding (touching someone’s head), inconceivable empowerment occurs! But, this does not mean that each of the hundreds of thousands who are touched will be cured of illness with one mo-ding.","","●","","","Sheng-yen Lu","","A","She woke up from the dream and sighed, “So this is it. It is all just a dream.”","","","","","","","","",""
"002 Treat It Like a Dream","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c002","depressed looking young woman sought me out at the Lei Tsang Temple. She had given birth to a daughter and had been extremely happy about it. The little girl was sweet and cute, and brought laughter and joy to the whole family. Everyone adored her.","","However, around the age of three and a half, the little girl caught influenza and died. After that point, melancholia descended upon the entire family and everyone was grief stricken, especially this young woman. She had lost the darling of her life, and it was as if all happiness had been snatched from her. She was depressed and cried daily. Life was simply so unbearable that she contemplated committing suicide.","","After hearing her story, I did not say anything, because all words of consolation had already been spoken by others.","I gave her a mo-ding blessing.","","That night, the young woman had a dream. In her dream, she saw her daughter alive, just as cute and sweet as before. Mother and daughter were affectionate to each other and were having a great time together.","","But, as soon as she woke up, she realized it was a dream and sighed,","","“It was but a dream!”","","The young woman came a second time to see me at the Lei Tsang Temple. I gave her another mo-ding blessing.","","She had a second dream! This time, her daughter was several years older and was at the top of all her classes at school. The mother was very happy. Mother and daughter were of one mind, and there was nothing that they would not talk about together. The daughter was elected class monitor and a model student. An entire wall at home was covered with her awards. Her mother was elated when people complimented her for having such an excellent daughter.","","She woke up and had the realization: “It was but a dream!”","","The young woman came to see me again at the Lei Tsang Temple, and I again gave her a mo-ding.","","This time, the dream was even more amazing.","","In this dream, her daughter graduated from college and went overseas to further her studies. After obtaining a Master’s degree, she went on to receive a PhD degree. Then she found a very good job abroad, and everything was smooth sailing for this daughter. Although they missed each other very much, there were very few opportunities for mother and daughter to see each other. Later, her daughter married and decided to settle down in the foreign country. With a job and a family, the times she returned home to visit were even fewer. She would occasionally contact her mother.","","In the dream, the young woman caught a glimpse of herself in a mirror and found herself already white-haired.","","She woke up from the dream and sighed, “So this is it. It is all just a dream.”","","The young woman came a fourth time to see me at the Lei Tsang Temple.","","I asked her, “Do you want another mo-ding?”","","She replied, “No! I already know the result.”","","I asked her, “What is the result?”","","She replied, “How long you spend together with someone is simply an interlude of affinity. In life, all affinities end in death or separation. Just regard it all as a dream. When one wakes up from the dream, everything is released.”","","The young woman thanked me for giving her mo-ding. She was completely cured of her depression.","","I never tried to console her. I simply gave her mo-ding. And she was able to attain this realization.","","●","","She stood in the crowd, and when Grand Master Lu walked by, he only lightly tapped her head without saying anything. The mo-ding was over just like that.","","Sheng-yen Lu","","","","","","","","A","","","","","","","","","",""
"003 Six Iron Nails","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c003","n Southeast Asia, a woman in her fifties attended group practices at a True Buddha School local chapter through the introduction of friends. Soon she took refuge in Living Buddha Lian-sheng Sheng-yen Lu.","","This woman had a chronic illness.","","This is her story. When she was in her twenties, she had a slender figure and angelic features. Her beauty charmed everyone. A bully from her village fell in love with her. This bully was also a sociopath who had engaged in all kinds of criminal activities: sexually assaulting several women, intimidating and taking money from others, leading a gang which exacted protection fees, and abetting murders.","This beautiful girl did not want to be friends with the bully. She refused his courtship. When he asked her for dates, she would find excuses to decline.","","Flying into a rage, the bully threatened her, “Just wait and see, you are going to regret this!”","","She begged, “Don’t kill me.”","","The bully said, “I will not kill you. I will make you so miserable that you wish you were dead. That will really be fun!”","","She asked, “Are you going to break my arms and legs?”","","The bully said, “No. Don’t you know that my father is a famous voodoo magician?”","","After that conversation, the beautiful girl and the bully went their separate ways.","","But, she later came down with a “headache syndrome.” This was no ordinary headache. The splitting pain was so excruciating that she felt as if her head were being chopped and she had fainted on the ground.","","The young lady sought medical treatment, but no one could figure out what was wrong.","","She also sought voodoo masters to break the black magic, all to no avail. Instead she developed severe insomnia.","","Due to the headache syndrome, the young lady lost her beauty as her face became distorted. Her body became thickened and coarse from over consumption of pain killers. This headache syndrome had been torturing her for thirty years.","","After taking refuge, she started crying and whining to Padmakumara at the shrine daily.","","One day, she had a dream. Living Buddha Lian-sheng Sheng-yen Lu appeared to tell her, “Go and find Grand Master Lu to give you a mo-ding.”","","Hence, she traveled with other fellow students to the Taiwan Lei Tsang Temple. She attended the fire offering ceremony, listened to the dharma teaching, and finally waited for her turn for Grand Master Lu’s mo-ding. The temple ground was packed with close to ten thousand people. She stood in the crowd, and when Grand Master Lu walked by, he only lightly tapped her head without saying anything. The mo-ding was over just like that.","","That night in her hotel, she had another dream.","","Grand Master Lu came and said to her, “I will help pull out the six iron nails.”","","As soon as he finished speaking, six little black men appeared above her head.","","Grand Master Lu ordered, “Why aren’t you leaving? What are you waiting for?”","","The six little black men said, “We know you are formidable. But, we can’t bear to leave this residence that has been ours for thirty years!”","","Grand Master became angry. His hands turned into blazing Vajra claws. The six little black men immediately ran off swiftly in fear! When the woman awoke, her headache syndrome was completely cured. Her thirty-years of headaches and insomnia were swept away. This is a living testimony.","","I say:","","May merits from my hands","Eradicate all illnesses and distresses","Increase all fortunes","Sow the seed of enlightenment","Prevent disasters from emerging","And eliminate all evil black magic","","●","I","Bring harmony and great perfection","This old man comes frequently to seek mo-ding, because he is able to recover a little more of his lost memory with each mo-ding.","Sheng-yen Lu","","","","","","",""
"004 The Safe Key","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c004","ave you ever hidden something in a safe place, then found yourself unable to recall the location after some time has lapsed?","","This is especially common with the elderly. They are often forgetful. For example, one might have taken medicine just a few moments ago, however memory of that may now be blank, so that one does not know if taking of the medicine occurred.","","An elderly person may have just had a meal. However, when you ask him, “Have you eaten yet?” He may reply, “Not yet!” He has already forgotten the whole thing.","Older folks may be able to recall memories from a long time ago. But, they cannot recall what happened yesterday. You may have just been introduced to them the day before, and they may now ask, “Who are you?” That memory has been swiped clean!","","US President Mr. Reagan suffered from Alzheimer’s in his later years. He could not even recognize his own wife Nancy. Many elderly people with memory loss cannot find their way home unescorted.","","They have forgotten their own names!","They have forgotten their family members!","They have forgotten their home address!","Everything is forgotten!","","Families have to place ads in newspapers to look for these missing family members.","","One time, during mo-ding, I placed my hand on the head of an old gentleman. He suddenly let out a loud cry, “I found it!”","","I was startled. What did he find?","","The old gentleman said, “I hid in my safe cash, gold, jewelries, expensive watches, bank account passbooks, seals, and foreign currencies.”","","He was afraid that someone would get hold of his safe key. So, he hid his safe key in the following places:","","Under the sofa, Inside a pillow,","Behind the bookcase,","Inside the pocket of clothing in the closet,","Behind an inscribed board,","Inside a flower pot, Inside the refrigerator,","Above the ceiling,","Between a box and the mattress,","Inside an old shoe.","","He would keep the key in each hiding place for a short while. Then he would move it to another location. This key was too important and he had to keep moving it.","","The problem was, there were just too many hiding places. As time went by, he found that he had forgotten the hiding place. He started looking for the missing key and after searching everywhere, he still could not find it. He was in great dismay.","","The old man came to the Taiwan Lei Tsang Temple and asked me to give him mo-ding. When I touched his head, as if there were a flash of lightning, he saw in his mind: “Air-conditioning vent!”","","Oh heavens! Once Grand Master conferred mo-ding, the old gentleman saw the “air-conditioning vent.”","","He went home to look. The key indeed was sitting squarely inside the air-conditioning vent!","","The old man said, “Thank you, Grand Master Lu!”","","This old man comes frequently to seek mo-ding, because he is able to recover a little more of his lost memory with each mo-ding. After many instances of mo-ding, he now has normal recollection.","","The old man said, “This is indeed very marvelous!”","","●","","The man was worried that the green tree viper would slither back and re-enter his arm. So he beseeched Grand Master Lu to quickly conduct a bardo deliverance for the snake.","Sheng-yen Lu","","","H","","","","","","","","","",""
"005 A Snake Slithering Away","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c005","hen I confer mo-ding, I always visualize my Yidam residing atop my head and myself transforming into the Yidam.","","While moving my hand from one person’s head to the next, I chant the Yidam’s mantra simultaneously.","","My hands are moving very fast. Otherwise, the whole process may take as long as one or two hours.","Once, after I placed my hand on a man’s head, he said to me, “Grand Master Lu, my right arm is very painful. It has been hurting for half a year. Please help me by giving it a pat.”","","When I heard that, I immediately used my right hand to pat his right arm from shoulder to hand. I patted the three joints: upper arm joint, elbow joint, and wrist joint.","","When finished, I continued giving mo-ding to other people. A week later, we heard back from the man:","","After he received the patting, his arm was still in excruciating pain for about two days. Two days later, he had a dream.","","In the dream, he saw a snake sliding out of his arm. It was a long and slender Chinese Green Tree Viper. Flicking its tongue rapidly, the snake slithered away.","","When he awoke, this man noticed that his arm had stopped hurting. Before, when his arm was in pain, he could neither raise his arm nor bend his elbow. He also could not maneuver his fingers to do any writing.","","After I patted his arm, he was able to raise his arm, bend his elbow, and write. Everything has returned to normal. Hooray! Hooray!","","This is the story told by the man. He lives in Mingjian Township and is a tea farmer. His farm produces high quality teas. He also owns another plot of land where he cultivates mulberries.","","About half a year ago, he was taking an afternoon nap under a mulberry tree. Suddenly he felt something moving on his belly and he woke up startled. When he opened his eyes, he saw a slender green tree viper crawling on his belly.","","Instinctively he grabbed it. The snake readily turned its head and was about to bite him. He was still holding in his right hand the farm tool he had been working with earlier. With a wave of his sickle, the snake was cut into two pieces.","","This incident did not worry him at all. After all, as someone who has been working around farms, he has seen many snakes before:","","Chinese Green Tree Vipers,","Hundred-pace snakes,","Elaphe snakes,","Taiwan Habu snakes,","Pythons,","Umbrella snakes,","Water snakes,","Etc.","","That was why he did not give this incident another thought. But, after Grand Master Lu patted his painful arm and he subsequently had the dream, he remembered this incident. This was also a coincidence.","","The man was worried that the green tree viper would slither back","and re-enter his arm. So he beseeched Grand Master Lu to quickly conduct a bardo deliverance for the snake.","","Therefore, I carried out his wish and delivered the spirit of the green tree viper.","","I thought that would be the end. Unexpectedly the story continued. After I performed the deliverance, the man had another dream. He again dreamt of the green tree viper, but this time it extended its dragon claws, scales grew out of its body, and its head transformed into a dragon head.","","After saying “thank you” to the man, it soared up and flew towards the clouds!","","This is a good dream!","","●","","This was exactly the same house Grand Master Lu had shown him in his dream.","Sheng-yen Lu","","","W","","","","","","","","","",""
"006 Finding the Right House","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c006","he assistant manager of a company wanted to find the right home for his family of five. He was married and had three children.","I asked, “When?”","So in early 2012, he asked a real estate agent to start looking for a house. Every Saturday, Sunday, even on his days off, sometimes even in the evening, he would look at houses. He was very active in this pursuit.","Helping and saving sentient beings is what a practitioner should do - this is Mahayana.","The assistant manager had the following requirements:","He wished for a home with four bedrooms, one living room, one kitchen, three bathrooms, and one room to be a shrine room.","","He wanted an optimal price, no errant feng shui elements, and clear legal rights to the property.","","But, after over a year and looking at more than one hundred houses, the house he was looking for was nowhere to be found.","","The assistant manager became agitated, and his real estate agent also was in a bad mood.","","Some houses were good, but the feng shui was bad.","Some houses were priced too high.","Some had problems with property rights.","Some were just not what he was looking for.","Some were in complicated neighborhoods with poor environments.","","There was not a single one that fit his requirements.","","It got to the point that each time the assistant manager went to look at a house, he did not hold any hope. He could not figure out what the problem was.","","One day, he suddenly had a strange idea. “Why don’t I ask Grand Master Lu to empower me and help me find the right house?”","","Kneeling amidst the crowd, waiting for his turn to receive mo-ding, the assistant manager chanted mentally, “Please help me find the right house! Please help me find the right house! Please help me find the right house!”","","I walked towards him and placed my hand on the assistant manager’s head.","","Surprisingly a miracle happened. That night, Grand Master Lu came and brought him to look at a house. It was a furnished house with exactly four bedrooms, one living room, one kitchen, three bathrooms, and one of the rooms was a study. This house already had furniture and was even decorated with curtains.","","Grand Master Lu and the assistant manager sat together in the living room. Grand Master Lu said, “This is your future home. It has good feng shui.”","","The assistant manager looked around him:","The curtains were green like water.","The furniture was classic in style.","The sofa was purple.","In the living room was a redwood bookcase with gold trim.","A television was installed inside another redwood case.","","Grand Master Lu said, “You only need to remodel the study into a shrine room.”","","The assistant manager was very happy with the house. Then he woke up from the dream.","","Three days later, the real estate agent brought him to see a house. The agent said to him, “This is a furnished house. The owner’s post was transferred overseas, and he is in a hurry to sell it. The price is right. Just take a look!”","","When the assistant manager walked into the house, he almost jumped. This was exactly the same house Grand Master Lu had shown him in his dream.","","The water colored curtains.","The purple sofa.","The bookcase and another wood case made of redwood.","A television inside the redwood case.","","Oh heavens! Everything matched. How could this be possible? How could it be so accurate?","","T","One of the four rooms was a study.","","","","I said, “Did I? Ha ha ha!”","The assistant manager went to Lei Tsang Temple to tell me, “Thank you, Grand Master, for bestowing me an auspicious and luxurious home!”","The assistant manager replied, “In my dream, you took me to see the luxury home!”","","",""
"007 The Arrival of an Ambulance","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c007","","took an overseas trip to teach the dharma. When I arrived at the local chapter, it was completely filled with people. Crowds were everywhere, inside, outside, as well as on the streets.","","Suddenly, an ambulance drove towards us, its siren shrieking incessantly. When the crowds heard the siren of the ambulance, they automatically stepped aside to let the vehicle through. The ambulance traveled slowly and came to a stop in front of me.","","","She said to me, “Help! Help! Grand Master Lu, please help me!”","","I asked, “How can I help you?”","","The woman said, “For a long time I have heard of the fame of Grand Master Lu and how you have helped countless people. I hired an ambulance to take a patient from the hospital to come here and see you. Grand Master Lu, please have great compassion and save him.”","","I asked, “What illness does the patient have?”","","The woman replied, “He had a severe bleeding stroke two years ago and has not awakened since. The last two years, he has been in a coma. There is nothing more the doctors can do for him. He is my husband, a very honest person. I hope you can help him.”","","I said, “Whether I can cure him, I dare not say. I hope a miracle happens!”","","The back door of the ambulance opened. A patient was lying in a bed, hooked to oxygen, with an intravenous infusion, and a respirator. Tubes were coming out of his nose. He lay there motionless, his eyes tightly shut.","","I joined my palms and prayed to my Yidam. I also brought my mind into one-pointedness to chant the heart mantra of the Yidam.","","At this time, my hands automatically moved away from each other, my feet started moving in an oblique parallel step, the Bu-ding Bu-ba Stance, and my left hand and right hand held the Tarjani Mudra and Sword Mudra respectively. A stream of cosmic energy descended into my body.","","The Sword Mudra drew automatically the Four Vertical-Five Horizontal Seal: four vertical and five horizontal lines, accompanied by the nine characters of: lin, bing, dou, zhe, jie, zhen, lie, zai, qian. (These nine words together mean: Soldiers at the frontline putting themselves in battle array.)","","This was an empowerment of the Four Vertical-Five Horizontal Seal accompanied by the Nine True Words Mantra.","","After the empowerment, I blew a breath of qi on my right palm and performed laying of the hand on the patient’s brow-point.","","The flow of cosmic energy had instilled itself through my entire body. When I drew the seal, waved the mudras, and blew qi onto my hand, I could feel the presence of a very strong force. I sensed that the buddhas and bodhisattvas and Golden Mother indeed wanted to help this person.","","After the ritual was complete, the ambulance put on its siren again and drove off.","","At this time, I then walked into the local chapter. I ascended to the dharma seat, and gave a discourse on the importance of “harmony.”","","I said, “One should not harbor any thoughts of discrimination between oneself and others. You, I, he or she, are one family. Helping and saving sentient beings is what a practitioner should do - this is Mahayana. You do not only refrain from harming others, you also have to dedicate yourself to helping others. We all are originally one indivisible Great Luminous Buddha-essence that pervades throughout the spaciousness and the phenomenal world.”","","When I finished the discourse, the audience applauded.","","At that moment, someone brought the news:","","When the patient in the ambulance, who had been comatose for two years, returned to the hospital, he was already able to open his eyes and his mouth and was murmuring that a bodhisattva had come and saved him.","","The people in the hospital exclaimed: “Miracle! Miracle!”","","People in the local chapter also cried out: “This is just too inconceivable!”","","I said, “When people are sincere, buddhas will definitely respond!”","","●","","","Sheng-yen Lu","","I","I did not answer him right away. I thought for a moment and said, “I will give you dream guidance!”","","","","","","","","",""
"008 Let Us Place a Wager!","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c008","his is a gambling story. The goal of this essay is not to promote gambling, but rather to demonstrate simply the “magical power of mo-ding.”","","I personally do not advocate gambling, so please do not emulate what I describe below.","","In 2013, between March and May, North Korea and South Korea entered into a dispute. A student came excitedly to ask me, “Will North Korea attack South Korea?”","I did not answer him right away. I thought for a moment and said, “I will give you dream guidance!” I then gave this questioning student mo-ding, so that he would receive an answer in his dreams.","","My own thoughts about the situation are:","","1. North Korea’s leader, Kim Jong-un, said he would resort to war to solve everything.","2. TV anchors in North Korea announced to the world that the country was armed and ready to go to war and that they would definitely crush their enemies.","3. Military chiefs in North Korea demonstrated their determination to go to war, not just with verbal threats, but by repeatedly deploying troops.","4. North Korea had moved two short-range missile launchers to its east coast.","5. North Korea recalled North Korean workers from the joint (Kaesong) Industrial Park.","6. North Korea asked foreign embassies to consider evacuation as their safety could not be guaranteed.","7. North Korea had prepared rockets on standby for firing at Okinawa, Guam, Japan, South Korea, and even the United States.","8. Amid growing tension, the entire world had focused their attention on South and North Korea.","","Kim Jong-un said, “War!”","","The TV anchors said, “War!”","","Military chiefs said, “War!”","","I thought to myself, “Perhaps they will indeed go to war!”","","But that student went home and had this dream: I appeared to him and said, “From March till May 1st, the Koreans will not go to war!”","","He was very excited and immediately went to place a bet on “No War.”","","As it turned out, someone predicted that North Korea would start a war on the birth anniversary of the late leader Kim Jong-il. Another predicted the war would start within a few days of the military exercises of South Korea and the United States.","","Will there be a war? It became the focus of an international crisis.","","Hence, bookmakers were accepting wagers on whether or not war would break out between the two Koreas between March to May 1st.","","Let us place a wager!","","People who believed there would be war placed bets on “yes.”","","People who did not believe there would be war placed bets on “no.”","","That student of mine also wanted to place a bet which was why he came to ask me if there would be a war.","","Many believed there would be war because the crisis was marked by extreme escalation of rhetoric. Others believed such rhetoric was merely intimidation, a tiger head with a rat’s tail, or a barking dog that would not bite. Some felt the crisis was so tense that South Korea’s President Park needed to come forward to make a negotiation. Others felt North Korea had made threats against South Korea many times before, but nothing had yet resulted, so war would be unlikely.","","Ultimately: “There was no war between March to May 1st.”","","As a result, my student exclaimed, “I won big money! Ha ha ha!”","","●","","","Sheng-yen Lu","","T","This chairman came especially to see me and tell me about his experiences.","","","","","","","","",""
