Chinese,English
"高王觀世音真經","High King Avalokitesvara Sutra"
"觀世音菩薩。南無佛。南無法。南無僧。","Homage to Avalokitesvara Bodhisattva. Homage to the Buddha. Homage to the Dharma. Homage to the Sangha."
"佛國有緣。佛法相因。常樂我淨。有緣佛法。","An affinity with the Pure Lands opens the Dharma Doors. By engaging eternal, blissful, peaceful, and pure affinities with the Dharma,"
"南無摩訶般若波羅蜜。是大神咒。","Homage to the Maha Prajna Paramita, a great transcendent mantra."
"南無摩訶般若波羅蜜。是大明咒。","Homage to the Maha Prajna Paramita, a great bright mantra."
"南無摩訶般若波羅蜜。是無上咒。","Homage to the Maha Prajna Paramita, a supreme mantra."
"南無摩訶般若波羅蜜。是無等等咒。","Homage to the Maha Prajna Paramita, an unequalled mantra."
"南無淨光祕密佛。法藏佛。獅子吼神足幽王佛。佛告須彌燈王佛。法護佛。金剛藏獅子遊戲佛。寶勝佛。神通佛。藥師琉璃光王佛。普光功德山王佛。善住功德寶王佛。","Homage to the Pure Light Secret Buddha, the Dharma Treasury Buddha, the Tranquil King Buddha with Lion's Roar and Divine Speed, the Sumeru Light King Buddha announced by Buddha, the Dharma Protector Buddha, the Vajra Treasury Roaming Lion Buddha, the Precious Victory Buddha, the Supernatural Power Buddha, the Medicine Crystal Light King Buddha, the Universal Light Merit Mountain King Buddha, the Merit Retaining Jewel King Buddha."
"過去七佛。未來賢劫千佛。千五百佛。萬五千佛。五百花勝佛。百億金剛藏佛。定光佛。","The Seven Past Buddhas, the Thousand Buddhas of the Future Auspicious Eon, the Fifteen Hundred Buddhas, the Fifteen Thousand Buddhas, the Five Hundred Flower Victory Buddhas, the Ten Billion Vajra Treasury Buddhas, and Fixed Light Buddha."
"六方六佛名號。","The Buddhas of Six Directions:"
"東方寶光月殿月妙尊音王佛。","To the East the Precious Light Moon Palace Excellent Venerable Voice King Buddha,"
"南方樹根花王佛。","To the South the Tree-Root Flower King Buddha,"
"西方皂王神通燄花王佛。","To the West the Spiritual Power Fire Blazing Flower King Buddha,"
"北方月殿清淨佛。","To the North the Moon Palace Purity Buddha,"
"上方無數精進寶首佛。","To the Above the Countless Vigor Jewel Crown Buddhas,"
"下方善寂月音王佛。","To the Below the Tranquil Moon Sound King Buddha."
"無量諸佛。多寶佛。釋迦牟尼佛。彌勒佛。阿閦佛。彌陀佛。","All the countless Buddhas, Many Jewels Buddha, Shakyamuni Buddha, Maitreya Buddha, Akshobhya Buddha, Amitabha Buddha."
"中央一切眾生。在佛世界中者。行住於地上。及在虛空中。慈憂於一切眾生。各令安穩休息。","All beings in the Central Realm, and those in the Pure Lands, while moving upon the Earth and through the Heavens, shower boundless compassion upon all living beings, affording them equanimity and peace,"
"晝夜修持。心常求誦此經。能滅生死苦。消除諸毒害。","that they might cultivate day and night. By constantly invoking this sutra, one is liberated from the suffering of birth and death, and freed from all the many kinds of suffering."
"南無大明觀世音。觀明觀世音。高明觀世音。開明觀世音。大慈悲救苦觀世音。","Homage to the great wisdom Avalokitesvara, the observant Avalokitesvara, the noble Avalokitesvara, the expansively-minded Avalokitesvara, the great compassionate and suffering-relieving Avalokitesvara,"
"藥王菩薩。藥上菩薩。文殊師利菩薩。普賢菩薩。虛空藏菩薩。地藏王菩薩。清涼寶山億萬菩薩。普光王如來化勝菩薩。","the Medicine King Bodhisattva, the Supreme Medicine Bodhisattva, Manjusri Bodhisattva, Samantabhadra Bodhisattva, Akasagarbha Bodhisattva, Ksitigarbha Bodhisattva, the billions of Clear Cool Treasure Mountain Bodhisattvas, the Universal Light Venerable King Tathagata Bodhisattva."
"念念誦此經。七佛滅罪真言。","Chanting this sutra continually, the Seven Buddhas' Sin-Eradicating Mantra is recited:"
"離婆離婆帝。求訶求訶帝。陀羅尼帝。尼訶囉帝。毘黎你帝。摩訶伽帝。真陵乾帝。娑婆訶。","Lipolipote, cuhocuhote, tuoluonite, nihelaote, pilinite, mohejiate, zhenlingqiante, soha."
"十方觀世音。一切諸菩薩。誓願救眾生。稱名悉解脫。","The Avalokitesvaras of the Ten Directions, and all Bodhisattvas, have vowed to save sentient beings. All will be liberated when calling their names."
"若有淨信者。殷勤受持讀。受持滿一千。無間障礙盡。","To those with pure faith, continually recite this sutra. Upon reciting it one thousand times, all severe karmic hindrances will be eradicated."
"能救百智苦。能滅一身業。無量天人錄。當來受生處。","It saves one from all suffering and extinguishes the karma of a lifetime. The countless gods and humans will record one's future destination."
"高王觀世音。能救諸苦厄。臨危急難中。死者變成活。","High King Avalokitesvara relieves all suffering. In the face of imminent danger and fatal crises, the dying are brought back to life."
"諸佛語不虛。是故應頂禮。持誦滿一千。重罪皆消滅。","The words of the Buddhas are never false; therefore, we must pay homage. Recite it one thousand times, and the heaviest of sins are eradicated."
"有福堅信者。專攻受持經。","Those fortunate ones with unwavering faith will dedicate themselves to upholding this sutra."
