"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","firstcharacter","chapterbody 50","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 58","chapterbody 61","chapterbody 62","chapterbody 63"
"Table of Contents","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c999","Preface","001 The Time I Spent as a Recluse","002 Do You Know of Reincarnation?","003 The Zen Koan of Polishing the Brick into a Mirror","004 Preliminary Practice for Entering Samadhi","005 The Connotation Behind Samadhi","006 The Kalachakra Meditation","007 The Analysis of the Seven-Point Meditation Posture","008 My Experience of the “Dharma Stream”","009 Concerning Arousal, Distractedness, and Drowsiness","010 Tactile Sensations Arising During Meditation (1)","011 Tactile Sensations Arising During Meditation (2)","012 Tactile Sensations Arising During Meditation (3)","013 Pith Instructions for Meditation","014 This is Concentration of the Mind and Abiding Qi","015 What is True Meditation?","016 Empowerment by the Buddhas of the Ten Directions","017 Is Empty Mind Meditation Right?","018 The Meditation of the Four Tantras","019 Zhang Boduan’s Deduction","020 The Mind for Meditation","021 Planning Your Life","022 Meditation is in All Practices","023 The Conditions of Shaktism","024 Stories on Meditation","025 The First Step of Meditation Cultivation","026 The Second Step in Meditation Cultivation","027 The Third Step in Meditation Cultivation","028 The Fourth Step in Meditation Cultivation","029 The Fifth Step of Meditation Cultivation","030 Meditation Authenticates “Bliss, Brightness, and Emptiness","031 Breathing Exercise Taught by Reverend Liaoming","032 Question and Answer","033 The Benefits of Meditation","034 Pre-Meditation Preparations","035 How to Have the Capability to Differentiate","036 The Mistakes Made During Meditation","037 How to Calm the “Mind”","038 How to Distinguish the Four Levels of Meditation","039 How to Avoid Deviations","040 The Approaches of Meditation","041 The Benefits of Enlightenment","042 Ten Types of Mindfulness that Aid in Meditation","043 The Immaculate Light Treatise","044 Realize the Nature of Emptiness Through Meditation","045 The Course of Samadhi","046 The Experience of Enlightenment from Samadhi","047 Can One be Possessed by Demons During Meditation?","048 Special Acknowledgements","","","","","","","","",""
"Preface","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c000","hen I was 26 years old, as affinity would have it, an occasion took me to the Jade Emperor’s Palace in Taichung.","Benefit from reading this book.","At the time, the temple was performing a ritual for the meeting of the yin and the yang—pulling in the dead, that is, an intercommunication between the spirits of the yin world and the human beings of the yang world.","Sheng-yen Lu","Suddenly, there was an announcement from a lady dressed in cyan, “Looking for ‘Katsu’! Buddhas and bodhisattvas want me to find ‘Katsu’.”","Redmond, WA 98052","I thought:","","“Katsu” (かつ) is my Japanese name, that is, the “Sheng” in Sheng-yen Lu.","","The name of the person asking for me was named Chiyo (Japanese:ちよ, Ms. Lin Qiandai in Chinese).","17102 NE 40th Ct.,","Then, “Katsu” must be me.","U. S. A.","The lady dressed in cyan wanted me to kneel before the altar. I asked,","This audio book recording was created by Phyllis.","“Why?”","","She said, “You’ll know why when you kneel down.”","","I said, “There is nothing.”","","She said, “You’ll have to stay quiet and calm down!” Finally, my heart calmed down.","","From then on, my “third eye” was opened, and I could personally see Amitabha, Golden Mother of the Jade Pond, Ksitigarbha Bodhisattva, and so on.","","This was when I embarked, for the rest of this life, on the road to studying Buddhism.","","The main point is “calming down.”","","Then, the lady in cyan announced, “Sheng-yen Lu (Katsu) has buddha bones [the makings of a buddha].”","","●","","Many years passed and Yogis Chen Jianmin went to Vancouver to propagate the Buddhist teachings. The driver was Mr. Lai Wenyan.","","Mr. Lai Wenyan asked to take refuge in Yogis Chen. Yogis Chen answered, “You are not my disciple. In the future, you will meet a revered master. He is unique in that he surpasses all masters. If you take refuge in him, you will reach attainment.”","","Lai Wenyan asked, “Who is this man?”","","Yogis Chen answered, “He is a buddha, a tiger-headed man.”","","Later, Lai Wenyan took refuge in me. My surname Lu in written","Chinese starts with a tiger head [Chinese character]. So, I am the tiger-headed man.","","●","","The above two stories are just opening remarks. Actually, my road to studying Buddhism had many twists.","","W","In Exoteric Buddhism, I took refuge in Venerable Yin Shun, Reverend Leguo, and Venerable Tao-an.","In Vajrayana Buddhism, I took refuge in Reverend Liaoming, His Eminence Sakya Zhengkong Rinpoche, His Holiness the 16th Gyalwa Karmapa, Vajra Acharya Thubten Dargye, and others.","In addition, I had twenty-seven more guru masters, as well as others that came to me in my meditations and dreams. I benefited from all their teachings.","In this book, I want to tell all of you:","","","",""
"001 The Time I Spent as a Recluse","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c001","y disciples all know I spent nine years of my life as a recluse:","A heart without request is empty and quiescent","1. Ling Xian Pavilion, in Ballard, USA. (three years).","2. Tahiti, Taiwan, and United States (a total of six years and three months).","Continue to go along with the flow while in the realization of being in a dream","Together, a total of nine years and three months as a recluse. In these nine years and three months, I did not see anyone except a limited few.","Emptiness -- is the absolute void.","I was 38 when I went into as a reclusion for the first time in the United States. Unfamiliar with the people and places here, I only cultivated Vajrayana practices during my reclusion.","All accomplishments of the saha world are still the merits of a dream.","The second time was in the year 2000, after the Dharma Ceremony","of Kalachakra, I announced that I was going to reclusion.","Therefore:","In those six years and three months, I received neither disciples nor visitors. I only practiced Vajrayana cultivation.","A poem by Wang Anshi:","During the nine years and three months, I did only four important things:","Knowing the world is but a dream, then there is nothing to ask for","1. Observe and practice the precepts","2. Through meditation, secretly save sentient beings.","3. Cultivate Maha Vajrayana practices","4. Enter samadhi","","In this book, the “entering samadhi” is a key point. Only through entering samadhi can one find liberation.","","This is to say:","","The cause is samadhi","The fruit or result is liberation.","","●","","Let me frankly tell all of you the sequence of my cultivation:","","I knew from very early on that everything was “impermanent.”","I had a heart that wanted to exit this worldly inferno.","I guarded and followed the precept of kindness.","I made a bodhicitta vow to deliver sentient beings even if it may crush my body and fragment my bones.","Give people happiness.","Remove people’s sufferings.","Happily willing to do so.","Deliverance of all equally.","After attaining enlightenment, obtained the “Maha Prajna Wisdom.”","And then, liberation from all.","","●","","There are two kinds of states that I want to share:","","In samadhi--","","M","One hundred thousand dakinis appeared in the air, led by Prajnaparamita, Ekajati, and Vajravarahi. They cheered loudly, “Sheng-yen Lu has attained enlightenment!”","Also:","In samadhi--","One hundred thousand buddhas revealed themselves in their entirety, led by Adharma Buddha and the Five Dhyani Buddhas.","They revealed themselves in the space and praised, “Sheng-yen Lu has reached Buddhahood!”","","",""
"002 Do You Know of Reincarnation?","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c002","n Buddhism, there are ten dharma realms of existence:","","Firstly, there are the four holy realms, which are the buddhas, the bodhisattvas, the pratyeka-buddhas, and the arhats.","I say, “Only with no mind can one escape the six realms of","Then, there are six other realms, which are known as heaven, human, asura, hell, hungry ghost, and animal.","","Beings in the four holy realms do not reincarnate, whereas beings in the remaining six realms do reincarnate.","","Some religions of the world talk about reincarnation and some do not.","","A lot of people have these doubts:","reincarnation!”","Where does life come from?","Where does death lead us?","What is the purpose of one’s life?","","Somebody asked the Buddha, “What do we live for?” The Buddha replied, “To repay karma.”","","This answer “to repay karma” cannot be simpler and clearer! “Karma” is incomprehensible. “Karma” is the cause of reincarnation.","","","Therefore, I say:","","Birth is from karma.","Death follows karma.","Life is to repay karma.","","Let me simply explain to everyone:","","When one is copulating, one’s mind is in the animal realm.","When one has hateful thoughts of killing, one’s mind is in the hell realm.","When one has a compassionate heart to help other people, one’s mind is in the heaven realm.","When all the karma one has committed are neither very kind nor very evil, then one’s mind is in the human realm.","When one is jealous of someone else’s accomplishments and looking for ways to strike someone down, then one’s mind is already in the asura realm.","When one’s behavior towards anyone or any matters is stingy, then one’s mind is in the hungry ghost realm.","Of course, these are just simple examples.","","That is to say:","","Reincarnation is inconceivable. To where one will reincarnate depends on the result of all one’s karmas after being added, subtracted, multiplied, divided, or the combination of all these factors. What it involves is unimaginable, unexplainable, complicated, and even beyond analyzation.","","This is to say:","","Cultivation is to correct the behavior of oneself.","Not to create bad karma.","Create good karma.","","Reincarnation into the six realms is very frightening. We as cultivators need to surpass it.","This is the absolute teaching of Buddhism.","I","","","","","“Enter samadhi.”","Someone asked me, “How to not reincarnate?”","I replied, “No karma.” (No karmic hindrances.)","“How to not have any karma?”"
"003 The Zen Koan of Polishing the Brick into a Mirror","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c003","here was once a Zen Koan that went like this:","","There was a Zen disciple who loved sitting in the meditative position all through the day and all through the night, everyday.","To the cultivators of samadhi:","His master, in order to teach him, picked up a brick and started persistently rubbing it next to the disciple.","Be cautious! Be cautious! Must remember! Must remember!","When he opened his eyes, he saw his master rubbing the brick. He asked him, “Why are you rubbing the brick?”","","“Polishing the brick into a mirror!”","","“How can a brick be polished into a mirror?”","","His master replied, “How can Buddhahood be achieved just by sitting in the meditative position?”","","From this question and answer, this disciple instantly realized that Buddhahood cannot be achieved through sitting in meditation alone. (The outward appearance of meditation.)","","Also understood:","","Meditation is meditation.","Buddha nature is buddha nature.","One has nothing to do with the other.","","That is to say, Buddha nature does not come from meditation. “Buddha nature” is innate.","","What is important is to sweep away the “hindrances” to reveal the buddha nature which has always been present - dharma of the original existence of buddha nature.","","If you could sweep away “greed,” “anger,” “ignorance,” “suspicion,” “arrogance,” etc., the “real treasure” will reveal itself.","","●","","In the Great Treatise on the Perfection of Wisdom [Maha Prajnaparamita Sastra]-17:","","Among the Buddha’s disciples was a monk who reached the fourth level of meditation [fourth dhyana] and then developed an arrogant heart.","","This monk thought:","","-First level of meditation [first dhyana] - srotapanna","-Second level of meditation [second dhyana] - sakridagamin","-Third level of meditation [third dhyana] - anagami","-Fourth level of meditation - arhat","","Therefore, he stopped seeking further advancement and became arrogant of this achievement. Because of this improper mindset, he lost his fourth level of meditation and dropped to the Avici Hell.","","This is the story of the monk of the fourth level of meditation.","","This is what I know of the four levels of meditation:","","-First level of meditation - no sensation of nose and tongue.","-Second level of meditation - no sensation of body, eyes, and ears; only sense of consciousness is left.","T","-Third level of meditation - only a sense of consciousness, sensation of happiness.","","","","I answered, “Yes.”","-Fourth level of meditation - only a sense of consciousness, sensation of giving.","●","For this reason, when my disciple asked me, “Do we need to practice samadhi?”"
"004 Preliminary Practice for Entering Samadhi","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c004","ajrayana cultivation involves the so-called “preliminary practice,” “main practice” and “concluding practice.”","","The Preliminary Practice:","The Great Homage (subdues arrogance)","The Great Mandala Offering (subdues selfish interest)","The Fourfold Refuge (subdues one’s mind)","Repentance (subdues habitual behavior)","Armor Protection (subdues influences from outside and within)","The Four Immeasurable (promotes compassion and philanthropy)","Observe Emptiness (recognize no-self)","","The Main Practice:","Forming the Mudra (body)","Visualization (mind)","Mantra Recitation (speech)","Entering Samadhi","","The Concluding Practice:","Verses of Praise Dedication","Supplication","Compensate for Deficiencies","….","","Of course, this “preliminary practice,” “main practice” and “concluding practice” are all very important.","However, the absolute, most important is “entering samadhi.”","Then, what is the “preliminary practice” for?","Preliminary practice is to practice according to the Dharma.","Preliminary practice is to establish the foundation for Buddhadharma.","Preliminary practice is to sweep away habitual behaviors, such as:","Money, greed, fame, arrogance, jealousy, ignorance, wrong views.","Preliminary practice is for the liberation of oneself and then helping others liberate themselves.","Purification and joy are very important.","Preliminary practice can let one experience the nature of emptiness. Preliminary practice fortifies the loving kindness, compassion, joy","and equanimity of the Four Immeasurable.","Must save sentient beings.","","●","","My goal for writing about “preliminary practice” is to establish the central idea around “samadhi.” For example, we know the sequence of cultivation is:","","Stage of accumulation","Stage of preparation","Stage of seeing the path","Stage of cultivation","Stage of perfection","“Preliminary practice” includes the stage of accumulation and the stage of preparation.","","●","","V","I have a disciple, who I frequently see sitting idly with his eyes shut. He loves to sit idly with his eyes shut.","Another disciple, who saw him sitting idly with his eyes closed, also copied him in sitting idly with his eyes shut.","Are they:","In contemplation? In samadhi?","Or are they in the formality of sitting still?","In addition:","Now, I have two disciples sitting idly with their eyes shut!","In meditation? Thinking?"
"005 The Connotation Behind Samadhi","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c005","hile in Taiwan, I once met two Buddhist disciples in an elevator. They were both around 60 years old, dressed in monk-like robes, a top with cloth buttons and long pants.","This type of clothing resembled that of a Kung Fu style outfit. The color was gray.","They recognized me.","They said, “Living Buddha Lu, you have come back to Taiwan!”","I said, “Yes,” and then I asked, “Which practice are you cultivating?” They answered, “The practice of mind-observation.”","I asked, “Is the practice of mind-observation a meditation?” They were bewildered and unable to answer.","","●","","As far as I know, the term meditation can be called by many different words, which leaves a lot of room for confusion. Many cultivators are unable to make heads or tails of it.","","We often see many different special terms used but there is no further in depth understanding of its meaning.","","I am now going to especially explain the following:","","Samatha--This sounds like samadhi, but it is not the same. This is of not allowing the mind of any thoughts. The idea is to have a cessation of breathing and cessation of thoughts to truly let go completely into emptiness.","","Samapatti--This namely is to use the power of cessation to practice observation, like the “practice of mind-observation,” which uses cessation [of wandering thoughts] to practice observation.","","Samapanna--At this level, the mind is concentrated without any wandering thoughts. Observation of the truth becomes clear. The focus is in the extreme.","","Dhyana--is the state of conscious mind. It encompasses the effort of all types of meditation including the three mentioned previously. Some people may say that dhyana includes everything from the first meditation heaven to the attainment of arhatship.","","Samadhi--This is the highest level and is also the state when the dharma body’s absolute observation and Tathagata’s perfect enlightenment merges as one.","","It is the same as the Vajrayana Buddhism’s child light entering into the mother light. The two bond tightly and merge as one.","","Symbolized as “one.”","Also is “zero.”","This is the supreme perfect enlightenment of “samadhi.”","","●","","As to the so-called terms “da zhuo (meditation),” “jing zhuo (quietly sitting),” “chan ding (Zen meditation),” “zhuo chan (meditative sitting),” and etc., they are all ambiguous.","","So I say:","","“Jumbled.”","“Confusing.”","“Not clear.”","","In the Great Treatise on the Perfection of Wisdom, it mentioned “Samatha,” “Samapatti,” “Samapanna” and “Dhyana.” These four stages can be said to cover most people’s terms of expression [for meditation]. It also equates to the four meditation heavens of the Form Realm.","As to samadhi, it can be said to be the state of four concentrations on emptiness of the Formless Realm.","","It is the perfect enlightenment.","It is the wonderful enlightenment.","This we must differentiate clearly and not be ambiguous.","","","W","","","","","","","",""
"006 The Kalachakra Meditation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c006","once expounded on the Nine Stages of Kalachakra Meditation in Singapore’s International Expo Center. This event took up six exhibition halls and approximately sixty thousand people attended. This was unprecedented and is unlikely to be repeated.","","My talk about each stage of meditation is as follows:","","“Initial abiding” -- The mind has just slightly quieted down. The mind has many different thoughts. These thoughts are scattered and messy. Sitting time is short and the time that the mind stays quiet is also short. There is only about two minutes before distracting thoughts start to invade the mind. Even if one sits for a long time, the mind may only be settled for one or two minutes.","","“Continued abiding” -- After having practiced meditation over a period of time, one is able to notice the distracted thoughts. In a back-and-forth exchange, once there is a distracting thought, one will rein the mind back in. The mind can be held steady for six minutes. In short, when one can bring the mind back and not have distracted thoughts for six minutes, one is considered to be in the “continued abiding” stage.","","“Return abiding” -- In my opinion, the “continued abiding” stage will take a longer time, because this training of reining in the mind will take a long time to practice. When one enters the “return abiding,” stage, the mind can be held steady for as long as twelve minutes. After twelve minutes, once a distracted thought arises and is noticed, one’s mind can be immediately brought back. At this time, one can gradually control one’s mind.","","“Near abiding” -- At every sitting, the mind is able to focus on one point for as long as twenty minutes. Within the twenty minutes, distracted thoughts cannot easily enter the mind. Even if they invade, they are quickly dismissed. There is an increase in concentration, which can be held for twenty minutes.","","“Subdue abiding” -- The mind can concentrate for as long as thirty minutes. One is able to subdue one’s distracted thoughts. This is the “subdue abiding” stage. However, within these thirty minutes, one must be careful of the mind becoming relaxed. If it gets too relaxed, it can cause one to doze off. This kind of “drowsiness” could arise. This “sleepiness” is a type of error and one must increase one’s mental energy.","","“Tranquil abiding” -- The state of “subdue abiding” is the key to entering samadhi, but it is easy to fall asleep; therefore, one needs to increase one’s mental alertness. When overcompensation of mental alertness occurs, one can instead get excited, which causes “arousal.” This “drowsiness” and “arousal” are both errors.","","One is “falling asleep.”","Another is “mentally over-excited.”","The two need to be adjusted. Making it just right is most important. Time in this state is forty minutes.","","“Most tranquil abiding” -- Time in this state can last up to one or two hours. Drowsiness or arousal becomes less and less. At this stage, the fruit of one’s labor is realized, and one can be considered a capable cultivator of meditation.","","“Concentrated abiding” -- The time in meditation can be self- controlled and can be as long as one wants.","","One can transform into Kalachakra or one’s principal deity. With little effort, one can settle into meditation.","","There are no more occurrences of drowsiness or arousal.","(Like a person who sleeps well, they only need to lay down and they will be fast asleep. Effortlessly and mindlessly able to fall asleep and awaken. Completely self-controlled.)","","“Equanimity abiding” -- no matters, no mind, no drowsiness, no arousal, no distractions, no thoughts.","","No concept of time.","Witness the emptiness and vast ocean of bright light.","Entering of the deity into oneself and release of oneself into the cosmic consciousness.","Spiritual union with the principal deity. Spiritual union with deities.","","●","","I think:","The duration spent in meditation is only an estimate. Everyone is different.","First, overcome the distracted thoughts. Then, overcome drowsiness.","Thirdly, overcome arousal. Use “cessation.”","Use “observation.” Use “perseverance.”","In addition, if any illusions appear, one must consult with a real vajra master.","","","","","","I","","","","","","","",""
"007 The Analysis of the Seven-Point Meditation Posture","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c007","n typical meditation, the body is engaged in the seven-point meditation posture.","","Let me elaborate the posture as follows:","","1. The rear portion of the seat is slightly higher. It should be raised by about two inches. If not, the body will lean backwards and be unable to sit straight.","","2. Sit cross-legged. It is also known as the full lotus position with the right leg pressing the left leg. Many people are unable to sit like this. Therefore, there is also the half lotus position, wish- fulfilling sitting position, and comfortable sitting position.","","3. Hands form the Meditation Mudra. With the palms facing up and resting on the lap, place the left hand over the right hand and have the tips of the thumbs touching. Some have the right hand over the left hand, which is also the Meditation Mudra. However, because left represents water and right represents fire, placing the left hand over the right hand has the meaning of calming afflictions.","","4. Shoulders are level.","","5. Breathe calmly and evenly.","","6. Two eyes aim at the nose.","","7. Press tongue against the upper palate.","","I personally emphasize the relationship of the qi and channels. Therefore, I feel the important points are:","","1. Sit in full lotus position. This allows the Lower-body Qi [Apana] to enter the center channel. Proper sitting posture assists the warm sensation of inner fire to be initiated easier from the Dharma Producing Palace.","","2. Meditation Mudra. With the palms facing up and placed below the navel, it enables the Balancing Qi [Samana] to enter the center channel, also making it easier for the rising of the inner fire.","","3. Back straight with shoulders back. This enables the Circulating Qi [Vyana] to enter the center channel; thus, avoiding injury by qi or mistakes.","","4. Chin tucked in on the Adam’s apple. This enables the Upper- body Qi [Udana] to enter the center channel and easily calms the mind and ceases the distracting thoughts.","","5. Tongue pressed against the upper palate. This stabilizes the Heart Qi [Prana] in the center channel and enables clearer visualization.","","I say:","Although most people are able to stack the legs in a full lotus position, still some are not. For those who cannot, personally, I don’t think they need to force it.","","Half lotus position, wish-fulfilling sitting position, comfortable sitting position, and even sitting straight on the chair are all acceptable. In short, the backbone must be straight, the shoulders are level, Adam’s apple is pressed, the tongue is pressed against the upper palate, and the hands form the Meditation Mudra. Able to sit long is of the utmost importance.","","However one sits, if one can press against the rectum with the left heel, press against the private part with the right heel or ankle, and draw and raise the lower qi as much as possible, one’s Lower-body Qi will be able to enter the center channel.","","This is also the pith instruction.","","As long as one sits correctly, jealousy, afflictions, anger, ignorance,","lust, arrogance, etc. will be eliminated.","","I say:","","The seven-point sitting posture is the beginning of meditation, which is also the beginning of the correct body posture, a still body, and body purification.","","As for the Six-fire-pit Mudra Sitting Position, Celestial Sitting Posture, Crane-straddling Sitting Posture, Elephant Sitting Posture, and Lion Sitting Posture, these are sitting positions for special practices.","","","I","","","","","","","",""
"008 My Experience of the “Dharma Stream”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c008","rom my memory of Li Qingchen’s poem:","Every time I meditate and empty my mind, this kind of “dharma","Poplar flowers fall.","Swallows zigzagged through the red pavilion.","It’s a pity the spring wine tastes diluted.","Unprovoked sorrows land nowhere.","I refer to this as the “dharma stream empowerment!”","This day, last year at the emperor’s burial dome.","Sounds of drum and horn in the autumn wind.","Seems like thousand years had hurriedly passed to the east.","Looking back, the human world was all empty.","(I like the words “all empty.”)","After I came out of meditation, I would have an abundance of","Also:","","From Ganlu Temple, Zen monk Yuan’s poem:","","Originally a fisherman of the Xiaoxiang,","Wander from east, west, south and north,","Only a lonely boat as dwelling.","Never mind whether it is narrow or wide.","Although the sky can be my canopy and ground be my bed, mankind continues to be unfathomable.","Suddenly, hear the ending of war everywhere.","Uninterested in submitting the works for entering the door of wealth.","Often facing the shore serenading to the pure moon.","Really high-minded.","Who can capture the transient worldly fame and wealth.","(I like the words “who can capture”)","","I recite:","","“Nothing to capture.” (Change of “who can” into “nothing to”)","“All things are empty.”","One thus enters the dharma realm of “no matters,” “no mind,” and “absolute emptiness.”","Right at this moment, one’s body, speech, and mind are all empty.","That is, one’s body, mind, dharma, and nature are all empty.","Suddenly, from the void, a “dharma stream” enters the body which is truly empty.","Where did this dharma stream come from? Where will it go to? I","also pay no mind to it.","","This is:","","Merging with the principal deity of wisdom.","Lighthearted","Charming","Like milky water","Bathe in the fragrance","Joy of dharma","Thorough happiness","F","Purification","It is also:","Wind blowing on the plum pistils.","Moon falls above the branches.","Sun shines over storied buildings.","","","Light rain sprinkling on the apricot flowers."
