"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","firstcharacter","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62"
"目录","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c999","序 祈请莲生活佛加持文","001 传承法流","002 我是先修「净土」","003 禅的心得","004 资粮道口诀","005 真实四皈依法","006 真实供养曼达法","007 大乐供养(秘密)","008 真实大礼拜法","009 真实金刚心菩萨法","010 披甲护身法(口诀)","011 修法仪轨(前行)","012 真实本尊法","013 本尊法(口诀)之一","014 本尊法(口诀)之二","015 本尊法(口诀)之三","016 本尊法(口诀)之四","017 本尊法(口诀)之五","018 真实「无漏法」之一","019 真实「无漏法」之二","020 真实「无漏法」之三","021 大乐之王","022 九节佛风(细说)","023 文殊菩萨与舍利弗","024 金刚诵","025 宝瓶气","026 宝瓶气觉受","027 拙火口诀","028 明点法口诀","029 大神变不可思议","030 如幻三摩地","031 修梦观口诀","032 极净光独耀","033 净光如何出生","034 中阴口诀","035 我的「中阴」经验","036 举一个例子说明","037 中阴教授","038 死之将至的辨别法","039 开顶(破瓦)口诀","040 止与观","041 莲生活佛卢胜彦的法语(一)","042 莲生活佛卢胜彦的法语(二)","043 莲生活佛卢胜彦的法语(三)","044 莲生活佛卢胜彦的法语(四)","045 莲生活佛卢胜彦的法语(五)","046 莲生活佛卢胜彦的法语(六)","047 莲生活佛卢胜彦的法语(七)","048 莲生活佛卢胜彦的法语(八)","049 莲生活佛卢胜彦的法语(九)","","","","","","","","","","","","",""
"序 祈请莲生活佛加持文","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c000","阿吽","敬以清净身口意。供养毘卢遮那尊。","法身佛眼佛母圣。报身莲花童子身。","应身教主莲生佛。三身无别大佛恩。","恭敬真佛大传承。具足神通弥六合。","放光遍照于三际。一如无间能现证。","佛子时时常哀请。光明注照福慧增。","昔日释迦来授记。阿弥陀佛殷付托。","弥勒菩萨戴红冠。莲华大士授密法。","祈请不舍弘誓愿。救度我等诸众生。","如是护念而摄受。祈请加持速成就。","南无毘卢遮那佛。","南无佛眼佛母。","南无莲花童子。","南无莲生活佛。","南无真佛海会十方三世诸佛菩萨摩诃萨。","","●","","这篇短短的祈请文，不可小视，若能在修法前持诵一篇，功德深如海，法力高如须弥山，这祈请文，若能每日持诵，亦能显现不可思议之力。","其功德力如下：","一、 佛现金身。","二、 光明遍照。","三、 亡者升天。","四、 疾病消除。","五、 苦厄解脱。","六、 业障减免。","七、 福份增长。","八、 智慧具足。","九、 所求如愿。","十、 速得成就。","(这祈请文，是很重要的口诀)","","●","","昔日。","莲生活佛卢胜彦于乙酉年五月十八日午时，降生人间。","于二十六岁时，蒙瑶池金母开启天眼。","亲见：","瑶池金母。","阿弥陀佛。","地藏菩萨。","各赐一句：「一心学佛。一心学法。一心向善。」","帝释天主赐「忠义」二字。","而后被指引亲见前身「莲花童子」。","于是礼拜高僧大德，学习佛法，显密二教均得大成就。","创真佛宗，树立法幢。","得成就后，神通示现，方便自在，起死回生，呼风唤雨，治病驱魔，分身无数，上天入地，为天人师。","法幢所至，法雨普施，众生得度者，五百万众或更多。","建立雷藏寺七十多座，行踪遍及全世界，五大洲。","嗡","万众灌顶，演说密法，救度众生无数，盛况空前。","(前列「祈请文」，只须每日一诵，便感应连连，故是重要口诀)","莲生活佛‧卢胜彦","Sheng-yen Lu","17102 NE 40th CT","REDMOND WA 98052","U. S. A.","编者注：本有声书系由莲满上师录制","（书中有关咒语之发音，以根本上师发音为准）","","",""
"001 传承法流","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c001","佛，须先皈依，念「四皈依咒」：","南无古噜贝。(上师)","南无不打耶。(佛)","南无达摩耶。(法)","南无僧伽耶。(僧)","皈依的真义，其实是：","一、依自己的上师，恢复自己的真如本体。","二、依佛，恢复自己的真如本性。","三、依法，恢复自己的真如本智。","四、依僧，恢复自己的真如本净。","(这佛体、佛性、佛智、佛净，才是最重要的心要)","而不是表相。","由此，发挥佛性之妙用，运用八万四千法门去度化众生。","","●","","我在本文中，简单说明真佛宗莲生活佛的传承法流。","一、宁玛派(红教)莲华生大士至诺那上师至了鸣和尚至莲生活佛卢师尊。","二、萨迦派(花教)贡却杰布至德松仁波切至莲生活佛卢师尊。(德松仁波切即萨迦证空上师)","三、噶举派(白教)玛尔巴至十六世大宝法王噶玛巴至莲生活佛卢师尊。","四、格鲁派(黄教)宗喀巴至甘珠活佛至吐登达吉至吐登其摩(莲生活佛卢师尊)。","另，结缘的上师甚多，没有一一述之。","","●","","我有另一种，行深波罗蜜多时的最秘密传承，也就是在深广禅定中，获得了佛菩萨灌顶加持的传承法流。","例如：","莲华生大士授密法。","阿弥陀佛的大加持。","瑶池金母的法旨。","地藏王菩萨的救度中阴。","………………。","这些均是禅定中的秘密传承。","","●","","我的出家传承是：","昔日。","有香港慧泉寺果贤大和尚来皈依我，我那时是在美国西雅图雷藏寺，尚是居士身份。","果贤大和尚住西雅图甚久。","他劝请我出家。","于是，我于四十三岁时的农历二月十日，于「真佛密苑」，正式剃度出家。","所以果贤大和尚是我徒儿，也是我的剃度师，这又是亦师亦徒的大传奇。","我在显教皈依高僧：","一、印顺导师。","二、道安法师。","三、乐果法师。","受戒三师：","一、贤顿法师。","二、慧三法师。","学","三、觉光法师。","我的课诵师父是：","","●","","我实实在在的告诉大家，我从学的师父甚多，我只有恭敬师父，赞叹师父。我在说法的时候，必先敬礼我的传承师父。","向十方三世具德具恩的上师敬礼。","","","善赐法师。","",""
"002 我是先修「净土」","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c002","大学毕业后。","被分派到「五八○二」测量单位，我是测量官。","当时的测量单位是在台中「南门桥」，几步路就到了菩提医院。","而菩提医院内有一座「太虚纪念馆」。","有一位大居士李炳南在讲经。","我去听经。","李居士讲的是：","「大势至菩萨念佛圆通章」。","","●","","我那时勤于念佛。","我也体悟到念佛的口诀：","佛问圆通，","我无选择，","都摄六根，","净念相继，","得三摩地，","斯为第一。","其最重要的口诀是「摄六根、净相继、三摩地」。","尤其是「三摩地」。","阿弥陀经也提到，念佛三昩是：","一心不乱。","忆持念佛。","三圣现前。","往生净土。","（这一心不乱也就是三摩地）","","●","","西方极乐世界有四个净土：","一、凡圣同居土。","二、方便有余土。","三、实报庄严土。","四、常寂光土。","凡圣同居土可以带业往生，其他三土则不可以。常寂光土就是究竟。","有一位永明延寿禅师说：","「有禅有净土，犹如带角虎，现在为人师，将来做佛祖。无禅有净土，万修万人法，但得见弥陀，何愁不开悟。有禅无净土，十人九错路，阴境若现前，瞥尔随他去。无禅无净土，铁床与铜柱，万劫与千生，没个人依怙。」","这句话对我影响至大。","我现在实施的是：","「有密有净土。」","我教人念：","「南无三十六万亿，一十一万，九千，五百同名同号阿弥陀佛。」","我教人回向：","愿同念佛者。","同生极乐国。","上报四重恩。","下济三途苦。","见佛了生死。","如佛度一切。","我","我的修行主力是「密教」，但也不忘「念佛」的初衷。","因为二者的口诀，全在「三摩地」。","三摩地最究竟的口诀是：","无心。","无相。","无住。","无畏。","","","三摩地的口诀是一心不乱。","无念。",""
"003 禅的心得","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c003","我所知：","乐果法师是禅师。","果贤法师是禅师。","悟明法师是禅师。","而我（卢师尊）当然是禅师。禅宗、净土宗、密宗、律宗，我全包了。","我读「五灯会元」，写了十多本有关禅学的书，有学者赞叹我是：","「奇人！」","","我对禅颇有心得，举二则如下：","佛将湼盘，","文殊师利菩萨下降，白佛言：","「请佛转法轮！」","佛回答：","「我有转法轮吗？」","文殊菩萨有省。","（佛回答，我有转法轮吗？这句话是禅的极至，我能悟，圣弟子能悟否？）","","又：","有一菩萨问文殊：","「祢度众生有多少？」","文殊菩萨答：","「前三三，后三三。」","（文殊菩萨的前三三，后三三，这句话也是禅的极至，我能悟，圣弟子能悟否？」","","●","","有人问我：","「卢师尊！你悟了什么？」","我答：","「开口即非。」","问：","「务必用言语答我。」","我答：","悟无所得，顿断烦恼。","悟无我，顿断我执。","悟无生，顿断无死。","悟无所住，顿断无所有。","悟无人，顿断无是非。","悟无众生，顿断名誉。","悟无寿者，顿断生死。","……………。","我说：","禅宗是「佛陀拈花」，迦叶微笑。是「直指人心，见性成佛」之法门。","由佛陀传迦叶，迦叶传阿难，如此代代相传。","到了第二十八代，达摩祖师来到中土，是中土禅宗初祖。","禅宗传到六祖慧能，共传四十二人，传到马祖，成就了八十四人。","我个人认为：","禅宗要超越「能」。","禅宗要超越「所」。","「能」心也。","据","「所」物也。","「双双超越，自性现前，即能成佛。这是禅宗最重要的口诀。」","超越物，就是密教的「无事」。","这正是「无相三摩地」。","所以，我认为，修行成就，俱舍宗、成实宗、禅宗、密宗、法相宗、华严宗、法华宗、律宗、净土宗、三论宗、天台宗、真佛宗………………。","各门各派。","究竟是一。","","","超越心，就是密教的「无心」。","",""
"004 资粮道口诀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c004","人修行，我认为先修「资粮道」。","什么是资粮道？","简单的说，就是一个人，想修行的时候，从凡夫到究竟成佛的资粮。","大家以为是「钱」！","其实不是。","而是：","一、慈——给人快乐。","二、悲——拔除人的痛苦。","三、喜——欢喜的去做。","四、舍——平等无分别的。","五、施——布施予人。","六、语——善语、好语、柔语。","七、益——所做对他人有益。","八、同——同体大悲。","九、定——长远心。","十、慧——智慧心。","我跟师母莲香上师有一个长远的计划：","我们在临终之后。","除了「卢胜彦布施基金会」在继续行善之外。","另外，组织了：","「救急基金会」。","我和师母留下来的资粮，存入银行。","以每个月利息来行善。","所做的善行，只有一项，也就是有人生病，到医院去就诊。","付不出医药费。","由「救急基金会」来救助之。","","我个人的心得是：","我看众生之苦，病苦第一，有了病一定要看医师。","但，病人穷，付不起昂贵的医药费。","此时救急，有一定的意义。","我们现在已开始做，但为了长远性的做，必须要有配套措施。","这是：","救人救急。","但凭一心而已！","我们所做的，就是「资粮道」。","","●","","我听过一种错谬的言论：","有人说：","不要行善，行善如白云。","不要行恶，行恶如黑云。","白云黑云均会遮日。","意思是说：白业（善业）不要做，黑业（恶业）不要做。","善恶业均不要做。","佛性才会显现。","我认为：","行善业是资粮道，有了资粮功德，才能产生学佛之因。","有了资粮功德，能逢具德上师，教授真正的佛法。","我","我见证善人身上的光明，有了善光，便有升天之因，生命终了，在天上享福。","若在人道，也是一位福禄厚重之人，帮助他的贵人甚众。","三世诸佛的慈悲心，才能成为十方众生的依怙。恩重如山的慈父上师，正是佛菩萨的倒驾慈航，菩萨的悲悯，正是大善。","善行一定要做！","幸勿有疑！","","","","","善人不落三恶道。","",""
"005 真实四皈依法","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c005","加行之首，是四皈依法。","为何加上「真实」？","因为它会生出力量。","一、入坛城。","二、端坐。","三、先观想根本上师的面容。眉心()字白色，喉际()字红色，心际()字蓝色。","四、三光加被，入行者眉心、喉、心。","五、念：「南无莲生活佛卢师尊根本上师」。（三称）","六、念：「南无十方常住佛法僧三宝」。（三称）","七、念：「四皈依咒」。","南摩古噜贝。","南摩不打耶。","南摩达摩耶。","南摩僧伽耶。","（此皈依咒要念百○八遍）","","口诀：","念四皈依咒时，上师及佛法僧，同放五色光明，注照行者。","同时上师及佛法僧，注入甘露，灌顶行者，一切黑业、黑气自毛细孔排出。","病业化黄水流出。","降头化蜈蚣、蝎子、小黑虫爬出。","于是全身放松。","心灵清净轻安。","福慧增长。","","八、回向。","「弟子发愿。","永远依止。","上师三宝。","直至菩提。","大小各善。","回施众生。","共成佛道。」","注：在观想时，可以结根本上师手印。右手说法印，左手持莲印。","（在回向之后，也可专一的入三摩地[禅定]。）","九、出坛城。","","我在此，说明如下：","有人以为四加行法是密教小法。","其实大错特错。","我把它列出来，大家一看，那就不得了啦！","原来四皈依法是如此的伟大。","有手印。","有观想。","有真言。","有根本上师。","有十方三世三宝。","是可以独立修持的。","我们在寺、堂、会同修的时候，那只是略法，略得不能再略了。念了四皈依咒，其他就全疏忽了。","告诉大家，「真实四皈依法」，修到成熟，根本上师现前，上师相应了。","四","只要上师相应，十方三世佛法僧也能相应，可以到佛国净土了。","我常说：","四皈依法就是大法。","如果有人，只修「四皈依法」，这一生只修这个法。道心永不退失。","一心入此「三摩地」。","一样成就。","绝无虚言。","","","四加行是大法。","",""
"006 真实供养曼达法","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c006","说：","我(卢师尊)因为修持「真实供养曼达法」。","现世。","未来世。","均是富足的。","我可以如此说，若将来有缘到世间，我将是世间第一首富。","我很自信的说：","绝对是世界第一首富。","无人能及。","我将供养曼达法，列之如下：","一、先结手印。","此印即供养印。","供养印的结法，可由上师教授如何结印。","（昔日，林云说是祈福印）","印式：","二无名指相背立。（竖起）","次二中指平伸相叉。","二小指平伸相叉。","次以二食指勾二中指。","以二大指按二小指之端。","印式解释：","此供养印代表须弥山及四大部洲（东胜神洲、西牛贺洲、南瞻部洲、北俱卢洲）","也就是整个宇宙。","","二、将欲供养之物，观想在手印的掌心。","有人将米粒少许，置于左手掌心。","我的方法是，将供养物，观于掌心即可。","供品：","食物。","花、香、灯、茶、果。","水、沐浴水。","如意螺。","七珍。","八宝。","（钻石、金、银）","器具。衣服。","...............。","","三、供品观想：","将手印化为宇宙虚空。（口诀）","将供品化为如云如海。（口诀）","将虚空充满。（口诀）","","四、持咒：","嗡。沙尔娃。打他架打。衣打木。古噜拉那。面查拉。看。尼哩也。打也密。","持咒完。","将手印触顶。","散印。","","五、念「赞」:","我","须弥四洲并日月。","化诸珍宝供养佛。","愿与众生证菩提。","","●","","我告诉大家：","但，毕竟是俗世下劣粗俗之物。","什么是高贵的供品？","种种庄严诸功德。","这娑婆世间的供品，我们的食、衣、住、行，均可供养。","修法供养（法供）。"
"007 大乐供养(秘密)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c007","个供养，属「觉受供养」。","少人知之。","也很少人能做这种供养，所以，只有「堪能者」才能做的供养。","「无上密」供养。","故称「秘密」。","当行者与明妃双运时，由于行者是「堪能者」，已见证真谛，已证无漏。","气通中脉。","拙火上升。","明点下降。","因气、拙火、明点的摩擦，产生了不可明状的大乐。","我告诉大家：","一般男女行淫，是「小乐」。","唯有大修行人与明妃双运，才能产生「大乐」。","大乐是一整天，或更长久。","全身麻酥酥。","（无法说出）","此时行者将「大乐供养」：","供养：","四守方母。","八方空行母。","二十天天女。","供养诸尊。","在意念上，将「大乐化」为双身，遍布整个虚空。","所有的空行母均欢喜踊跃。","","●","","在明妃方面：","明妃因行者的堪能。","脉与脉接。","气与气通。","点与点融。（明点）","明妃也产生了无可名状的「大乐」。","明妃产生全身通畅淋漓的快乐。","（长与多）","将这种「大乐」供养：","诸佛。","菩萨。","金刚。","护法。","空行。","诸天。","（同样的欢喜踊跃）","","●","","我（卢师尊）实实在在的告诉大家：","这不是凡夫之小乐。","而是修行的大乐。","（男行者是绝对无漏的）","这","由此：","明点与拙火互融，打开脉轮，放出光明，这种光明非常殊胜稀有。","我亲证：","般若佛母下降。","金刚亥母下降。","狮面空行母下降。","妙音佛母下降。","非常多，不可思，不可议，无法计数的天女下降。","奇哉！","由光明显发佛性。","无我母下降。","此功德秘密殊胜。"
"008 真实大礼拜法","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c008","大礼拜法，是对佛菩萨诸尊的「恭敬」顶礼。","大礼拜法，可消除「我慢」（傲心）。","大礼拜法，是坚固道心。","大礼拜法，可消业。","大礼拜法，是忏悔。","大礼拜法，可退魔障。","大礼拜法，断除妄念。","大礼拜法，断除烦恼。","大礼拜法，证解脱菩提。","大礼拜法，可健身。","大礼拜法，可收心。","（真是功德无量）","","●","","仪轨如下：","一、立于坛城前。","二、先观想上师三宝在虚空中放光照行者。","三、眉心白光，喉际红光，心际蓝光，照行者。","四、()白光。()红光。()蓝光。（嗡阿吽）","五、行者不但只观想自己。也观想父母六道众生等一起顶礼。","六、先佛龛合掌置于顶（眉心），再（喉），再（心）。","七、将光隐入自身。","八、随即投身大礼拜。（第一拜，佛龛合掌）","九、第二拜是莲花合掌。","十、第三拜是金刚合掌。","（这是入坛城的三拜大礼拜法）。","","●","","行大礼拜法除这三拜之外。也有专做大礼拜的修行法。","百○八拜。","千八十拜。","或更多，愈多愈好。","（可计数）","若只行「大礼拜法」，可只用「佛龛手印」。","拜法是五体投地。","（手、额、心、膝、脚）均贴地。","一贴地则起。","","●","","重要口诀：","一心无二念。专注也。","自身化多身。","及父母眷属、恩人师长、怨亲债主、六道众生等等，一同普礼。","上师与诸尊放光照大众与行者。","两手伏地时，手向前推，把一切魔障推掉，把一切烦恼推掉。","（魔即是天魔、五蕴魔、欲魔、死魔）","普礼时：","行","虚空中有上师、诸佛、菩萨、金刚、謢法、空行、诸天。","无数量。","无数量。","（以无数量顶礼无数量）","如此，功德不可计数。","回向：","愿以此功德。","人人学佛法。","最终达彼岸。","而行者自身也是无数量。又加上眷属，密密麻麻。","度尽诸有情。","（注：有人用大礼拜法，施行多年，见本尊下降，光明注照，出现很多神迹。自身也能入三摩地）。"
